,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,544.84,0.00,929.91,0.00,61.08,0.00,790.52,0.00,0.00,0.00,0.00,0.00,0.00
February,495.55,0.00,829.89,0.00,16.96,0.00,163.70,52.79,0.00,0.00,0.00,0.00,0.00
March,568.51,0.00,934.84,0.00,42.77,0.00,21.37,583.29,0.00,0.00,0.00,0.00,0.00
April,497.84,0.00,862.45,0.00,116.55,0.00,0.00,1764.56,0.00,0.00,0.00,0.00,0.00
May,568.51,0.00,934.84,0.00,194.15,0.00,0.00,3023.34,0.00,0.00,0.00,0.00,0.00
June,544.19,0.00,899.86,0.00,207.92,0.00,0.00,3224.28,0.00,0.00,0.00,0.00,0.00
July,522.16,0.00,897.44,0.00,163.76,0.00,0.00,2428.11,0.00,0.00,0.00,0.00,0.00
August,568.51,0.00,934.84,0.00,163.77,0.00,0.00,2406.52,0.00,0.00,0.00,0.00,0.00
September,521.51,0.00,867.38,0.00,149.21,0.00,0.00,2204.33,0.00,0.00,0.00,0.00,0.00
October,544.84,0.00,929.91,0.00,75.36,0.00,0.00,1080.69,0.00,0.00,0.00,0.00,0.00
November,544.19,0.00,899.86,0.00,16.01,0.00,34.72,188.31,0.00,0.00,0.00,0.00,0.00
December,522.16,0.00,897.44,0.00,42.12,0.00,559.61,1.08,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,6442.80,,10818.67,,1249.65,,1569.93,16957.29,,,,,
Minimum of Months,495.55,0.00,829.89,0.00,16.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,568.51,0.00,934.84,0.00,207.92,0.00,790.52,3224.28,0.00,0.00,0.00,0.00,0.00
