Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.557558E+03,0.000000E+00,8.037632E-02,0.000000E+00,1.895341E+03,0.000000E+00,9.780734E-02,0.000000E+00,2.070490E+03,0.000000E+00,1.068458E-01,0.000000E+00,1.867131E+03,0.000000E+00,9.635155E-02,0.000000E+00,5.777452E+03,0.000000E+00,2.981084E-01,0.000000E+00
00:30:00,1.641419E+03,0.000000E+00,8.470217E-02,0.000000E+00,1.977733E+03,0.000000E+00,1.020572E-01,0.000000E+00,2.150898E+03,0.000000E+00,1.109932E-01,0.000000E+00,1.948565E+03,0.000000E+00,1.005520E-01,0.000000E+00,6.018498E+03,0.000000E+00,3.105366E-01,0.000000E+00
00:45:00,1.724668E+03,0.000000E+00,8.899649E-02,0.000000E+00,2.059493E+03,0.000000E+00,1.062744E-01,0.000000E+00,2.230678E+03,0.000000E+00,1.151081E-01,0.000000E+00,2.029413E+03,0.000000E+00,1.047222E-01,0.000000E+00,6.253144E+03,0.000000E+00,3.226343E-01,0.000000E+00
01:00:00,1.807264E+03,0.000000E+00,9.325704E-02,0.000000E+00,2.140588E+03,0.000000E+00,1.104573E-01,0.000000E+00,2.309794E+03,0.000000E+00,1.191888E-01,0.000000E+00,2.109635E+03,0.000000E+00,1.088601E-01,0.000000E+00,6.481360E+03,0.000000E+00,3.344001E-01,0.000000E+00
01:15:00,1.838554E+03,0.000000E+00,9.487150E-02,0.000000E+00,2.170138E+03,0.000000E+00,1.119820E-01,0.000000E+00,2.337959E+03,0.000000E+00,1.206420E-01,0.000000E+00,2.139018E+03,0.000000E+00,1.103762E-01,0.000000E+00,6.536281E+03,0.000000E+00,3.372322E-01,0.000000E+00
01:30:00,1.869986E+03,0.000000E+00,9.649316E-02,0.000000E+00,2.199828E+03,0.000000E+00,1.135137E-01,0.000000E+00,2.366270E+03,0.000000E+00,1.221025E-01,0.000000E+00,2.168579E+03,0.000000E+00,1.119012E-01,0.000000E+00,6.591427E+03,0.000000E+00,3.400748E-01,0.000000E+00
01:45:00,1.901535E+03,0.000000E+00,9.812073E-02,0.000000E+00,2.229637E+03,0.000000E+00,1.150515E-01,0.000000E+00,2.394705E+03,0.000000E+00,1.235693E-01,0.000000E+00,2.198293E+03,0.000000E+00,1.134341E-01,0.000000E+00,6.646808E+03,0.000000E+00,3.429297E-01,0.000000E+00
02:00:00,1.933167E+03,0.000000E+00,9.975260E-02,0.000000E+00,2.259540E+03,0.000000E+00,1.165941E-01,0.000000E+00,2.423238E+03,0.000000E+00,1.250413E-01,0.000000E+00,2.228131E+03,0.000000E+00,1.149733E-01,0.000000E+00,6.702394E+03,0.000000E+00,3.457958E-01,0.000000E+00
02:15:00,1.964927E+03,0.000000E+00,1.013911E-01,0.000000E+00,2.289587E+03,0.000000E+00,1.181443E-01,0.000000E+00,2.451921E+03,0.000000E+00,1.265210E-01,0.000000E+00,2.258139E+03,0.000000E+00,1.165215E-01,0.000000E+00,6.758146E+03,0.000000E+00,3.486709E-01,0.000000E+00
02:30:00,1.996786E+03,0.000000E+00,1.030348E-01,0.000000E+00,2.319756E+03,0.000000E+00,1.197008E-01,0.000000E+00,2.480729E+03,0.000000E+00,1.280073E-01,0.000000E+00,2.288293E+03,0.000000E+00,1.180772E-01,0.000000E+00,6.814038E+03,0.000000E+00,3.515539E-01,0.000000E+00
02:45:00,2.028716E+03,0.000000E+00,1.046822E-01,0.000000E+00,2.350025E+03,0.000000E+00,1.212625E-01,0.000000E+00,2.509639E+03,0.000000E+00,1.294989E-01,0.000000E+00,2.318567E+03,0.000000E+00,1.196392E-01,0.000000E+00,6.870043E+03,0.000000E+00,3.544427E-01,0.000000E+00
03:00:00,2.060692E+03,0.000000E+00,1.063320E-01,0.000000E+00,2.380373E+03,0.000000E+00,1.228284E-01,0.000000E+00,2.538633E+03,0.000000E+00,1.309949E-01,0.000000E+00,2.348941E+03,0.000000E+00,1.212064E-01,0.000000E+00,6.926145E+03,0.000000E+00,3.573365E-01,0.000000E+00
03:15:00,2.092650E+03,0.000000E+00,1.079809E-01,0.000000E+00,2.410745E+03,0.000000E+00,1.243954E-01,0.000000E+00,2.567653E+03,0.000000E+00,1.324922E-01,0.000000E+00,2.379354E+03,0.000000E+00,1.227756E-01,0.000000E+00,6.982318E+03,0.000000E+00,3.602339E-01,0.000000E+00
03:30:00,2.124573E+03,0.000000E+00,1.096279E-01,0.000000E+00,2.441126E+03,0.000000E+00,1.259630E-01,0.000000E+00,2.596686E+03,0.000000E+00,1.339901E-01,0.000000E+00,2.409793E+03,0.000000E+00,1.243461E-01,0.000000E+00,7.038551E+03,0.000000E+00,3.631345E-01,0.000000E+00
03:45:00,2.156442E+03,0.000000E+00,1.112722E-01,0.000000E+00,2.471509E+03,0.000000E+00,1.275306E-01,0.000000E+00,2.625722E+03,0.000000E+00,1.354882E-01,0.000000E+00,2.440246E+03,0.000000E+00,1.259173E-01,0.000000E+00,7.094833E+03,0.000000E+00,3.660371E-01,0.000000E+00
04:00:00,2.188244E+03,0.000000E+00,1.129128E-01,0.000000E+00,2.501888E+03,0.000000E+00,1.290979E-01,0.000000E+00,2.654757E+03,0.000000E+00,1.369861E-01,0.000000E+00,2.470707E+03,0.000000E+00,1.274889E-01,0.000000E+00,7.151162E+03,0.000000E+00,3.689416E-01,0.000000E+00
04:15:00,2.219966E+03,0.000000E+00,1.145492E-01,0.000000E+00,2.532262E+03,0.000000E+00,1.306648E-01,0.000000E+00,2.683790E+03,0.000000E+00,1.384839E-01,0.000000E+00,2.501175E+03,0.000000E+00,1.290606E-01,0.000000E+00,7.207558E+03,0.000000E+00,3.718489E-01,0.000000E+00
04:30:00,2.251588E+03,0.000000E+00,1.161804E-01,0.000000E+00,2.562629E+03,0.000000E+00,1.322312E-01,0.000000E+00,2.712819E+03,0.000000E+00,1.399812E-01,0.000000E+00,2.531646E+03,0.000000E+00,1.306324E-01,0.000000E+00,7.264022E+03,0.000000E+00,3.747591E-01,0.000000E+00
04:45:00,2.283082E+03,0.000000E+00,1.178048E-01,0.000000E+00,2.592988E+03,0.000000E+00,1.337971E-01,0.000000E+00,2.741842E+03,0.000000E+00,1.414782E-01,0.000000E+00,2.562117E+03,0.000000E+00,1.322042E-01,0.000000E+00,7.320564E+03,0.000000E+00,3.776734E-01,0.000000E+00
05:00:00,2.314384E+03,0.000000E+00,1.194194E-01,0.000000E+00,2.623334E+03,0.000000E+00,1.353624E-01,0.000000E+00,2.770856E+03,0.000000E+00,1.429747E-01,0.000000E+00,2.592584E+03,0.000000E+00,1.337757E-01,0.000000E+00,7.377178E+03,0.000000E+00,3.805916E-01,0.000000E+00
05:15:00,2.345451E+03,0.000000E+00,1.210217E-01,0.000000E+00,2.653593E+03,0.000000E+00,1.369232E-01,0.000000E+00,2.799784E+03,0.000000E+00,1.444668E-01,0.000000E+00,2.622972E+03,0.000000E+00,1.353432E-01,0.000000E+00,7.433465E+03,0.000000E+00,3.834931E-01,0.000000E+00
05:30:00,2.376452E+03,0.000000E+00,1.226207E-01,0.000000E+00,2.683760E+03,0.000000E+00,1.384794E-01,0.000000E+00,2.828625E+03,0.000000E+00,1.459544E-01,0.000000E+00,2.653275E+03,0.000000E+00,1.369063E-01,0.000000E+00,7.489415E+03,0.000000E+00,3.863774E-01,0.000000E+00
05:45:00,2.407454E+03,0.000000E+00,1.242199E-01,0.000000E+00,2.713832E+03,0.000000E+00,1.400306E-01,0.000000E+00,2.857372E+03,0.000000E+00,1.474372E-01,0.000000E+00,2.683488E+03,0.000000E+00,1.384648E-01,0.000000E+00,7.545019E+03,0.000000E+00,3.892438E-01,0.000000E+00
06:00:00,2.438559E+03,0.000000E+00,1.258244E-01,0.000000E+00,2.743805E+03,0.000000E+00,1.415766E-01,0.000000E+00,2.886023E+03,0.000000E+00,1.489151E-01,0.000000E+00,2.713608E+03,0.000000E+00,1.400184E-01,0.000000E+00,7.600268E+03,0.000000E+00,3.920919E-01,0.000000E+00
06:15:00,2.197821E+03,0.000000E+00,1.134026E-01,0.000000E+00,2.501710E+03,0.000000E+00,1.290845E-01,0.000000E+00,2.642614E+03,0.000000E+00,1.363551E-01,0.000000E+00,2.471666E+03,0.000000E+00,1.275342E-01,0.000000E+00,6.059508E+03,0.000000E+00,3.126043E-01,0.000000E+00
06:30:00,1.954834E+03,0.000000E+00,1.008670E-01,0.000000E+00,2.257259E+03,0.000000E+00,1.164731E-01,0.000000E+00,2.396857E+03,0.000000E+00,1.236762E-01,0.000000E+00,2.227374E+03,0.000000E+00,1.149310E-01,0.000000E+00,4.509763E+03,0.000000E+00,2.326604E-01,0.000000E+00
06:45:00,1.709490E+03,0.000000E+00,8.821100E-02,0.000000E+00,2.010367E+03,0.000000E+00,1.037373E-01,0.000000E+00,2.148670E+03,0.000000E+00,1.108739E-01,0.000000E+00,1.980645E+03,0.000000E+00,1.022036E-01,0.000000E+00,2.950121E+03,0.000000E+00,1.522072E-01,0.000000E+00
07:00:00,1.461745E+03,0.000000E+00,7.543196E-02,0.000000E+00,1.760990E+03,0.000000E+00,9.087455E-02,0.000000E+00,1.898008E+03,0.000000E+00,9.794525E-02,0.000000E+00,1.731435E+03,0.000000E+00,8.934942E-02,0.000000E+00,1.380711E+03,0.000000E+00,7.125118E-02,0.000000E+00
