Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.116877E+02,0.000000E+00,4.704822E-02,0.000000E+00,1.413950E+03,0.000000E+00,7.296531E-02,0.000000E+00,1.821879E+03,0.000000E+00,9.401629E-02,0.000000E+00,1.317883E+03,0.000000E+00,6.800710E-02,0.000000E+00,4.844942E+03,0.000000E+00,2.499706E-01,0.000000E+00
00:30:00,1.041985E+03,0.000000E+00,5.377065E-02,0.000000E+00,1.540855E+03,0.000000E+00,7.951260E-02,0.000000E+00,1.947672E+03,0.000000E+00,1.005058E-01,0.000000E+00,1.443118E+03,0.000000E+00,7.446836E-02,0.000000E+00,5.120998E+03,0.000000E+00,2.641947E-01,0.000000E+00
00:45:00,1.170747E+03,0.000000E+00,6.041373E-02,0.000000E+00,1.667771E+03,0.000000E+00,8.606047E-02,0.000000E+00,2.073048E+03,0.000000E+00,1.069739E-01,0.000000E+00,1.568812E+03,0.000000E+00,8.095337E-02,0.000000E+00,5.389003E+03,0.000000E+00,2.779998E-01,0.000000E+00
01:00:00,1.297784E+03,0.000000E+00,6.696764E-02,0.000000E+00,1.794602E+03,0.000000E+00,9.260391E-02,0.000000E+00,2.197971E+03,0.000000E+00,1.134185E-01,0.000000E+00,1.694769E+03,0.000000E+00,8.745182E-02,0.000000E+00,5.650698E+03,0.000000E+00,2.914706E-01,0.000000E+00
01:15:00,1.352254E+03,0.000000E+00,6.977791E-02,0.000000E+00,1.849449E+03,0.000000E+00,9.543412E-02,0.000000E+00,2.251431E+03,0.000000E+00,1.161771E-01,0.000000E+00,1.750069E+03,0.000000E+00,9.030542E-02,0.000000E+00,5.727301E+03,0.000000E+00,2.954096E-01,0.000000E+00
01:30:00,1.404760E+03,0.000000E+00,7.248653E-02,0.000000E+00,1.904518E+03,0.000000E+00,9.827559E-02,0.000000E+00,2.304991E+03,0.000000E+00,1.189406E-01,0.000000E+00,1.805700E+03,0.000000E+00,9.317596E-02,0.000000E+00,5.806171E+03,0.000000E+00,2.994724E-01,0.000000E+00
01:45:00,1.456665E+03,0.000000E+00,7.516358E-02,0.000000E+00,1.959743E+03,0.000000E+00,1.011250E-01,0.000000E+00,2.358596E+03,0.000000E+00,1.217063E-01,0.000000E+00,1.861581E+03,0.000000E+00,9.605932E-02,0.000000E+00,5.888368E+03,0.000000E+00,3.037145E-01,0.000000E+00
02:00:00,1.508953E+03,0.000000E+00,7.786077E-02,0.000000E+00,2.015057E+03,0.000000E+00,1.039791E-01,0.000000E+00,2.412187E+03,0.000000E+00,1.244713E-01,0.000000E+00,1.917633E+03,0.000000E+00,9.895143E-02,0.000000E+00,5.972256E+03,0.000000E+00,3.080553E-01,0.000000E+00
02:15:00,1.562378E+03,0.000000E+00,8.061710E-02,0.000000E+00,2.070511E+03,0.000000E+00,1.068403E-01,0.000000E+00,2.465840E+03,0.000000E+00,1.272395E-01,0.000000E+00,1.973891E+03,0.000000E+00,1.018542E-01,0.000000E+00,6.056691E+03,0.000000E+00,3.124234E-01,0.000000E+00
02:30:00,1.618210E+03,0.000000E+00,8.349796E-02,0.000000E+00,2.126084E+03,0.000000E+00,1.097078E-01,0.000000E+00,2.519542E+03,0.000000E+00,1.300104E-01,0.000000E+00,2.030326E+03,0.000000E+00,1.047662E-01,0.000000E+00,6.141708E+03,0.000000E+00,3.168179E-01,0.000000E+00
