Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.134862E+03,0.000000E+00,1.101680E-01,0.000000E+00,2.586863E+03,0.000000E+00,1.334934E-01,0.000000E+00,2.994816E+03,0.000000E+00,1.545448E-01,0.000000E+00,2.526969E+03,0.000000E+00,1.304026E-01,0.000000E+00,6.600070E+03,0.000000E+00,3.405642E-01,0.000000E+00
00:30:00,2.253110E+03,0.000000E+00,1.162680E-01,0.000000E+00,2.699925E+03,0.000000E+00,1.393254E-01,0.000000E+00,3.102781E+03,0.000000E+00,1.601132E-01,0.000000E+00,2.640334E+03,0.000000E+00,1.362503E-01,0.000000E+00,6.871427E+03,0.000000E+00,3.545568E-01,0.000000E+00
00:45:00,2.370414E+03,0.000000E+00,1.223192E-01,0.000000E+00,2.812080E+03,0.000000E+00,1.451107E-01,0.000000E+00,3.209841E+03,0.000000E+00,1.656350E-01,0.000000E+00,2.752810E+03,0.000000E+00,1.420521E-01,0.000000E+00,7.136936E+03,0.000000E+00,3.682474E-01,0.000000E+00
01:00:00,2.486704E+03,0.000000E+00,1.283181E-01,0.000000E+00,2.923268E+03,0.000000E+00,1.508460E-01,0.000000E+00,3.315949E+03,0.000000E+00,1.711076E-01,0.000000E+00,2.864334E+03,0.000000E+00,1.478048E-01,0.000000E+00,7.396546E+03,0.000000E+00,3.816334E-01,0.000000E+00
01:15:00,2.532506E+03,0.000000E+00,1.306814E-01,0.000000E+00,2.964486E+03,0.000000E+00,1.529728E-01,0.000000E+00,3.354117E+03,0.000000E+00,1.730770E-01,0.000000E+00,2.906222E+03,0.000000E+00,1.499662E-01,0.000000E+00,7.467410E+03,0.000000E+00,3.852883E-01,0.000000E+00
01:30:00,2.578160E+03,0.000000E+00,1.330369E-01,0.000000E+00,3.005624E+03,0.000000E+00,1.550951E-01,0.000000E+00,3.392268E+03,0.000000E+00,1.750452E-01,0.000000E+00,2.948045E+03,0.000000E+00,1.521239E-01,0.000000E+00,7.538546E+03,0.000000E+00,3.889562E-01,0.000000E+00
01:45:00,2.623641E+03,0.000000E+00,1.353833E-01,0.000000E+00,3.046662E+03,0.000000E+00,1.572122E-01,0.000000E+00,3.430382E+03,0.000000E+00,1.770115E-01,0.000000E+00,2.989783E+03,0.000000E+00,1.542772E-01,0.000000E+00,7.609943E+03,0.000000E+00,3.926376E-01,0.000000E+00
02:00:00,2.668914E+03,0.000000E+00,1.377190E-01,0.000000E+00,3.087575E+03,0.000000E+00,1.593229E-01,0.000000E+00,3.468430E+03,0.000000E+00,1.789743E-01,0.000000E+00,3.031406E+03,0.000000E+00,1.564244E-01,0.000000E+00,7.681554E+03,0.000000E+00,3.963305E-01,0.000000E+00
02:15:00,2.714142E+03,0.000000E+00,1.400524E-01,0.000000E+00,3.128537E+03,0.000000E+00,1.614362E-01,0.000000E+00,3.506592E+03,0.000000E+00,1.809431E-01,0.000000E+00,3.073084E+03,0.000000E+00,1.585747E-01,0.000000E+00,7.753320E+03,0.000000E+00,4.000319E-01,0.000000E+00
02:30:00,2.759301E+03,0.000000E+00,1.423824E-01,0.000000E+00,3.169531E+03,0.000000E+00,1.635512E-01,0.000000E+00,3.544847E+03,0.000000E+00,1.829169E-01,0.000000E+00,3.114800E+03,0.000000E+00,1.607270E-01,0.000000E+00,7.825200E+03,0.000000E+00,4.037398E-01,0.000000E+00
