Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.031880E+03,0.000000E+00,5.325720E-02,0.000000E+00,9.721849E+02,0.000000E+00,5.016901E-02,0.000000E+00,1.196084E+03,0.000000E+00,6.172337E-02,0.000000E+00,9.386371E+02,0.000000E+00,4.843778E-02,0.000000E+00,4.542162E+03,0.000000E+00,2.343736E-01,0.000000E+00
00:30:00,1.112253E+03,0.000000E+00,5.740551E-02,0.000000E+00,1.069036E+03,0.000000E+00,5.516550E-02,0.000000E+00,1.300125E+03,0.000000E+00,6.709120E-02,0.000000E+00,1.033814E+03,0.000000E+00,5.334751E-02,0.000000E+00,4.839786E+03,0.000000E+00,2.497207E-01,0.000000E+00
00:45:00,1.191907E+03,0.000000E+00,6.151669E-02,0.000000E+00,1.166623E+03,0.000000E+00,6.020007E-02,0.000000E+00,1.404846E+03,0.000000E+00,7.249404E-02,0.000000E+00,1.129418E+03,0.000000E+00,5.827948E-02,0.000000E+00,5.132717E+03,0.000000E+00,2.648251E-01,0.000000E+00
01:00:00,1.270784E+03,0.000000E+00,6.558772E-02,0.000000E+00,1.265069E+03,0.000000E+00,6.527903E-02,0.000000E+00,1.510055E+03,0.000000E+00,7.792206E-02,0.000000E+00,1.225462E+03,0.000000E+00,6.323426E-02,0.000000E+00,5.420510E+03,0.000000E+00,2.796635E-01,0.000000E+00
01:15:00,1.305756E+03,0.000000E+00,6.739255E-02,0.000000E+00,1.310372E+03,0.000000E+00,6.761699E-02,0.000000E+00,1.557150E+03,0.000000E+00,8.035228E-02,0.000000E+00,1.269353E+03,0.000000E+00,6.549942E-02,0.000000E+00,5.512947E+03,0.000000E+00,2.844292E-01,0.000000E+00
01:30:00,1.341526E+03,0.000000E+00,6.923860E-02,0.000000E+00,1.356604E+03,0.000000E+00,7.000267E-02,0.000000E+00,1.604814E+03,0.000000E+00,8.281172E-02,0.000000E+00,1.314392E+03,0.000000E+00,6.782376E-02,0.000000E+00,5.605748E+03,0.000000E+00,2.892122E-01,0.000000E+00
01:45:00,1.378064E+03,0.000000E+00,7.112426E-02,0.000000E+00,1.403690E+03,0.000000E+00,7.243239E-02,0.000000E+00,1.652964E+03,0.000000E+00,8.529620E-02,0.000000E+00,1.360421E+03,0.000000E+00,7.019904E-02,0.000000E+00,5.698764E+03,0.000000E+00,2.940057E-01,0.000000E+00
02:00:00,1.415341E+03,0.000000E+00,7.304803E-02,0.000000E+00,1.451512E+03,0.000000E+00,7.490003E-02,0.000000E+00,1.701522E+03,0.000000E+00,8.780167E-02,0.000000E+00,1.407348E+03,0.000000E+00,7.262055E-02,0.000000E+00,5.791800E+03,0.000000E+00,2.988001E-01,0.000000E+00
02:15:00,1.452292E+03,0.000000E+00,7.495500E-02,0.000000E+00,1.500005E+03,0.000000E+00,7.740229E-02,0.000000E+00,1.750509E+03,0.000000E+00,9.032931E-02,0.000000E+00,1.455137E+03,0.000000E+00,7.508653E-02,0.000000E+00,5.884539E+03,0.000000E+00,3.035791E-01,0.000000E+00
02:30:00,1.488889E+03,0.000000E+00,7.684365E-02,0.000000E+00,1.549073E+03,0.000000E+00,7.993417E-02,0.000000E+00,1.799859E+03,0.000000E+00,9.287570E-02,0.000000E+00,1.503620E+03,0.000000E+00,7.758832E-02,0.000000E+00,5.976501E+03,0.000000E+00,3.083173E-01,0.000000E+00
