,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,848.48,0.00,1448.16,0.00,63.13,0.00,805.29,0.00,0.00,0.00,0.00,0.00,0.00
February,771.72,0.00,1292.39,0.00,17.77,0.00,135.95,96.32,0.00,0.00,0.00,0.00,0.00
March,885.33,0.00,1455.83,0.00,63.14,0.00,11.03,884.64,0.00,0.00,0.00,0.00,0.00
April,775.29,0.00,1343.10,0.00,161.33,0.00,0.00,2441.28,0.00,0.00,0.00,0.00,0.00
May,885.33,0.00,1455.83,0.00,261.10,0.00,0.00,4069.67,0.00,0.00,0.00,0.00,0.00
June,847.46,0.00,1401.35,0.00,279.42,0.00,0.00,4340.33,0.00,0.00,0.00,0.00,0.00
July,813.17,0.00,1397.58,0.00,220.88,0.00,0.00,3280.58,0.00,0.00,0.00,0.00,0.00
August,885.33,0.00,1455.83,0.00,222.42,0.00,0.00,3273.62,0.00,0.00,0.00,0.00,0.00
September,812.14,0.00,1350.77,0.00,203.45,0.00,0.00,3010.11,0.00,0.00,0.00,0.00,0.00
October,848.48,0.00,1448.16,0.00,107.73,0.00,0.00,1545.67,0.00,0.00,0.00,0.00,0.00
November,847.46,0.00,1401.35,0.00,23.59,0.00,23.74,310.64,0.00,0.00,0.00,0.00,0.00
December,813.17,0.00,1397.58,0.00,43.17,0.00,564.94,4.62,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,10033.39,,16847.94,,1667.12,,1540.96,23257.47,,,,,
Minimum of Months,771.72,0.00,1292.39,0.00,17.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,885.33,0.00,1455.83,0.00,279.42,0.00,805.29,4340.33,0.00,0.00,0.00,0.00,0.00
