Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.797913E+03,0.000000E+00,9.278134E-02,0.000000E+00,2.204711E+03,0.000000E+00,1.137741E-01,0.000000E+00,2.474538E+03,0.000000E+00,1.276985E-01,0.000000E+00,2.170306E+03,0.000000E+00,1.119986E-01,0.000000E+00,6.885301E+03,0.000000E+00,3.552869E-01,0.000000E+00
00:30:00,1.896297E+03,0.000000E+00,9.785667E-02,0.000000E+00,2.301303E+03,0.000000E+00,1.187567E-01,0.000000E+00,2.568685E+03,0.000000E+00,1.325547E-01,0.000000E+00,2.265713E+03,0.000000E+00,1.169201E-01,0.000000E+00,7.170874E+03,0.000000E+00,3.700132E-01,0.000000E+00
00:45:00,1.994231E+03,0.000000E+00,1.029088E-01,0.000000E+00,2.397436E+03,0.000000E+00,1.237156E-01,0.000000E+00,2.662380E+03,0.000000E+00,1.373876E-01,0.000000E+00,2.360719E+03,0.000000E+00,1.218209E-01,0.000000E+00,7.451088E+03,0.000000E+00,3.844630E-01,0.000000E+00
01:00:00,2.091657E+03,0.000000E+00,1.079346E-01,0.000000E+00,2.493066E+03,0.000000E+00,1.286485E-01,0.000000E+00,2.755580E+03,0.000000E+00,1.421949E-01,0.000000E+00,2.455273E+03,0.000000E+00,1.266983E-01,0.000000E+00,7.725884E+03,0.000000E+00,3.986328E-01,0.000000E+00
01:15:00,2.130462E+03,0.000000E+00,1.099370E-01,0.000000E+00,2.529841E+03,0.000000E+00,1.305462E-01,0.000000E+00,2.790710E+03,0.000000E+00,1.440076E-01,0.000000E+00,2.491855E+03,0.000000E+00,1.285859E-01,0.000000E+00,7.805371E+03,0.000000E+00,4.027329E-01,0.000000E+00
01:30:00,2.169424E+03,0.000000E+00,1.119472E-01,0.000000E+00,2.566784E+03,0.000000E+00,1.324522E-01,0.000000E+00,2.826017E+03,0.000000E+00,1.458292E-01,0.000000E+00,2.528652E+03,0.000000E+00,1.304844E-01,0.000000E+00,7.885344E+03,0.000000E+00,4.068569E-01,0.000000E+00
01:45:00,2.208503E+03,0.000000E+00,1.139634E-01,0.000000E+00,2.603864E+03,0.000000E+00,1.343652E-01,0.000000E+00,2.861469E+03,0.000000E+00,1.476582E-01,0.000000E+00,2.565628E+03,0.000000E+00,1.323921E-01,0.000000E+00,7.965773E+03,0.000000E+00,4.110044E-01,0.000000E+00
02:00:00,2.247655E+03,0.000000E+00,1.159833E-01,0.000000E+00,2.641046E+03,0.000000E+00,1.362835E-01,0.000000E+00,2.897030E+03,0.000000E+00,1.494928E-01,0.000000E+00,2.602745E+03,0.000000E+00,1.343070E-01,0.000000E+00,8.046595E+03,0.000000E+00,4.151726E-01,0.000000E+00
02:15:00,2.286930E+03,0.000000E+00,1.180097E-01,0.000000E+00,2.678393E+03,0.000000E+00,1.382104E-01,0.000000E+00,2.932764E+03,0.000000E+00,1.513363E-01,0.000000E+00,2.640060E+03,0.000000E+00,1.362322E-01,0.000000E+00,8.127734E+03,0.000000E+00,4.193576E-01,0.000000E+00
02:30:00,2.326289E+03,0.000000E+00,1.200404E-01,0.000000E+00,2.715874E+03,0.000000E+00,1.401442E-01,0.000000E+00,2.968639E+03,0.000000E+00,1.531873E-01,0.000000E+00,2.677538E+03,0.000000E+00,1.381659E-01,0.000000E+00,8.209131E+03,0.000000E+00,4.235565E-01,0.000000E+00
02:45:00,2.365691E+03,0.000000E+00,1.220733E-01,0.000000E+00,2.753460E+03,0.000000E+00,1.420835E-01,0.000000E+00,3.004623E+03,0.000000E+00,1.550439E-01,0.000000E+00,2.715147E+03,0.000000E+00,1.401064E-01,0.000000E+00,8.290727E+03,0.000000E+00,4.277659E-01,0.000000E+00
03:00:00,2.405098E+03,0.000000E+00,1.241066E-01,0.000000E+00,2.791124E+03,0.000000E+00,1.440269E-01,0.000000E+00,3.040692E+03,0.000000E+00,1.569050E-01,0.000000E+00,2.752858E+03,0.000000E+00,1.420523E-01,0.000000E+00,8.372481E+03,0.000000E+00,4.319834E-01,0.000000E+00
03:15:00,2.444425E+03,0.000000E+00,1.261357E-01,0.000000E+00,2.828794E+03,0.000000E+00,1.459706E-01,0.000000E+00,3.076771E+03,0.000000E+00,1.587665E-01,0.000000E+00,2.790597E+03,0.000000E+00,1.439995E-01,0.000000E+00,8.454345E+03,0.000000E+00,4.362066E-01,0.000000E+00
