Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.116540E+02,0.000000E+00,4.704672E-02,0.000000E+00,1.438018E+03,0.000000E+00,7.420764E-02,0.000000E+00,1.644340E+03,0.000000E+00,8.485520E-02,0.000000E+00,1.338503E+03,0.000000E+00,6.907147E-02,0.000000E+00,4.812231E+03,0.000000E+00,2.482932E-01,0.000000E+00
00:30:00,1.047950E+03,0.000000E+00,5.407877E-02,0.000000E+00,1.570588E+03,0.000000E+00,8.104734E-02,0.000000E+00,1.776164E+03,0.000000E+00,9.165621E-02,0.000000E+00,1.469147E+03,0.000000E+00,7.581196E-02,0.000000E+00,5.106426E+03,0.000000E+00,2.634570E-01,0.000000E+00
00:45:00,1.182793E+03,0.000000E+00,6.103571E-02,0.000000E+00,1.703307E+03,0.000000E+00,8.789468E-02,0.000000E+00,1.907758E+03,0.000000E+00,9.844534E-02,0.000000E+00,1.600456E+03,0.000000E+00,8.258668E-02,0.000000E+00,5.393778E+03,0.000000E+00,2.782654E-01,0.000000E+00
01:00:00,1.315869E+03,0.000000E+00,6.790136E-02,0.000000E+00,1.835985E+03,0.000000E+00,9.473985E-02,0.000000E+00,2.038984E+03,0.000000E+00,1.052154E-01,0.000000E+00,1.732113E+03,0.000000E+00,8.937933E-02,0.000000E+00,5.672404E+03,0.000000E+00,2.926202E-01,0.000000E+00
01:15:00,1.373671E+03,0.000000E+00,7.088359E-02,0.000000E+00,1.894038E+03,0.000000E+00,9.773552E-02,0.000000E+00,2.095418E+03,0.000000E+00,1.081275E-01,0.000000E+00,1.790610E+03,0.000000E+00,9.239793E-02,0.000000E+00,5.757348E+03,0.000000E+00,2.969845E-01,0.000000E+00
01:30:00,1.429466E+03,0.000000E+00,7.376195E-02,0.000000E+00,1.952328E+03,0.000000E+00,1.007432E-01,0.000000E+00,2.151991E+03,0.000000E+00,1.110466E-01,0.000000E+00,1.849462E+03,0.000000E+00,9.543470E-02,0.000000E+00,5.844297E+03,0.000000E+00,3.014581E-01,0.000000E+00
01:45:00,1.484624E+03,0.000000E+00,7.660698E-02,0.000000E+00,2.010783E+03,0.000000E+00,1.037594E-01,0.000000E+00,2.208645E+03,0.000000E+00,1.139697E-01,0.000000E+00,1.908582E+03,0.000000E+00,9.848521E-02,0.000000E+00,5.933750E+03,0.000000E+00,3.060684E-01,0.000000E+00
02:00:00,1.540172E+03,0.000000E+00,7.947252E-02,0.000000E+00,2.069332E+03,0.000000E+00,1.067804E-01,0.000000E+00,2.265317E+03,0.000000E+00,1.168937E-01,0.000000E+00,1.967883E+03,0.000000E+00,1.015450E-01,0.000000E+00,6.027474E+03,0.000000E+00,3.109059E-01,0.000000E+00
02:15:00,1.596975E+03,0.000000E+00,8.240316E-02,0.000000E+00,2.128110E+03,0.000000E+00,1.098132E-01,0.000000E+00,2.322151E+03,0.000000E+00,1.198262E-01,0.000000E+00,2.027487E+03,0.000000E+00,1.046205E-01,0.000000E+00,6.122642E+03,0.000000E+00,3.158301E-01,0.000000E+00
02:30:00,1.656221E+03,0.000000E+00,8.546019E-02,0.000000E+00,2.186977E+03,0.000000E+00,1.128506E-01,0.000000E+00,2.379022E+03,0.000000E+00,1.227607E-01,0.000000E+00,2.087242E+03,0.000000E+00,1.077037E-01,0.000000E+00,6.218505E+03,0.000000E+00,3.207865E-01,0.000000E+00
