Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.217901E+03,0.000000E+00,1.144537E-01,0.000000E+00,2.689933E+03,0.000000E+00,1.388129E-01,0.000000E+00,2.894153E+03,0.000000E+00,1.493515E-01,0.000000E+00,2.627623E+03,0.000000E+00,1.355973E-01,0.000000E+00,6.947754E+03,0.000000E+00,3.585079E-01,0.000000E+00
00:30:00,2.341177E+03,0.000000E+00,1.208131E-01,0.000000E+00,2.807787E+03,0.000000E+00,1.448922E-01,0.000000E+00,3.008192E+03,0.000000E+00,1.552337E-01,0.000000E+00,2.745787E+03,0.000000E+00,1.416927E-01,0.000000E+00,7.233382E+03,0.000000E+00,3.732368E-01,0.000000E+00
00:45:00,2.463522E+03,0.000000E+00,1.271245E-01,0.000000E+00,2.924751E+03,0.000000E+00,1.509255E-01,0.000000E+00,3.121351E+03,0.000000E+00,1.610705E-01,0.000000E+00,2.863081E+03,0.000000E+00,1.477431E-01,0.000000E+00,7.513452E+03,0.000000E+00,3.876789E-01,0.000000E+00
01:00:00,2.584861E+03,0.000000E+00,1.333839E-01,0.000000E+00,3.040762E+03,0.000000E+00,1.569097E-01,0.000000E+00,3.233563E+03,0.000000E+00,1.668584E-01,0.000000E+00,2.979438E+03,0.000000E+00,1.537452E-01,0.000000E+00,7.787903E+03,0.000000E+00,4.018307E-01,0.000000E+00
01:15:00,2.633025E+03,0.000000E+00,1.358692E-01,0.000000E+00,3.084160E+03,0.000000E+00,1.591489E-01,0.000000E+00,3.274226E+03,0.000000E+00,1.689565E-01,0.000000E+00,3.023538E+03,0.000000E+00,1.560207E-01,0.000000E+00,7.866446E+03,0.000000E+00,4.058819E-01,0.000000E+00
01:30:00,2.681026E+03,0.000000E+00,1.383457E-01,0.000000E+00,3.127466E+03,0.000000E+00,1.613832E-01,0.000000E+00,3.314810E+03,0.000000E+00,1.710502E-01,0.000000E+00,3.067565E+03,0.000000E+00,1.582922E-01,0.000000E+00,7.945310E+03,0.000000E+00,4.099485E-01,0.000000E+00
01:45:00,2.728836E+03,0.000000E+00,1.408124E-01,0.000000E+00,3.170662E+03,0.000000E+00,1.636117E-01,0.000000E+00,3.355285E+03,0.000000E+00,1.731382E-01,0.000000E+00,3.111496E+03,0.000000E+00,1.605586E-01,0.000000E+00,8.024472E+03,0.000000E+00,4.140306E-01,0.000000E+00
02:00:00,2.776417E+03,0.000000E+00,1.432671E-01,0.000000E+00,3.213718E+03,0.000000E+00,1.658329E-01,0.000000E+00,3.395588E+03,0.000000E+00,1.752172E-01,0.000000E+00,3.155299E+03,0.000000E+00,1.628184E-01,0.000000E+00,8.103876E+03,0.000000E+00,4.181256E-01,0.000000E+00
02:15:00,2.823940E+03,0.000000E+00,1.457190E-01,0.000000E+00,3.256816E+03,0.000000E+00,1.680565E-01,0.000000E+00,3.435896E+03,0.000000E+00,1.772966E-01,0.000000E+00,3.199154E+03,0.000000E+00,1.650810E-01,0.000000E+00,8.183453E+03,0.000000E+00,4.222301E-01,0.000000E+00
02:30:00,2.871376E+03,0.000000E+00,1.481664E-01,0.000000E+00,3.299938E+03,0.000000E+00,1.702813E-01,0.000000E+00,3.476251E+03,0.000000E+00,1.793785E-01,0.000000E+00,3.243040E+03,0.000000E+00,1.673453E-01,0.000000E+00,8.263155E+03,0.000000E+00,4.263415E-01,0.000000E+00
