Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.726469E+02,0.000000E+00,4.503249E-02,0.000000E+00,1.272946E+03,0.000000E+00,6.568701E-02,0.000000E+00,1.438575E+03,0.000000E+00,7.423473E-02,0.000000E+00,1.195039E+03,0.000000E+00,6.166578E-02,0.000000E+00,4.889098E+03,0.000000E+00,2.521639E-01,0.000000E+00
00:30:00,9.758985E+02,0.000000E+00,5.035899E-02,0.000000E+00,1.373022E+03,0.000000E+00,7.084976E-02,0.000000E+00,1.537293E+03,0.000000E+00,7.932721E-02,0.000000E+00,1.293626E+03,0.000000E+00,6.675185E-02,0.000000E+00,5.113199E+03,0.000000E+00,2.636789E-01,0.000000E+00
00:45:00,1.077633E+03,0.000000E+00,5.560709E-02,0.000000E+00,1.472752E+03,0.000000E+00,7.599466E-02,0.000000E+00,1.635415E+03,0.000000E+00,8.438893E-02,0.000000E+00,1.392232E+03,0.000000E+00,7.183890E-02,0.000000E+00,5.331445E+03,0.000000E+00,2.748909E-01,0.000000E+00
01:00:00,1.177666E+03,0.000000E+00,6.076723E-02,0.000000E+00,1.572018E+03,0.000000E+00,8.111558E-02,0.000000E+00,1.732851E+03,0.000000E+00,8.941524E-02,0.000000E+00,1.490626E+03,0.000000E+00,7.691496E-02,0.000000E+00,5.544107E+03,0.000000E+00,2.858263E-01,0.000000E+00
01:15:00,1.218234E+03,0.000000E+00,6.286002E-02,0.000000E+00,1.612074E+03,0.000000E+00,8.318241E-02,0.000000E+00,1.771493E+03,0.000000E+00,9.140910E-02,0.000000E+00,1.531059E+03,0.000000E+00,7.900133E-02,0.000000E+00,5.594722E+03,0.000000E+00,2.884469E-01,0.000000E+00
01:30:00,1.257943E+03,0.000000E+00,6.490814E-02,0.000000E+00,1.652295E+03,0.000000E+00,8.525762E-02,0.000000E+00,1.810232E+03,0.000000E+00,9.340773E-02,0.000000E+00,1.571742E+03,0.000000E+00,8.110041E-02,0.000000E+00,5.646165E+03,0.000000E+00,2.911236E-01,0.000000E+00
01:45:00,1.296192E+03,0.000000E+00,6.688064E-02,0.000000E+00,1.692643E+03,0.000000E+00,8.733927E-02,0.000000E+00,1.849035E+03,0.000000E+00,9.540962E-02,0.000000E+00,1.612623E+03,0.000000E+00,8.320963E-02,0.000000E+00,5.697380E+03,0.000000E+00,2.937945E-01,0.000000E+00
02:00:00,1.333429E+03,0.000000E+00,6.880039E-02,0.000000E+00,1.733074E+03,0.000000E+00,8.942525E-02,0.000000E+00,1.887866E+03,0.000000E+00,9.741294E-02,0.000000E+00,1.653650E+03,0.000000E+00,8.532640E-02,0.000000E+00,5.748067E+03,0.000000E+00,2.964309E-01,0.000000E+00
02:15:00,1.371032E+03,0.000000E+00,7.073938E-02,0.000000E+00,1.773694E+03,0.000000E+00,9.152098E-02,0.000000E+00,1.926833E+03,0.000000E+00,9.942339E-02,0.000000E+00,1.694918E+03,0.000000E+00,8.745563E-02,0.000000E+00,5.798515E+03,0.000000E+00,2.990459E-01,0.000000E+00
02:30:00,1.409520E+03,0.000000E+00,7.272465E-02,0.000000E+00,1.814469E+03,0.000000E+00,9.362485E-02,0.000000E+00,1.965911E+03,0.000000E+00,1.014396E-01,0.000000E+00,1.736387E+03,0.000000E+00,8.959534E-02,0.000000E+00,5.848954E+03,0.000000E+00,3.016556E-01,0.000000E+00
02:45:00,1.449749E+03,0.000000E+00,7.480036E-02,0.000000E+00,1.855369E+03,0.000000E+00,9.573514E-02,0.000000E+00,2.005074E+03,0.000000E+00,1.034603E-01,0.000000E+00,1.778020E+03,0.000000E+00,9.174348E-02,0.000000E+00,5.899457E+03,0.000000E+00,3.042663E-01,0.000000E+00
03:00:00,1.491538E+03,0.000000E+00,7.695737E-02,0.000000E+00,1.896362E+03,0.000000E+00,9.785028E-02,0.000000E+00,2.044299E+03,0.000000E+00,1.054842E-01,0.000000E+00,1.819780E+03,0.000000E+00,9.389822E-02,0.000000E+00,5.950050E+03,0.000000E+00,3.068802E-01,0.000000E+00
03:15:00,1.533878E+03,0.000000E+00,7.914284E-02,0.000000E+00,1.937347E+03,0.000000E+00,9.996501E-02,0.000000E+00,2.083490E+03,0.000000E+00,1.075063E-01,0.000000E+00,1.861561E+03,0.000000E+00,9.605408E-02,0.000000E+00,6.000721E+03,0.000000E+00,3.094975E-01,0.000000E+00
03:30:00,1.576658E+03,0.000000E+00,8.135070E-02,0.000000E+00,1.978300E+03,0.000000E+00,1.020781E-01,0.000000E+00,2.122629E+03,0.000000E+00,1.095257E-01,0.000000E+00,1.903337E+03,0.000000E+00,9.820961E-02,0.000000E+00,6.051470E+03,0.000000E+00,3.121182E-01,0.000000E+00
03:45:00,1.619765E+03,0.000000E+00,8.357525E-02,0.000000E+00,2.019202E+03,0.000000E+00,1.041885E-01,0.000000E+00,2.161700E+03,0.000000E+00,1.115416E-01,0.000000E+00,1.945082E+03,0.000000E+00,1.003635E-01,0.000000E+00,6.102280E+03,0.000000E+00,3.147411E-01,0.000000E+00
04:00:00,1.663111E+03,0.000000E+00,8.581193E-02,0.000000E+00,2.060039E+03,0.000000E+00,1.062954E-01,0.000000E+00,2.200693E+03,0.000000E+00,1.135533E-01,0.000000E+00,1.986780E+03,0.000000E+00,1.025149E-01,0.000000E+00,6.153148E+03,0.000000E+00,3.173659E-01,0.000000E+00
04:15:00,1.706627E+03,0.000000E+00,8.805726E-02,0.000000E+00,2.100801E+03,0.000000E+00,1.083983E-01,0.000000E+00,2.239600E+03,0.000000E+00,1.155605E-01,0.000000E+00,2.028418E+03,0.000000E+00,1.046631E-01,0.000000E+00,6.204091E+03,0.000000E+00,3.199935E-01,0.000000E+00
