Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.716186E+03,0.000000E+00,8.856038E-02,0.000000E+00,2.083444E+03,0.000000E+00,1.075124E-01,0.000000E+00,2.238464E+03,0.000000E+00,1.155120E-01,0.000000E+00,2.035131E+03,0.000000E+00,1.050192E-01,0.000000E+00,5.359653E+03,0.000000E+00,2.765391E-01,0.000000E+00
00:30:00,1.811485E+03,0.000000E+00,9.347615E-02,0.000000E+00,2.174604E+03,0.000000E+00,1.122144E-01,0.000000E+00,2.326755E+03,0.000000E+00,1.200658E-01,0.000000E+00,2.126559E+03,0.000000E+00,1.097351E-01,0.000000E+00,5.586131E+03,0.000000E+00,2.882145E-01,0.000000E+00
00:45:00,1.905773E+03,0.000000E+00,9.833980E-02,0.000000E+00,2.264758E+03,0.000000E+00,1.168644E-01,0.000000E+00,2.414052E+03,0.000000E+00,1.245683E-01,0.000000E+00,2.216993E+03,0.000000E+00,1.143996E-01,0.000000E+00,5.805799E+03,0.000000E+00,2.995383E-01,0.000000E+00
01:00:00,1.999001E+03,0.000000E+00,1.031487E-01,0.000000E+00,2.353863E+03,0.000000E+00,1.214603E-01,0.000000E+00,2.500312E+03,0.000000E+00,1.290173E-01,0.000000E+00,2.306388E+03,0.000000E+00,1.190104E-01,0.000000E+00,6.018636E+03,0.000000E+00,3.105092E-01,0.000000E+00
01:15:00,2.033939E+03,0.000000E+00,1.049513E-01,0.000000E+00,2.385028E+03,0.000000E+00,1.230683E-01,0.000000E+00,2.529370E+03,0.000000E+00,1.305165E-01,0.000000E+00,2.338080E+03,0.000000E+00,1.206456E-01,0.000000E+00,6.065411E+03,0.000000E+00,3.129209E-01,0.000000E+00
01:30:00,2.068791E+03,0.000000E+00,1.067493E-01,0.000000E+00,2.416143E+03,0.000000E+00,1.246733E-01,0.000000E+00,2.558400E+03,0.000000E+00,1.320139E-01,0.000000E+00,2.369733E+03,0.000000E+00,1.222784E-01,0.000000E+00,6.112274E+03,0.000000E+00,3.153358E-01,0.000000E+00
01:45:00,2.103542E+03,0.000000E+00,1.085420E-01,0.000000E+00,2.447197E+03,0.000000E+00,1.262752E-01,0.000000E+00,2.587394E+03,0.000000E+00,1.335095E-01,0.000000E+00,2.401334E+03,0.000000E+00,1.239086E-01,0.000000E+00,6.159250E+03,0.000000E+00,3.177569E-01,0.000000E+00
02:00:00,2.138170E+03,0.000000E+00,1.103284E-01,0.000000E+00,2.478174E+03,0.000000E+00,1.278732E-01,0.000000E+00,2.616334E+03,0.000000E+00,1.350023E-01,0.000000E+00,2.432866E+03,0.000000E+00,1.255352E-01,0.000000E+00,6.206324E+03,0.000000E+00,3.201835E-01,0.000000E+00
02:15:00,2.172800E+03,0.000000E+00,1.121149E-01,0.000000E+00,2.509207E+03,0.000000E+00,1.294742E-01,0.000000E+00,2.645351E+03,0.000000E+00,1.364992E-01,0.000000E+00,2.464457E+03,0.000000E+00,1.271650E-01,0.000000E+00,6.253471E+03,0.000000E+00,3.226145E-01,0.000000E+00
02:30:00,2.207417E+03,0.000000E+00,1.139010E-01,0.000000E+00,2.540286E+03,0.000000E+00,1.310776E-01,0.000000E+00,2.674434E+03,0.000000E+00,1.379997E-01,0.000000E+00,2.496097E+03,0.000000E+00,1.287974E-01,0.000000E+00,6.300680E+03,0.000000E+00,3.250492E-01,0.000000E+00
02:45:00,2.242005E+03,0.000000E+00,1.156855E-01,0.000000E+00,2.571399E+03,0.000000E+00,1.326829E-01,0.000000E+00,2.703573E+03,0.000000E+00,1.395031E-01,0.000000E+00,2.527772E+03,0.000000E+00,1.304316E-01,0.000000E+00,6.347933E+03,0.000000E+00,3.274864E-01,0.000000E+00
03:00:00,2.276551E+03,0.000000E+00,1.174679E-01,0.000000E+00,2.602538E+03,0.000000E+00,1.342895E-01,0.000000E+00,2.732757E+03,0.000000E+00,1.410088E-01,0.000000E+00,2.559473E+03,0.000000E+00,1.320673E-01,0.000000E+00,6.395228E+03,0.000000E+00,3.299256E-01,0.000000E+00
03:15:00,2.310967E+03,0.000000E+00,1.192436E-01,0.000000E+00,2.633618E+03,0.000000E+00,1.358931E-01,0.000000E+00,2.761901E+03,0.000000E+00,1.425125E-01,0.000000E+00,2.591113E+03,0.000000E+00,1.336998E-01,0.000000E+00,6.442545E+03,0.000000E+00,3.323660E-01,0.000000E+00
03:30:00,2.345241E+03,0.000000E+00,1.210120E-01,0.000000E+00,2.664632E+03,0.000000E+00,1.374933E-01,0.000000E+00,2.791000E+03,0.000000E+00,1.440138E-01,0.000000E+00,2.622685E+03,0.000000E+00,1.353288E-01,0.000000E+00,6.489883E+03,0.000000E+00,3.348075E-01,0.000000E+00
03:45:00,2.379363E+03,0.000000E+00,1.227724E-01,0.000000E+00,2.695575E+03,0.000000E+00,1.390897E-01,0.000000E+00,2.820047E+03,0.000000E+00,1.455124E-01,0.000000E+00,2.654185E+03,0.000000E+00,1.369539E-01,0.000000E+00,6.537233E+03,0.000000E+00,3.372490E-01,0.000000E+00
04:00:00,2.413327E+03,0.000000E+00,1.245245E-01,0.000000E+00,2.726448E+03,0.000000E+00,1.406824E-01,0.000000E+00,2.849042E+03,0.000000E+00,1.470082E-01,0.000000E+00,2.685610E+03,0.000000E+00,1.385751E-01,0.000000E+00,6.584596E+03,0.000000E+00,3.396906E-01,0.000000E+00
04:15:00,2.447126E+03,0.000000E+00,1.262680E-01,0.000000E+00,2.757254E+03,0.000000E+00,1.422715E-01,0.000000E+00,2.877989E+03,0.000000E+00,1.485013E-01,0.000000E+00,2.716963E+03,0.000000E+00,1.401924E-01,0.000000E+00,6.631994E+03,0.000000E+00,3.421334E-01,0.000000E+00
04:30:00,2.480748E+03,0.000000E+00,1.280023E-01,0.000000E+00,2.787993E+03,0.000000E+00,1.438570E-01,0.000000E+00,2.906886E+03,0.000000E+00,1.499917E-01,0.000000E+00,2.748244E+03,0.000000E+00,1.418059E-01,0.000000E+00,6.679430E+03,0.000000E+00,3.445776E-01,0.000000E+00
04:45:00,2.514174E+03,0.000000E+00,1.297263E-01,0.000000E+00,2.818665E+03,0.000000E+00,1.454390E-01,0.000000E+00,2.935735E+03,0.000000E+00,1.514796E-01,0.000000E+00,2.779455E+03,0.000000E+00,1.434156E-01,0.000000E+00,6.726916E+03,0.000000E+00,3.470244E-01,0.000000E+00
05:00:00,2.547354E+03,0.000000E+00,1.314376E-01,0.000000E+00,2.849271E+03,0.000000E+00,1.470175E-01,0.000000E+00,2.964535E+03,0.000000E+00,1.529649E-01,0.000000E+00,2.810592E+03,0.000000E+00,1.450217E-01,0.000000E+00,6.774450E+03,0.000000E+00,3.494738E-01,0.000000E+00
05:15:00,2.580259E+03,0.000000E+00,1.331347E-01,0.000000E+00,2.879732E+03,0.000000E+00,1.485886E-01,0.000000E+00,2.993206E+03,0.000000E+00,1.544437E-01,0.000000E+00,2.841580E+03,0.000000E+00,1.466200E-01,0.000000E+00,6.821633E+03,0.000000E+00,3.519052E-01,0.000000E+00
05:30:00,2.613003E+03,0.000000E+00,1.348236E-01,0.000000E+00,2.910046E+03,0.000000E+00,1.501522E-01,0.000000E+00,3.021748E+03,0.000000E+00,1.559158E-01,0.000000E+00,2.872415E+03,0.000000E+00,1.482105E-01,0.000000E+00,6.868457E+03,0.000000E+00,3.543184E-01,0.000000E+00
