,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,416.74,0.00,761.83,0.00,34.98,0.00,371.49,122.04,0.00,0.00,0.00,0.00,0.00
February,379.04,0.00,679.89,0.00,39.15,0.00,33.26,490.88,0.00,0.00,0.00,0.00,0.00
March,434.84,0.00,765.87,0.00,114.37,0.00,0.17,1589.71,0.00,0.00,0.00,0.00,0.00
April,380.80,0.00,706.57,0.00,209.62,0.00,0.00,3151.46,0.00,0.00,0.00,0.00,0.00
May,434.84,0.00,765.87,0.00,305.51,0.00,0.00,4755.48,0.00,0.00,0.00,0.00,0.00
June,416.24,0.00,737.21,0.00,311.41,0.00,0.00,4826.42,0.00,0.00,0.00,0.00,0.00
July,399.40,0.00,735.23,0.00,236.46,0.00,0.00,3503.40,0.00,0.00,0.00,0.00,0.00
August,434.84,0.00,765.87,0.00,239.98,0.00,0.00,3515.77,0.00,0.00,0.00,0.00,0.00
September,398.89,0.00,710.60,0.00,226.17,0.00,0.00,3329.45,0.00,0.00,0.00,0.00,0.00
October,416.74,0.00,761.83,0.00,151.69,0.00,0.00,2158.58,0.00,0.00,0.00,0.00,0.00
November,416.24,0.00,737.21,0.00,60.74,0.00,0.88,822.11,0.00,0.00,0.00,0.00,0.00
December,399.40,0.00,735.23,0.00,29.62,0.00,223.89,212.70,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,4928.02,,8863.21,,1959.69,,629.70,28478.01,,,,,
Minimum of Months,379.04,0.00,679.89,0.00,29.62,0.00,0.00,122.04,0.00,0.00,0.00,0.00,0.00
Maximum of Months,434.84,0.00,765.87,0.00,311.41,0.00,371.49,4826.42,0.00,0.00,0.00,0.00,0.00
