Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.501194E+02,0.000000E+00,4.903981E-02,0.000000E+00,1.244439E+03,0.000000E+00,6.421362E-02,0.000000E+00,9.651704E+02,0.000000E+00,4.980553E-02,0.000000E+00,7.649008E+02,0.000000E+00,3.947316E-02,0.000000E+00,4.400228E+03,0.000000E+00,2.270480E-01,0.000000E+00
00:30:00,1.033524E+03,0.000000E+00,5.334722E-02,0.000000E+00,1.354901E+03,0.000000E+00,6.991150E-02,0.000000E+00,1.053398E+03,0.000000E+00,5.435607E-02,0.000000E+00,8.726777E+02,0.000000E+00,4.503353E-02,0.000000E+00,4.635257E+03,0.000000E+00,2.391668E-01,0.000000E+00
00:45:00,1.087268E+03,0.000000E+00,5.612366E-02,0.000000E+00,1.464627E+03,0.000000E+00,7.557165E-02,0.000000E+00,1.138313E+03,0.000000E+00,5.873548E-02,0.000000E+00,9.771755E+02,0.000000E+00,5.042454E-02,0.000000E+00,4.862961E+03,0.000000E+00,2.509071E-01,0.000000E+00
01:00:00,1.137525E+03,0.000000E+00,5.871998E-02,0.000000E+00,1.575072E+03,0.000000E+00,8.126917E-02,0.000000E+00,1.218779E+03,0.000000E+00,6.288500E-02,0.000000E+00,1.078172E+03,0.000000E+00,5.563473E-02,0.000000E+00,5.083254E+03,0.000000E+00,2.622646E-01,0.000000E+00
01:15:00,1.130815E+03,0.000000E+00,5.837357E-02,0.000000E+00,1.616507E+03,0.000000E+00,8.340734E-02,0.000000E+00,1.244264E+03,0.000000E+00,6.419816E-02,0.000000E+00,1.114853E+03,0.000000E+00,5.752685E-02,0.000000E+00,5.135316E+03,0.000000E+00,2.649485E-01,0.000000E+00
01:30:00,1.121264E+03,0.000000E+00,5.788036E-02,0.000000E+00,1.659559E+03,0.000000E+00,8.562873E-02,0.000000E+00,1.271368E+03,0.000000E+00,6.559561E-02,0.000000E+00,1.149699E+03,0.000000E+00,5.932410E-02,0.000000E+00,5.186870E+03,0.000000E+00,2.676052E-01,0.000000E+00
01:45:00,1.139647E+03,0.000000E+00,5.882900E-02,0.000000E+00,1.704727E+03,0.000000E+00,8.795937E-02,0.000000E+00,1.301017E+03,0.000000E+00,6.712501E-02,0.000000E+00,1.183805E+03,0.000000E+00,6.108298E-02,0.000000E+00,5.239008E+03,0.000000E+00,2.702923E-01,0.000000E+00
02:00:00,1.159685E+03,0.000000E+00,5.986322E-02,0.000000E+00,1.752441E+03,0.000000E+00,9.042153E-02,0.000000E+00,1.334829E+03,0.000000E+00,6.886991E-02,0.000000E+00,1.218247E+03,0.000000E+00,6.285923E-02,0.000000E+00,5.291888E+03,0.000000E+00,2.730180E-01,0.000000E+00
02:15:00,1.180859E+03,0.000000E+00,6.095598E-02,0.000000E+00,1.802592E+03,0.000000E+00,9.300955E-02,0.000000E+00,1.371824E+03,0.000000E+00,7.078014E-02,0.000000E+00,1.253518E+03,0.000000E+00,6.467828E-02,0.000000E+00,5.345738E+03,0.000000E+00,2.757943E-01,0.000000E+00
02:30:00,1.238933E+03,0.000000E+00,6.395348E-02,0.000000E+00,1.853833E+03,0.000000E+00,9.565379E-02,0.000000E+00,1.410231E+03,0.000000E+00,7.276284E-02,0.000000E+00,1.289758E+03,0.000000E+00,6.654727E-02,0.000000E+00,5.400913E+03,0.000000E+00,2.786395E-01,0.000000E+00
02:45:00,1.302960E+03,0.000000E+00,6.725841E-02,0.000000E+00,1.906012E+03,0.000000E+00,9.834640E-02,0.000000E+00,1.449889E+03,0.000000E+00,7.480969E-02,0.000000E+00,1.325092E+03,0.000000E+00,6.836922E-02,0.000000E+00,5.456488E+03,0.000000E+00,2.815053E-01,0.000000E+00
