Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.735544E+02,0.000000E+00,4.507935E-02,0.000000E+00,1.276130E+03,0.000000E+00,6.585139E-02,0.000000E+00,1.442725E+03,0.000000E+00,7.444888E-02,0.000000E+00,1.197785E+03,0.000000E+00,6.180758E-02,0.000000E+00,4.888965E+03,0.000000E+00,2.521601E-01,0.000000E+00
00:30:00,9.774579E+02,0.000000E+00,5.043950E-02,0.000000E+00,1.376854E+03,0.000000E+00,7.104756E-02,0.000000E+00,1.542086E+03,0.000000E+00,7.957460E-02,0.000000E+00,1.297001E+03,0.000000E+00,6.692608E-02,0.000000E+00,5.113784E+03,0.000000E+00,2.637121E-01,0.000000E+00
00:45:00,1.079844E+03,0.000000E+00,5.572126E-02,0.000000E+00,1.477242E+03,0.000000E+00,7.622641E-02,0.000000E+00,1.640859E+03,0.000000E+00,8.466996E-02,0.000000E+00,1.396249E+03,0.000000E+00,7.204625E-02,0.000000E+00,5.332803E+03,0.000000E+00,2.749647E-01,0.000000E+00
01:00:00,1.180527E+03,0.000000E+00,6.091493E-02,0.000000E+00,1.577175E+03,0.000000E+00,8.138175E-02,0.000000E+00,1.738954E+03,0.000000E+00,8.973024E-02,0.000000E+00,1.495297E+03,0.000000E+00,7.715604E-02,0.000000E+00,5.546224E+03,0.000000E+00,2.859402E-01,0.000000E+00
01:15:00,1.221433E+03,0.000000E+00,6.302512E-02,0.000000E+00,1.617589E+03,0.000000E+00,8.346708E-02,0.000000E+00,1.777948E+03,0.000000E+00,9.174224E-02,0.000000E+00,1.536090E+03,0.000000E+00,7.926100E-02,0.000000E+00,5.597338E+03,0.000000E+00,2.885868E-01,0.000000E+00
01:30:00,1.261462E+03,0.000000E+00,6.508978E-02,0.000000E+00,1.658170E+03,0.000000E+00,8.556087E-02,0.000000E+00,1.817039E+03,0.000000E+00,9.375907E-02,0.000000E+00,1.577135E+03,0.000000E+00,8.137878E-02,0.000000E+00,5.649239E+03,0.000000E+00,2.912874E-01,0.000000E+00
01:45:00,1.300030E+03,0.000000E+00,6.707873E-02,0.000000E+00,1.698942E+03,0.000000E+00,8.766440E-02,0.000000E+00,1.856254E+03,0.000000E+00,9.578221E-02,0.000000E+00,1.618444E+03,0.000000E+00,8.351012E-02,0.000000E+00,5.700904E+03,0.000000E+00,2.939808E-01,0.000000E+00
02:00:00,1.337668E+03,0.000000E+00,6.901919E-02,0.000000E+00,1.739774E+03,0.000000E+00,8.977102E-02,0.000000E+00,1.895473E+03,0.000000E+00,9.780555E-02,0.000000E+00,1.659876E+03,0.000000E+00,8.564777E-02,0.000000E+00,5.752078E+03,0.000000E+00,2.966410E-01,0.000000E+00
02:15:00,1.375663E+03,0.000000E+00,7.097842E-02,0.000000E+00,1.780772E+03,0.000000E+00,9.188633E-02,0.000000E+00,1.934809E+03,0.000000E+00,9.983504E-02,0.000000E+00,1.701528E+03,0.000000E+00,8.779681E-02,0.000000E+00,5.803044E+03,0.000000E+00,2.992821E-01,0.000000E+00
02:30:00,1.414568E+03,0.000000E+00,7.298523E-02,0.000000E+00,1.821925E+03,0.000000E+00,9.400962E-02,0.000000E+00,1.974253E+03,0.000000E+00,1.018702E-01,0.000000E+00,1.743379E+03,0.000000E+00,8.995619E-02,0.000000E+00,5.854023E+03,0.000000E+00,3.019195E-01,0.000000E+00
