Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.726390E+03,0.000000E+00,8.908699E-02,0.000000E+00,2.095501E+03,0.000000E+00,1.081346E-01,0.000000E+00,2.251545E+03,0.000000E+00,1.161871E-01,0.000000E+00,2.046880E+03,0.000000E+00,1.056256E-01,0.000000E+00,5.381136E+03,0.000000E+00,2.776484E-01,0.000000E+00
00:30:00,1.822252E+03,0.000000E+00,9.403185E-02,0.000000E+00,2.187198E+03,0.000000E+00,1.128643E-01,0.000000E+00,2.340354E+03,0.000000E+00,1.207676E-01,0.000000E+00,2.138848E+03,0.000000E+00,1.103693E-01,0.000000E+00,5.608320E+03,0.000000E+00,2.893602E-01,0.000000E+00
00:45:00,1.917107E+03,0.000000E+00,9.892469E-02,0.000000E+00,2.277893E+03,0.000000E+00,1.175423E-01,0.000000E+00,2.428171E+03,0.000000E+00,1.252970E-01,0.000000E+00,2.229824E+03,0.000000E+00,1.150618E-01,0.000000E+00,5.828708E+03,0.000000E+00,3.007213E-01,0.000000E+00
01:00:00,2.010902E+03,0.000000E+00,1.037628E-01,0.000000E+00,2.367541E+03,0.000000E+00,1.221662E-01,0.000000E+00,2.514954E+03,0.000000E+00,1.297729E-01,0.000000E+00,2.319763E+03,0.000000E+00,1.197007E-01,0.000000E+00,6.042280E+03,0.000000E+00,3.117303E-01,0.000000E+00
01:15:00,2.046107E+03,0.000000E+00,1.055793E-01,0.000000E+00,2.398954E+03,0.000000E+00,1.237869E-01,0.000000E+00,2.544246E+03,0.000000E+00,1.312842E-01,0.000000E+00,2.351706E+03,0.000000E+00,1.213488E-01,0.000000E+00,6.089430E+03,0.000000E+00,3.141612E-01,0.000000E+00
01:30:00,2.081225E+03,0.000000E+00,1.073910E-01,0.000000E+00,2.430314E+03,0.000000E+00,1.254047E-01,0.000000E+00,2.573510E+03,0.000000E+00,1.327937E-01,0.000000E+00,2.383609E+03,0.000000E+00,1.229946E-01,0.000000E+00,6.136671E+03,0.000000E+00,3.165957E-01,0.000000E+00
01:45:00,2.116240E+03,0.000000E+00,1.091973E-01,0.000000E+00,2.461614E+03,0.000000E+00,1.270192E-01,0.000000E+00,2.602737E+03,0.000000E+00,1.343013E-01,0.000000E+00,2.415460E+03,0.000000E+00,1.246376E-01,0.000000E+00,6.184027E+03,0.000000E+00,3.190364E-01,0.000000E+00
02:00:00,2.151131E+03,0.000000E+00,1.109973E-01,0.000000E+00,2.492835E+03,0.000000E+00,1.286298E-01,0.000000E+00,2.631909E+03,0.000000E+00,1.358061E-01,0.000000E+00,2.447240E+03,0.000000E+00,1.262770E-01,0.000000E+00,6.231483E+03,0.000000E+00,3.214828E-01,0.000000E+00
02:15:00,2.186023E+03,0.000000E+00,1.127973E-01,0.000000E+00,2.524113E+03,0.000000E+00,1.302434E-01,0.000000E+00,2.661158E+03,0.000000E+00,1.373150E-01,0.000000E+00,2.479080E+03,0.000000E+00,1.279196E-01,0.000000E+00,6.279014E+03,0.000000E+00,3.239336E-01,0.000000E+00
02:30:00,2.220900E+03,0.000000E+00,1.145968E-01,0.000000E+00,2.555436E+03,0.000000E+00,1.318594E-01,0.000000E+00,2.690474E+03,0.000000E+00,1.388274E-01,0.000000E+00,2.510968E+03,0.000000E+00,1.295648E-01,0.000000E+00,6.326608E+03,0.000000E+00,3.263882E-01,0.000000E+00
