,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,898.02,0.00,1532.70,0.00,62.72,0.00,799.77,0.00,0.00,0.00,0.00,0.00,0.00
February,816.77,0.00,1367.85,0.00,18.20,0.00,131.42,107.79,0.00,0.00,0.00,0.00,0.00
March,937.02,0.00,1540.82,0.00,67.29,0.00,9.87,945.02,0.00,0.00,0.00,0.00,0.00
April,820.56,0.00,1421.51,0.00,169.21,0.00,0.00,2560.28,0.00,0.00,0.00,0.00,0.00
May,937.02,0.00,1540.82,0.00,272.63,0.00,0.00,4249.90,0.00,0.00,0.00,0.00,0.00
June,896.94,0.00,1483.16,0.00,291.67,0.00,0.00,4531.45,0.00,0.00,0.00,0.00,0.00
July,860.64,0.00,1479.17,0.00,230.75,0.00,0.00,3427.65,0.00,0.00,0.00,0.00,0.00
August,937.02,0.00,1540.82,0.00,232.64,0.00,0.00,3424.66,0.00,0.00,0.00,0.00,0.00
September,859.56,0.00,1429.63,0.00,212.89,0.00,0.00,3150.31,0.00,0.00,0.00,0.00,0.00
October,898.02,0.00,1532.70,0.00,113.76,0.00,0.00,1631.90,0.00,0.00,0.00,0.00,0.00
November,896.94,0.00,1483.16,0.00,25.41,0.00,22.08,338.26,0.00,0.00,0.00,0.00,0.00
December,860.64,0.00,1479.17,0.00,42.82,0.00,559.54,5.28,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,10619.15,,17831.54,,1739.99,,1522.68,24372.49,,,,,
Minimum of Months,816.77,0.00,1367.85,0.00,18.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,937.02,0.00,1540.82,0.00,291.67,0.00,799.77,4531.45,0.00,0.00,0.00,0.00,0.00
