Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.833024E+03,0.000000E+00,9.459348E-02,0.000000E+00,2.247878E+03,0.000000E+00,1.160020E-01,0.000000E+00,2.467350E+03,0.000000E+00,1.273279E-01,0.000000E+00,2.212601E+03,0.000000E+00,1.141815E-01,0.000000E+00,7.072540E+03,0.000000E+00,3.649503E-01,0.000000E+00
00:30:00,1.933497E+03,0.000000E+00,9.977660E-02,0.000000E+00,2.346519E+03,0.000000E+00,1.210903E-01,0.000000E+00,2.563652E+03,0.000000E+00,1.322954E-01,0.000000E+00,2.310024E+03,0.000000E+00,1.192070E-01,0.000000E+00,7.366312E+03,0.000000E+00,3.800997E-01,0.000000E+00
00:45:00,2.033541E+03,0.000000E+00,1.049376E-01,0.000000E+00,2.444724E+03,0.000000E+00,1.261562E-01,0.000000E+00,2.659528E+03,0.000000E+00,1.372409E-01,0.000000E+00,2.407071E+03,0.000000E+00,1.242131E-01,0.000000E+00,7.654908E+03,0.000000E+00,3.949819E-01,0.000000E+00
01:00:00,2.133098E+03,0.000000E+00,1.100734E-01,0.000000E+00,2.542447E+03,0.000000E+00,1.311971E-01,0.000000E+00,2.754930E+03,0.000000E+00,1.421620E-01,0.000000E+00,2.503691E+03,0.000000E+00,1.291972E-01,0.000000E+00,7.938262E+03,0.000000E+00,4.095934E-01,0.000000E+00
01:15:00,2.172982E+03,0.000000E+00,1.121314E-01,0.000000E+00,2.580262E+03,0.000000E+00,1.331484E-01,0.000000E+00,2.791120E+03,0.000000E+00,1.440293E-01,0.000000E+00,2.541308E+03,0.000000E+00,1.311382E-01,0.000000E+00,8.022283E+03,0.000000E+00,4.139275E-01,0.000000E+00
01:30:00,2.213024E+03,0.000000E+00,1.141974E-01,0.000000E+00,2.618247E+03,0.000000E+00,1.351082E-01,0.000000E+00,2.827489E+03,0.000000E+00,1.459057E-01,0.000000E+00,2.579145E+03,0.000000E+00,1.330904E-01,0.000000E+00,8.106834E+03,0.000000E+00,4.182878E-01,0.000000E+00
01:45:00,2.253182E+03,0.000000E+00,1.162693E-01,0.000000E+00,2.656372E+03,0.000000E+00,1.370751E-01,0.000000E+00,2.864006E+03,0.000000E+00,1.477897E-01,0.000000E+00,2.617165E+03,0.000000E+00,1.350519E-01,0.000000E+00,8.191875E+03,0.000000E+00,4.226733E-01,0.000000E+00
02:00:00,2.293409E+03,0.000000E+00,1.183447E-01,0.000000E+00,2.694599E+03,0.000000E+00,1.390474E-01,0.000000E+00,2.900634E+03,0.000000E+00,1.496793E-01,0.000000E+00,2.655326E+03,0.000000E+00,1.370208E-01,0.000000E+00,8.277338E+03,0.000000E+00,4.270809E-01,0.000000E+00
02:15:00,2.333759E+03,0.000000E+00,1.204265E-01,0.000000E+00,2.732993E+03,0.000000E+00,1.410283E-01,0.000000E+00,2.937436E+03,0.000000E+00,1.515780E-01,0.000000E+00,2.693689E+03,0.000000E+00,1.390001E-01,0.000000E+00,8.363140E+03,0.000000E+00,4.315066E-01,0.000000E+00
02:30:00,2.374188E+03,0.000000E+00,1.225125E-01,0.000000E+00,2.771523E+03,0.000000E+00,1.430162E-01,0.000000E+00,2.974379E+03,0.000000E+00,1.534841E-01,0.000000E+00,2.732218E+03,0.000000E+00,1.409880E-01,0.000000E+00,8.449218E+03,0.000000E+00,4.359470E-01,0.000000E+00
