Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.029341E+02,0.000000E+00,4.659632E-02,0.000000E+00,1.380749E+03,0.000000E+00,7.125158E-02,0.000000E+00,1.572871E+03,0.000000E+00,8.116635E-02,0.000000E+00,1.288485E+03,0.000000E+00,6.648961E-02,0.000000E+00,4.856857E+03,0.000000E+00,2.505765E-01,0.000000E+00
00:30:00,1.027760E+03,0.000000E+00,5.303634E-02,0.000000E+00,1.502157E+03,0.000000E+00,7.751525E-02,0.000000E+00,1.693238E+03,0.000000E+00,8.737608E-02,0.000000E+00,1.408214E+03,0.000000E+00,7.266678E-02,0.000000E+00,5.118952E+03,0.000000E+00,2.640777E-01,0.000000E+00
00:45:00,1.151094E+03,0.000000E+00,5.939927E-02,0.000000E+00,1.623550E+03,0.000000E+00,8.377809E-02,0.000000E+00,1.813254E+03,0.000000E+00,9.356771E-02,0.000000E+00,1.528387E+03,0.000000E+00,7.886681E-02,0.000000E+00,5.372960E+03,0.000000E+00,2.771573E-01,0.000000E+00
01:00:00,1.272657E+03,0.000000E+00,6.567067E-02,0.000000E+00,1.744763E+03,0.000000E+00,9.003162E-02,0.000000E+00,1.932799E+03,0.000000E+00,9.973498E-02,0.000000E+00,1.648720E+03,0.000000E+00,8.507504E-02,0.000000E+00,5.620721E+03,0.000000E+00,2.899033E-01,0.000000E+00
01:15:00,1.324242E+03,0.000000E+00,6.833204E-02,0.000000E+00,1.796535E+03,0.000000E+00,9.270310E-02,0.000000E+00,1.982980E+03,0.000000E+00,1.023244E-01,0.000000E+00,1.700917E+03,0.000000E+00,8.776853E-02,0.000000E+00,5.689410E+03,0.000000E+00,2.934315E-01,0.000000E+00
01:30:00,1.374206E+03,0.000000E+00,7.090944E-02,0.000000E+00,1.848519E+03,0.000000E+00,9.538538E-02,0.000000E+00,2.033287E+03,0.000000E+00,1.049200E-01,0.000000E+00,1.753433E+03,0.000000E+00,9.047831E-02,0.000000E+00,5.760230E+03,0.000000E+00,2.970782E-01,0.000000E+00
01:45:00,1.423030E+03,0.000000E+00,7.342757E-02,0.000000E+00,1.900656E+03,0.000000E+00,9.807545E-02,0.000000E+00,2.083669E+03,0.000000E+00,1.075195E-01,0.000000E+00,1.806192E+03,0.000000E+00,9.320054E-02,0.000000E+00,5.834128E+03,0.000000E+00,3.008933E-01,0.000000E+00
02:00:00,1.472134E+03,0.000000E+00,7.596033E-02,0.000000E+00,1.952883E+03,0.000000E+00,1.007701E-01,0.000000E+00,2.134072E+03,0.000000E+00,1.101200E-01,0.000000E+00,1.859120E+03,0.000000E+00,9.593145E-02,0.000000E+00,5.909209E+03,0.000000E+00,3.047840E-01,0.000000E+00
02:15:00,1.522202E+03,0.000000E+00,7.854329E-02,0.000000E+00,2.005249E+03,0.000000E+00,1.034720E-01,0.000000E+00,2.184558E+03,0.000000E+00,1.127248E-01,0.000000E+00,1.912252E+03,0.000000E+00,9.867289E-02,0.000000E+00,5.984503E+03,0.000000E+00,3.086837E-01,0.000000E+00
02:30:00,1.574248E+03,0.000000E+00,8.122870E-02,0.000000E+00,2.057736E+03,0.000000E+00,1.061802E-01,0.000000E+00,2.235116E+03,0.000000E+00,1.153335E-01,0.000000E+00,1.965560E+03,0.000000E+00,1.014235E-01,0.000000E+00,6.060128E+03,0.000000E+00,3.125954E-01,0.000000E+00
