Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.048108E+03,0.000000E+00,1.056907E-01,0.000000E+00,2.479043E+03,0.000000E+00,1.279289E-01,0.000000E+00,2.665254E+03,0.000000E+00,1.375382E-01,0.000000E+00,2.421347E+03,0.000000E+00,1.249515E-01,0.000000E+00,6.280401E+03,0.000000E+00,3.240661E-01,0.000000E+00
00:30:00,2.161644E+03,0.000000E+00,1.115475E-01,0.000000E+00,2.587628E+03,0.000000E+00,1.335299E-01,0.000000E+00,2.770356E+03,0.000000E+00,1.429593E-01,0.000000E+00,2.530231E+03,0.000000E+00,1.305680E-01,0.000000E+00,6.539779E+03,0.000000E+00,3.374404E-01,0.000000E+00
00:45:00,2.274224E+03,0.000000E+00,1.173549E-01,0.000000E+00,2.695287E+03,0.000000E+00,1.390832E-01,0.000000E+00,2.874547E+03,0.000000E+00,1.483334E-01,0.000000E+00,2.638207E+03,0.000000E+00,1.361376E-01,0.000000E+00,6.793056E+03,0.000000E+00,3.504999E-01,0.000000E+00
01:00:00,2.385781E+03,0.000000E+00,1.231096E-01,0.000000E+00,2.801966E+03,0.000000E+00,1.445858E-01,0.000000E+00,2.977773E+03,0.000000E+00,1.536577E-01,0.000000E+00,2.745214E+03,0.000000E+00,1.416572E-01,0.000000E+00,7.040191E+03,0.000000E+00,3.632421E-01,0.000000E+00
01:15:00,2.429355E+03,0.000000E+00,1.253580E-01,0.000000E+00,2.841126E+03,0.000000E+00,1.466064E-01,0.000000E+00,3.014432E+03,0.000000E+00,1.555492E-01,0.000000E+00,2.785015E+03,0.000000E+00,1.437109E-01,0.000000E+00,7.104583E+03,0.000000E+00,3.665629E-01,0.000000E+00
01:30:00,2.472795E+03,0.000000E+00,1.275991E-01,0.000000E+00,2.880212E+03,0.000000E+00,1.486228E-01,0.000000E+00,3.051044E+03,0.000000E+00,1.574379E-01,0.000000E+00,2.824758E+03,0.000000E+00,1.457613E-01,0.000000E+00,7.169201E+03,0.000000E+00,3.698944E-01,0.000000E+00
01:45:00,2.516078E+03,0.000000E+00,1.298321E-01,0.000000E+00,2.919208E+03,0.000000E+00,1.506346E-01,0.000000E+00,3.087593E+03,0.000000E+00,1.593233E-01,0.000000E+00,2.864424E+03,0.000000E+00,1.478076E-01,0.000000E+00,7.234043E+03,0.000000E+00,3.732376E-01,0.000000E+00
02:00:00,2.559172E+03,0.000000E+00,1.320554E-01,0.000000E+00,2.958091E+03,0.000000E+00,1.526405E-01,0.000000E+00,3.124054E+03,0.000000E+00,1.612042E-01,0.000000E+00,2.903984E+03,0.000000E+00,1.498485E-01,0.000000E+00,7.299072E+03,0.000000E+00,3.765909E-01,0.000000E+00
02:15:00,2.602233E+03,0.000000E+00,1.342770E-01,0.000000E+00,2.997026E+03,0.000000E+00,1.546492E-01,0.000000E+00,3.160588E+03,0.000000E+00,1.630890E-01,0.000000E+00,2.943602E+03,0.000000E+00,1.518924E-01,0.000000E+00,7.364237E+03,0.000000E+00,3.799518E-01,0.000000E+00
02:30:00,2.645240E+03,0.000000E+00,1.364959E-01,0.000000E+00,3.035998E+03,0.000000E+00,1.566599E-01,0.000000E+00,3.197179E+03,0.000000E+00,1.649768E-01,0.000000E+00,2.983262E+03,0.000000E+00,1.539386E-01,0.000000E+00,7.429506E+03,0.000000E+00,3.833185E-01,0.000000E+00
02:45:00,2.688166E+03,0.000000E+00,1.387107E-01,0.000000E+00,3.074990E+03,0.000000E+00,1.586717E-01,0.000000E+00,3.233808E+03,0.000000E+00,1.668667E-01,0.000000E+00,3.022944E+03,0.000000E+00,1.559861E-01,0.000000E+00,7.494844E+03,0.000000E+00,3.866890E-01,0.000000E+00
03:00:00,2.730990E+03,0.000000E+00,1.409202E-01,0.000000E+00,3.113990E+03,0.000000E+00,1.606840E-01,0.000000E+00,3.270457E+03,0.000000E+00,1.687576E-01,0.000000E+00,3.062635E+03,0.000000E+00,1.580340E-01,0.000000E+00,7.560233E+03,0.000000E+00,3.900620E-01,0.000000E+00
03:15:00,2.773592E+03,0.000000E+00,1.431183E-01,0.000000E+00,3.152888E+03,0.000000E+00,1.626910E-01,0.000000E+00,3.307016E+03,0.000000E+00,1.706438E-01,0.000000E+00,3.102223E+03,0.000000E+00,1.600766E-01,0.000000E+00,7.625645E+03,0.000000E+00,3.934363E-01,0.000000E+00
03:30:00,2.815945E+03,0.000000E+00,1.453035E-01,0.000000E+00,3.191675E+03,0.000000E+00,1.646923E-01,0.000000E+00,3.343467E+03,0.000000E+00,1.725245E-01,0.000000E+00,3.141698E+03,0.000000E+00,1.621134E-01,0.000000E+00,7.691072E+03,0.000000E+00,3.968113E-01,0.000000E+00
03:45:00,2.858016E+03,0.000000E+00,1.474741E-01,0.000000E+00,3.230346E+03,0.000000E+00,1.666875E-01,0.000000E+00,3.379788E+03,0.000000E+00,1.743984E-01,0.000000E+00,3.181055E+03,0.000000E+00,1.641440E-01,0.000000E+00,7.756502E+03,0.000000E+00,4.001859E-01,0.000000E+00
04:00:00,2.899733E+03,0.000000E+00,1.496263E-01,0.000000E+00,3.268898E+03,0.000000E+00,1.686764E-01,0.000000E+00,3.415941E+03,0.000000E+00,1.762634E-01,0.000000E+00,3.220290E+03,0.000000E+00,1.661682E-01,0.000000E+00,7.821936E+03,0.000000E+00,4.035603E-01,0.000000E+00
04:15:00,2.941183E+03,0.000000E+00,1.517645E-01,0.000000E+00,3.307335E+03,0.000000E+00,1.706592E-01,0.000000E+00,3.451992E+03,0.000000E+00,1.781228E-01,0.000000E+00,3.259407E+03,0.000000E+00,1.681862E-01,0.000000E+00,7.887398E+03,0.000000E+00,4.069355E-01,0.000000E+00
04:30:00,2.982509E+03,0.000000E+00,1.538962E-01,0.000000E+00,3.345655E+03,0.000000E+00,1.726359E-01,0.000000E+00,3.487958E+03,0.000000E+00,1.799779E-01,0.000000E+00,3.298404E+03,0.000000E+00,1.701978E-01,0.000000E+00,7.952889E+03,0.000000E+00,4.103115E-01,0.000000E+00
04:45:00,3.023785E+03,0.000000E+00,1.560253E-01,0.000000E+00,3.383857E+03,0.000000E+00,1.746064E-01,0.000000E+00,3.523868E+03,0.000000E+00,1.818299E-01,0.000000E+00,3.337281E+03,0.000000E+00,1.722031E-01,0.000000E+00,8.018419E+03,0.000000E+00,4.136896E-01,0.000000E+00
05:00:00,3.065127E+03,0.000000E+00,1.581580E-01,0.000000E+00,3.421939E+03,0.000000E+00,1.765706E-01,0.000000E+00,3.559770E+03,0.000000E+00,1.836817E-01,0.000000E+00,3.376034E+03,0.000000E+00,1.742020E-01,0.000000E+00,8.083984E+03,0.000000E+00,4.170696E-01,0.000000E+00
