Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.463950E+03,0.000000E+00,1.271482E-01,0.000000E+00,2.676826E+03,0.000000E+00,1.381340E-01,0.000000E+00,2.900183E+03,0.000000E+00,1.496600E-01,0.000000E+00,2.877046E+03,0.000000E+00,1.484657E-01,0.000000E+00,6.207340E+03,0.000000E+00,3.202918E-01,0.000000E+00
00:30:00,2.544322E+03,0.000000E+00,1.312932E-01,0.000000E+00,2.746079E+03,0.000000E+00,1.417051E-01,0.000000E+00,2.969210E+03,0.000000E+00,1.532193E-01,0.000000E+00,2.959069E+03,0.000000E+00,1.526956E-01,0.000000E+00,6.431196E+03,0.000000E+00,3.318327E-01,0.000000E+00
00:45:00,2.623674E+03,0.000000E+00,1.353855E-01,0.000000E+00,2.814569E+03,0.000000E+00,1.452369E-01,0.000000E+00,3.037444E+03,0.000000E+00,1.567377E-01,0.000000E+00,3.040070E+03,0.000000E+00,1.568727E-01,0.000000E+00,6.648424E+03,0.000000E+00,3.430315E-01,0.000000E+00
01:00:00,2.701953E+03,0.000000E+00,1.394224E-01,0.000000E+00,2.882259E+03,0.000000E+00,1.487274E-01,0.000000E+00,3.104846E+03,0.000000E+00,1.602130E-01,0.000000E+00,3.119999E+03,0.000000E+00,1.609945E-01,0.000000E+00,6.859000E+03,0.000000E+00,3.538867E-01,0.000000E+00
01:15:00,2.726544E+03,0.000000E+00,1.406910E-01,0.000000E+00,2.901327E+03,0.000000E+00,1.497111E-01,0.000000E+00,3.122752E+03,0.000000E+00,1.611367E-01,0.000000E+00,3.143439E+03,0.000000E+00,1.622038E-01,0.000000E+00,6.903090E+03,0.000000E+00,3.561598E-01,0.000000E+00
01:30:00,2.751126E+03,0.000000E+00,1.419589E-01,0.000000E+00,2.920551E+03,0.000000E+00,1.507025E-01,0.000000E+00,3.140806E+03,0.000000E+00,1.620678E-01,0.000000E+00,3.166930E+03,0.000000E+00,1.634154E-01,0.000000E+00,6.947358E+03,0.000000E+00,3.584411E-01,0.000000E+00
01:45:00,2.775643E+03,0.000000E+00,1.432234E-01,0.000000E+00,2.939905E+03,0.000000E+00,1.517006E-01,0.000000E+00,3.158988E+03,0.000000E+00,1.630053E-01,0.000000E+00,3.190444E+03,0.000000E+00,1.646281E-01,0.000000E+00,6.991821E+03,0.000000E+00,3.607327E-01,0.000000E+00
02:00:00,2.800026E+03,0.000000E+00,1.444809E-01,0.000000E+00,2.959372E+03,0.000000E+00,1.527046E-01,0.000000E+00,3.177281E+03,0.000000E+00,1.639487E-01,0.000000E+00,3.213966E+03,0.000000E+00,1.658413E-01,0.000000E+00,7.036459E+03,0.000000E+00,3.630338E-01,0.000000E+00
02:15:00,2.824461E+03,0.000000E+00,1.457413E-01,0.000000E+00,2.979032E+03,0.000000E+00,1.537187E-01,0.000000E+00,3.195780E+03,0.000000E+00,1.649029E-01,0.000000E+00,3.237653E+03,0.000000E+00,1.670631E-01,0.000000E+00,7.081240E+03,0.000000E+00,3.653429E-01,0.000000E+00
02:30:00,2.849045E+03,0.000000E+00,1.470094E-01,0.000000E+00,2.998873E+03,0.000000E+00,1.547423E-01,0.000000E+00,3.214474E+03,0.000000E+00,1.658672E-01,0.000000E+00,3.261497E+03,0.000000E+00,1.682932E-01,0.000000E+00,7.126151E+03,0.000000E+00,3.676592E-01,0.000000E+00
