,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,484.74,0.00,886.14,0.00,30.27,0.00,277.66,164.49,0.00,0.00,0.00,0.00,0.00
February,440.89,0.00,790.83,0.00,43.33,0.00,10.03,572.92,0.00,0.00,0.00,0.00,0.00
March,505.80,0.00,890.84,0.00,128.21,0.00,0.00,1781.53,0.00,0.00,0.00,0.00,0.00
April,442.93,0.00,821.86,0.00,226.35,0.00,0.00,3401.92,0.00,0.00,0.00,0.00,0.00
May,505.80,0.00,890.84,0.00,326.74,0.00,0.00,5086.76,0.00,0.00,0.00,0.00,0.00
June,484.16,0.00,857.50,0.00,333.00,0.00,0.00,5162.06,0.00,0.00,0.00,0.00,0.00
July,464.57,0.00,855.19,0.00,254.87,0.00,0.00,3775.64,0.00,0.00,0.00,0.00,0.00
August,505.80,0.00,890.84,0.00,258.36,0.00,0.00,3784.76,0.00,0.00,0.00,0.00,0.00
September,463.98,0.00,826.55,0.00,244.19,0.00,0.00,3596.33,0.00,0.00,0.00,0.00,0.00
October,484.74,0.00,886.14,0.00,167.57,0.00,0.00,2384.14,0.00,0.00,0.00,0.00,0.00
November,484.16,0.00,857.50,0.00,70.72,0.00,0.00,958.07,0.00,0.00,0.00,0.00,0.00
December,464.57,0.00,855.19,0.00,27.86,0.00,152.81,268.79,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,5732.13,,10309.43,,2111.46,,440.50,30937.42,,,,,
Minimum of Months,440.89,0.00,790.83,0.00,27.86,0.00,0.00,164.49,0.00,0.00,0.00,0.00,0.00
Maximum of Months,505.80,0.00,890.84,0.00,333.00,0.00,277.66,5162.06,0.00,0.00,0.00,0.00,0.00
