Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.566138E+02,0.000000E+00,4.937504E-02,0.000000E+00,1.007314E+03,0.000000E+00,5.199209E-02,0.000000E+00,7.286146E+02,0.000000E+00,3.760080E-02,0.000000E+00,6.502331E+02,0.000000E+00,3.355644E-02,0.000000E+00,4.152128E+03,0.000000E+00,2.142541E-01,0.000000E+00
00:30:00,1.053382E+03,0.000000E+00,5.437220E-02,0.000000E+00,1.096560E+03,0.000000E+00,5.660092E-02,0.000000E+00,8.194659E+02,0.000000E+00,4.228796E-02,0.000000E+00,7.619154E+02,0.000000E+00,3.931877E-02,0.000000E+00,4.398034E+03,0.000000E+00,2.269357E-01,0.000000E+00
00:45:00,1.118314E+03,0.000000E+00,5.772612E-02,0.000000E+00,1.161916E+03,0.000000E+00,5.997671E-02,0.000000E+00,9.077944E+02,0.000000E+00,4.684486E-02,0.000000E+00,8.704662E+02,0.000000E+00,4.491939E-02,0.000000E+00,4.636573E+03,0.000000E+00,2.392368E-01,0.000000E+00
01:00:00,1.179572E+03,0.000000E+00,6.089023E-02,0.000000E+00,1.223782E+03,0.000000E+00,6.317224E-02,0.000000E+00,9.933951E+02,0.000000E+00,5.126087E-02,0.000000E+00,9.757272E+02,0.000000E+00,5.035011E-02,0.000000E+00,4.867639E+03,0.000000E+00,2.511519E-01,0.000000E+00
01:15:00,1.171604E+03,0.000000E+00,6.047892E-02,0.000000E+00,1.221787E+03,0.000000E+00,6.306929E-02,0.000000E+00,1.024148E+03,0.000000E+00,5.284732E-02,0.000000E+00,1.015781E+03,0.000000E+00,5.241653E-02,0.000000E+00,4.926308E+03,0.000000E+00,2.541770E-01,0.000000E+00
01:30:00,1.160776E+03,0.000000E+00,5.991981E-02,0.000000E+00,1.217536E+03,0.000000E+00,6.284969E-02,0.000000E+00,1.054121E+03,0.000000E+00,5.439339E-02,0.000000E+00,1.054128E+03,0.000000E+00,5.439473E-02,0.000000E+00,4.984300E+03,0.000000E+00,2.571664E-01,0.000000E+00
01:45:00,1.180063E+03,0.000000E+00,6.091510E-02,0.000000E+00,1.234855E+03,0.000000E+00,6.374343E-02,0.000000E+00,1.084947E+03,0.000000E+00,5.598339E-02,0.000000E+00,1.091089E+03,0.000000E+00,5.630129E-02,0.000000E+00,5.042645E+03,0.000000E+00,2.601740E-01,0.000000E+00
02:00:00,1.201146E+03,0.000000E+00,6.200327E-02,0.000000E+00,1.253283E+03,0.000000E+00,6.469450E-02,0.000000E+00,1.116952E+03,0.000000E+00,5.763428E-02,0.000000E+00,1.128549E+03,0.000000E+00,5.823357E-02,0.000000E+00,5.102013E+03,0.000000E+00,2.632350E-01,0.000000E+00
02:15:00,1.223374E+03,0.000000E+00,6.315046E-02,0.000000E+00,1.272687E+03,0.000000E+00,6.569588E-02,0.000000E+00,1.150929E+03,0.000000E+00,5.938684E-02,0.000000E+00,1.167018E+03,0.000000E+00,6.021793E-02,0.000000E+00,5.162719E+03,0.000000E+00,2.663653E-01,0.000000E+00
02:30:00,1.285159E+03,0.000000E+00,6.633954E-02,0.000000E+00,1.320909E+03,0.000000E+00,6.818475E-02,0.000000E+00,1.186442E+03,0.000000E+00,6.121867E-02,0.000000E+00,1.207021E+03,0.000000E+00,6.228141E-02,0.000000E+00,5.225203E+03,0.000000E+00,2.695877E-01,0.000000E+00
02:45:00,1.353103E+03,0.000000E+00,6.984662E-02,0.000000E+00,1.373672E+03,0.000000E+00,7.090815E-02,0.000000E+00,1.222195E+03,0.000000E+00,6.306274E-02,0.000000E+00,1.248534E+03,0.000000E+00,6.442279E-02,0.000000E+00,5.288655E+03,0.000000E+00,2.728602E-01,0.000000E+00
03:00:00,1.424790E+03,0.000000E+00,7.354684E-02,0.000000E+00,1.429400E+03,0.000000E+00,7.378447E-02,0.000000E+00,1.257904E+03,0.000000E+00,6.490448E-02,0.000000E+00,1.289788E+03,0.000000E+00,6.655076E-02,0.000000E+00,5.352594E+03,0.000000E+00,2.761576E-01,0.000000E+00
03:15:00,1.496350E+03,0.000000E+00,7.724036E-02,0.000000E+00,1.484765E+03,0.000000E+00,7.664197E-02,0.000000E+00,1.292787E+03,0.000000E+00,6.670343E-02,0.000000E+00,1.330302E+03,0.000000E+00,6.864026E-02,0.000000E+00,5.416896E+03,0.000000E+00,2.794736E-01,0.000000E+00
03:30:00,1.529140E+03,0.000000E+00,7.893250E-02,0.000000E+00,1.511799E+03,0.000000E+00,7.803697E-02,0.000000E+00,1.328458E+03,0.000000E+00,6.854271E-02,0.000000E+00,1.368732E+03,0.000000E+00,7.062195E-02,0.000000E+00,5.481462E+03,0.000000E+00,2.828031E-01,0.000000E+00
03:45:00,1.513681E+03,0.000000E+00,7.813385E-02,0.000000E+00,1.503727E+03,0.000000E+00,7.761968E-02,0.000000E+00,1.365041E+03,0.000000E+00,7.042976E-02,0.000000E+00,1.407606E+03,0.000000E+00,7.262552E-02,0.000000E+00,5.546206E+03,0.000000E+00,2.861414E-01,0.000000E+00
04:00:00,1.491115E+03,0.000000E+00,7.696834E-02,0.000000E+00,1.490449E+03,0.000000E+00,7.693370E-02,0.000000E+00,1.403050E+03,0.000000E+00,7.239080E-02,0.000000E+00,1.447049E+03,0.000000E+00,7.465941E-02,0.000000E+00,5.611066E+03,0.000000E+00,2.894850E-01,0.000000E+00
04:15:00,1.465981E+03,0.000000E+00,7.567042E-02,0.000000E+00,1.475405E+03,0.000000E+00,7.615666E-02,0.000000E+00,1.443144E+03,0.000000E+00,7.445981E-02,0.000000E+00,1.487725E+03,0.000000E+00,7.675752E-02,0.000000E+00,5.675921E+03,0.000000E+00,2.928277E-01,0.000000E+00
04:30:00,1.438525E+03,0.000000E+00,7.425283E-02,0.000000E+00,1.458741E+03,0.000000E+00,7.529616E-02,0.000000E+00,1.483959E+03,0.000000E+00,7.656659E-02,0.000000E+00,1.531451E+03,0.000000E+00,7.901350E-02,0.000000E+00,5.740752E+03,0.000000E+00,2.961687E-01,0.000000E+00
04:45:00,1.451584E+03,0.000000E+00,7.492661E-02,0.000000E+00,1.471452E+03,0.000000E+00,7.595203E-02,0.000000E+00,1.525449E+03,0.000000E+00,7.870774E-02,0.000000E+00,1.575948E+03,0.000000E+00,8.131065E-02,0.000000E+00,5.805560E+03,0.000000E+00,2.995083E-01,0.000000E+00
05:00:00,1.466330E+03,0.000000E+00,7.568768E-02,0.000000E+00,1.485103E+03,0.000000E+00,7.665658E-02,0.000000E+00,1.567491E+03,0.000000E+00,8.087714E-02,0.000000E+00,1.621497E+03,0.000000E+00,8.366141E-02,0.000000E+00,5.870337E+03,0.000000E+00,3.028462E-01,0.000000E+00
05:15:00,1.481868E+03,0.000000E+00,7.648962E-02,0.000000E+00,1.499365E+03,0.000000E+00,7.739266E-02,0.000000E+00,1.609972E+03,0.000000E+00,8.306905E-02,0.000000E+00,1.667961E+03,0.000000E+00,8.605921E-02,0.000000E+00,5.934743E+03,0.000000E+00,3.061651E-01,0.000000E+00
