Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.312764E+03,0.000000E+00,1.193458E-01,0.000000E+00,2.729909E+03,0.000000E+00,1.408722E-01,0.000000E+00,2.782947E+03,0.000000E+00,1.436094E-01,0.000000E+00,2.833313E+03,0.000000E+00,1.462080E-01,0.000000E+00,5.791785E+03,0.000000E+00,2.988443E-01,0.000000E+00
00:30:00,2.390333E+03,0.000000E+00,1.233462E-01,0.000000E+00,2.807387E+03,0.000000E+00,1.448676E-01,0.000000E+00,2.852789E+03,0.000000E+00,1.472107E-01,0.000000E+00,2.920284E+03,0.000000E+00,1.506932E-01,0.000000E+00,6.012376E+03,0.000000E+00,3.102165E-01,0.000000E+00
00:45:00,2.466857E+03,0.000000E+00,1.272927E-01,0.000000E+00,2.883825E+03,0.000000E+00,1.488094E-01,0.000000E+00,2.921722E+03,0.000000E+00,1.507652E-01,0.000000E+00,3.006021E+03,0.000000E+00,1.551146E-01,0.000000E+00,6.226169E+03,0.000000E+00,3.212377E-01,0.000000E+00
01:00:00,2.542292E+03,0.000000E+00,1.311829E-01,0.000000E+00,2.959181E+03,0.000000E+00,1.526953E-01,0.000000E+00,2.989708E+03,0.000000E+00,1.542707E-01,0.000000E+00,3.090472E+03,0.000000E+00,1.594697E-01,0.000000E+00,6.433143E+03,0.000000E+00,3.319068E-01,0.000000E+00
01:15:00,2.565881E+03,0.000000E+00,1.323999E-01,0.000000E+00,2.980557E+03,0.000000E+00,1.537981E-01,0.000000E+00,3.007755E+03,0.000000E+00,1.552017E-01,0.000000E+00,3.115452E+03,0.000000E+00,1.607584E-01,0.000000E+00,6.475907E+03,0.000000E+00,3.341115E-01,0.000000E+00
01:30:00,2.589474E+03,0.000000E+00,1.336168E-01,0.000000E+00,3.001978E+03,0.000000E+00,1.549028E-01,0.000000E+00,3.025907E+03,0.000000E+00,1.561378E-01,0.000000E+00,3.140393E+03,0.000000E+00,1.620448E-01,0.000000E+00,6.518795E+03,0.000000E+00,3.363215E-01,0.000000E+00
01:45:00,2.613031E+03,0.000000E+00,1.348317E-01,0.000000E+00,3.023423E+03,0.000000E+00,1.560087E-01,0.000000E+00,3.044145E+03,0.000000E+00,1.570782E-01,0.000000E+00,3.165269E+03,0.000000E+00,1.633277E-01,0.000000E+00,6.561830E+03,0.000000E+00,3.385393E-01,0.000000E+00
02:00:00,2.636523E+03,0.000000E+00,1.360433E-01,0.000000E+00,3.044877E+03,0.000000E+00,1.571153E-01,0.000000E+00,3.062456E+03,0.000000E+00,1.580225E-01,0.000000E+00,3.190066E+03,0.000000E+00,1.646066E-01,0.000000E+00,6.604995E+03,0.000000E+00,3.407644E-01,0.000000E+00
02:15:00,2.660045E+03,0.000000E+00,1.372566E-01,0.000000E+00,3.066486E+03,0.000000E+00,1.582299E-01,0.000000E+00,3.080947E+03,0.000000E+00,1.589763E-01,0.000000E+00,3.214978E+03,0.000000E+00,1.658917E-01,0.000000E+00,6.648265E+03,0.000000E+00,3.429954E-01,0.000000E+00
02:30:00,2.683531E+03,0.000000E+00,1.384682E-01,0.000000E+00,3.088245E+03,0.000000E+00,1.593524E-01,0.000000E+00,3.099612E+03,0.000000E+00,1.599391E-01,0.000000E+00,3.240006E+03,0.000000E+00,1.671829E-01,0.000000E+00,6.691630E+03,0.000000E+00,3.452318E-01,0.000000E+00
