Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.387704E+02,0.000000E+00,4.845397E-02,0.000000E+00,7.573658E+02,0.000000E+00,3.908423E-02,0.000000E+00,8.237044E+02,0.000000E+00,4.250692E-02,0.000000E+00,8.108184E+02,0.000000E+00,4.184247E-02,0.000000E+00,4.387339E+03,0.000000E+00,2.263835E-01,0.000000E+00
00:30:00,1.020841E+03,0.000000E+00,5.269251E-02,0.000000E+00,8.564241E+02,0.000000E+00,4.419469E-02,0.000000E+00,9.103797E+02,0.000000E+00,4.697816E-02,0.000000E+00,9.206668E+02,0.000000E+00,4.750957E-02,0.000000E+00,4.621812E+03,0.000000E+00,2.384737E-01,0.000000E+00
00:45:00,1.073357E+03,0.000000E+00,5.540553E-02,0.000000E+00,9.525204E+02,0.000000E+00,4.915218E-02,0.000000E+00,9.943784E+02,0.000000E+00,5.131116E-02,0.000000E+00,1.027053E+03,0.000000E+00,5.299784E-02,0.000000E+00,4.849000E+03,0.000000E+00,2.501877E-01,0.000000E+00
01:00:00,1.122557E+03,0.000000E+00,5.794729E-02,0.000000E+00,1.045452E+03,0.000000E+00,5.394622E-02,0.000000E+00,1.075387E+03,0.000000E+00,5.548965E-02,0.000000E+00,1.129745E+03,0.000000E+00,5.829533E-02,0.000000E+00,5.068822E+03,0.000000E+00,2.615211E-01,0.000000E+00
01:15:00,1.115880E+03,0.000000E+00,5.760266E-02,0.000000E+00,1.078536E+03,0.000000E+00,5.565278E-02,0.000000E+00,1.102498E+03,0.000000E+00,5.688789E-02,0.000000E+00,1.166590E+03,0.000000E+00,6.019582E-02,0.000000E+00,5.120787E+03,0.000000E+00,2.642001E-01,0.000000E+00
01:30:00,1.106450E+03,0.000000E+00,5.711563E-02,0.000000E+00,1.109752E+03,0.000000E+00,5.726274E-02,0.000000E+00,1.129575E+03,0.000000E+00,5.828410E-02,0.000000E+00,1.201236E+03,0.000000E+00,6.198264E-02,0.000000E+00,5.172252E+03,0.000000E+00,2.668523E-01,0.000000E+00
01:45:00,1.125012E+03,0.000000E+00,5.807352E-02,0.000000E+00,1.140694E+03,0.000000E+00,5.885838E-02,0.000000E+00,1.157499E+03,0.000000E+00,5.972411E-02,0.000000E+00,1.235152E+03,0.000000E+00,6.373147E-02,0.000000E+00,5.224269E+03,0.000000E+00,2.695332E-01,0.000000E+00
02:00:00,1.145196E+03,0.000000E+00,5.911528E-02,0.000000E+00,1.172093E+03,0.000000E+00,6.047759E-02,0.000000E+00,1.186701E+03,0.000000E+00,6.123007E-02,0.000000E+00,1.269054E+03,0.000000E+00,6.547965E-02,0.000000E+00,5.277035E+03,0.000000E+00,2.722531E-01,0.000000E+00
02:15:00,1.166477E+03,0.000000E+00,6.021356E-02,0.000000E+00,1.204396E+03,0.000000E+00,6.214344E-02,0.000000E+00,1.217613E+03,0.000000E+00,6.282426E-02,0.000000E+00,1.303135E+03,0.000000E+00,6.723693E-02,0.000000E+00,5.330757E+03,0.000000E+00,2.750229E-01,0.000000E+00
02:30:00,1.224606E+03,0.000000E+00,6.321391E-02,0.000000E+00,1.238105E+03,0.000000E+00,6.388176E-02,0.000000E+00,1.248975E+03,0.000000E+00,6.444153E-02,0.000000E+00,1.337987E+03,0.000000E+00,6.903372E-02,0.000000E+00,5.385784E+03,0.000000E+00,2.778604E-01,0.000000E+00
02:45:00,1.288581E+03,0.000000E+00,6.651617E-02,0.000000E+00,1.270650E+03,0.000000E+00,6.555987E-02,0.000000E+00,1.281408E+03,0.000000E+00,6.611403E-02,0.000000E+00,1.374302E+03,0.000000E+00,7.090609E-02,0.000000E+00,5.441207E+03,0.000000E+00,2.807184E-01,0.000000E+00
03:00:00,1.356149E+03,0.000000E+00,7.000375E-02,0.000000E+00,1.304318E+03,0.000000E+00,6.729466E-02,0.000000E+00,1.315182E+03,0.000000E+00,6.785623E-02,0.000000E+00,1.412044E+03,0.000000E+00,7.285274E-02,0.000000E+00,5.496950E+03,0.000000E+00,2.835927E-01,0.000000E+00
03:15:00,1.423626E+03,0.000000E+00,7.348654E-02,0.000000E+00,1.339060E+03,0.000000E+00,6.908622E-02,0.000000E+00,1.350756E+03,0.000000E+00,6.969189E-02,0.000000E+00,1.451891E+03,0.000000E+00,7.490862E-02,0.000000E+00,5.552912E+03,0.000000E+00,2.864782E-01,0.000000E+00
03:30:00,1.455002E+03,0.000000E+00,7.510566E-02,0.000000E+00,1.375320E+03,0.000000E+00,7.095692E-02,0.000000E+00,1.388230E+03,0.000000E+00,7.162618E-02,0.000000E+00,1.494332E+03,0.000000E+00,7.709909E-02,0.000000E+00,5.609007E+03,0.000000E+00,2.893703E-01,0.000000E+00
03:45:00,1.441334E+03,0.000000E+00,7.439947E-02,0.000000E+00,1.414568E+03,0.000000E+00,7.298230E-02,0.000000E+00,1.426510E+03,0.000000E+00,7.360225E-02,0.000000E+00,1.537752E+03,0.000000E+00,7.934047E-02,0.000000E+00,5.665141E+03,0.000000E+00,2.922640E-01,0.000000E+00
04:00:00,1.420830E+03,0.000000E+00,7.334039E-02,0.000000E+00,1.454422E+03,0.000000E+00,7.504057E-02,0.000000E+00,1.465481E+03,0.000000E+00,7.561355E-02,0.000000E+00,1.582167E+03,0.000000E+00,8.163273E-02,0.000000E+00,5.721307E+03,0.000000E+00,2.951587E-01,0.000000E+00
04:15:00,1.397710E+03,0.000000E+00,7.214645E-02,0.000000E+00,1.495195E+03,0.000000E+00,7.714508E-02,0.000000E+00,1.505034E+03,0.000000E+00,7.765468E-02,0.000000E+00,1.627518E+03,0.000000E+00,8.397308E-02,0.000000E+00,5.777548E+03,0.000000E+00,2.980567E-01,0.000000E+00
04:30:00,1.372261E+03,0.000000E+00,7.083250E-02,0.000000E+00,1.536795E+03,0.000000E+00,7.929192E-02,0.000000E+00,1.545065E+03,0.000000E+00,7.972022E-02,0.000000E+00,1.673628E+03,0.000000E+00,8.635242E-02,0.000000E+00,5.833844E+03,0.000000E+00,3.009569E-01,0.000000E+00
04:45:00,1.384391E+03,0.000000E+00,7.145837E-02,0.000000E+00,1.579156E+03,0.000000E+00,8.147779E-02,0.000000E+00,1.585551E+03,0.000000E+00,8.180912E-02,0.000000E+00,1.720431E+03,0.000000E+00,8.876742E-02,0.000000E+00,5.890279E+03,0.000000E+00,3.038644E-01,0.000000E+00
05:00:00,1.398058E+03,0.000000E+00,7.216375E-02,0.000000E+00,1.622084E+03,0.000000E+00,8.369281E-02,0.000000E+00,1.626400E+03,0.000000E+00,8.391671E-02,0.000000E+00,1.767738E+03,0.000000E+00,9.120836E-02,0.000000E+00,5.946810E+03,0.000000E+00,3.067769E-01,0.000000E+00
05:15:00,1.412514E+03,0.000000E+00,7.290986E-02,0.000000E+00,1.665382E+03,0.000000E+00,8.592689E-02,0.000000E+00,1.667455E+03,0.000000E+00,8.603485E-02,0.000000E+00,1.815349E+03,0.000000E+00,9.366489E-02,0.000000E+00,6.002992E+03,0.000000E+00,3.096714E-01,0.000000E+00
05:30:00,1.427524E+03,0.000000E+00,7.368458E-02,0.000000E+00,1.708966E+03,0.000000E+00,8.817565E-02,0.000000E+00,1.708658E+03,0.000000E+00,8.816066E-02,0.000000E+00,1.863178E+03,0.000000E+00,9.613260E-02,0.000000E+00,6.058824E+03,0.000000E+00,3.125480E-01,0.000000E+00
05:45:00,1.442942E+03,0.000000E+00,7.448032E-02,0.000000E+00,1.752761E+03,0.000000E+00,9.043526E-02,0.000000E+00,1.749961E+03,0.000000E+00,9.029160E-02,0.000000E+00,1.911148E+03,0.000000E+00,9.860762E-02,0.000000E+00,6.114236E+03,0.000000E+00,3.154029E-01,0.000000E+00
06:00:00,1.458716E+03,0.000000E+00,7.529443E-02,0.000000E+00,1.796703E+03,0.000000E+00,9.270239E-02,0.000000E+00,1.791322E+03,0.000000E+00,9.242552E-02,0.000000E+00,1.959197E+03,0.000000E+00,1.010867E-01,0.000000E+00,6.169210E+03,0.000000E+00,3.182349E-01,0.000000E+00
06:15:00,1.326685E+03,0.000000E+00,6.847927E-02,0.000000E+00,1.568169E+03,0.000000E+00,8.091095E-02,0.000000E+00,1.560392E+03,0.000000E+00,8.051030E-02,0.000000E+00,1.734312E+03,0.000000E+00,8.948342E-02,0.000000E+00,4.647521E+03,0.000000E+00,2.397381E-01,0.000000E+00
06:30:00,1.193358E+03,0.000000E+00,6.159705E-02,0.000000E+00,1.336808E+03,0.000000E+00,6.897558E-02,0.000000E+00,1.326855E+03,0.000000E+00,6.846249E-02,0.000000E+00,1.506097E+03,0.000000E+00,7.771051E-02,0.000000E+00,3.112079E+03,0.000000E+00,1.605328E-01,0.000000E+00
06:45:00,1.058753E+03,0.000000E+00,5.464879E-02,0.000000E+00,1.102407E+03,0.000000E+00,5.688391E-02,0.000000E+00,1.090518E+03,0.000000E+00,5.627074E-02,0.000000E+00,1.274332E+03,0.000000E+00,6.575517E-02,0.000000E+00,1.562899E+03,0.000000E+00,8.061973E-02,0.000000E+00
07:00:00,9.228756E+02,0.000000E+00,4.763484E-02,0.000000E+00,8.648914E+02,0.000000E+00,4.463199E-02,0.000000E+00,8.513238E+02,0.000000E+00,4.393201E-02,0.000000E+00,1.038922E+03,0.000000E+00,5.361232E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:15:00,9.333977E+02,0.000000E+00,4.817756E-02,0.000000E+00,8.967472E+02,0.000000E+00,4.627885E-02,0.000000E+00,8.815325E+02,0.000000E+00,4.549377E-02,0.000000E+00,1.072710E+03,0.000000E+00,5.535953E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:30:00,9.425154E+02,0.000000E+00,4.864794E-02,0.000000E+00,9.237442E+02,0.000000E+00,4.767333E-02,0.000000E+00,9.098068E+02,0.000000E+00,4.695412E-02,0.000000E+00,1.103186E+03,0.000000E+00,5.693416E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:45:00,9.463168E+02,0.000000E+00,4.884398E-02,0.000000E+00,9.282967E+02,0.000000E+00,4.790923E-02,0.000000E+00,9.350660E+02,0.000000E+00,4.825867E-02,0.000000E+00,1.128607E+03,0.000000E+00,5.824749E-02,0.000000E+00,3.095824E+00,0.000000E+00,1.597884E-04,0.000000E+00
08:00:00,9.442761E+02,0.000000E+00,4.873852E-02,0.000000E+00,9.089704E+02,0.000000E+00,4.691262E-02,0.000000E+00,9.558588E+02,0.000000E+00,4.933260E-02,0.000000E+00,1.147267E+03,0.000000E+00,5.921169E-02,0.000000E+00,9.500679E+00,0.000000E+00,4.903692E-04,0.000000E+00
08:15:00,9.359882E+02,1.548485E+03,4.831063E-02,1.030684E-01,8.675225E+02,1.497667E+03,4.477412E-02,9.642179E-02,9.711496E+02,1.646236E+03,5.012246E-02,1.093650E-01,1.158292E+03,1.898050E+03,5.978161E-02,1.273155E-01,1.869789E+01,2.657684E+03,9.650740E-04,2.178509E-01
