Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.232124E+03,0.000000E+00,1.151877E-01,0.000000E+00,2.706521E+03,0.000000E+00,1.396690E-01,0.000000E+00,2.912148E+03,0.000000E+00,1.502802E-01,0.000000E+00,2.643859E+03,0.000000E+00,1.364353E-01,0.000000E+00,7.004964E+03,0.000000E+00,3.614604E-01,0.000000E+00
00:30:00,2.356160E+03,0.000000E+00,1.215864E-01,0.000000E+00,2.825100E+03,0.000000E+00,1.457857E-01,0.000000E+00,3.026885E+03,0.000000E+00,1.561984E-01,0.000000E+00,2.762749E+03,0.000000E+00,1.425681E-01,0.000000E+00,7.292908E+03,0.000000E+00,3.763088E-01,0.000000E+00
00:45:00,2.479266E+03,0.000000E+00,1.279371E-01,0.000000E+00,2.942791E+03,0.000000E+00,1.518565E-01,0.000000E+00,3.140742E+03,0.000000E+00,1.620713E-01,0.000000E+00,2.880773E+03,0.000000E+00,1.486562E-01,0.000000E+00,7.575341E+03,0.000000E+00,3.908728E-01,0.000000E+00
01:00:00,2.601369E+03,0.000000E+00,1.342359E-01,0.000000E+00,3.059531E+03,0.000000E+00,1.578783E-01,0.000000E+00,3.253652E+03,0.000000E+00,1.678952E-01,0.000000E+00,2.997862E+03,0.000000E+00,1.546961E-01,0.000000E+00,7.852200E+03,0.000000E+00,4.051489E-01,0.000000E+00
01:15:00,2.649890E+03,0.000000E+00,1.367395E-01,0.000000E+00,3.103259E+03,0.000000E+00,1.601346E-01,0.000000E+00,3.294622E+03,0.000000E+00,1.700091E-01,0.000000E+00,3.042298E+03,0.000000E+00,1.569889E-01,0.000000E+00,7.931994E+03,0.000000E+00,4.092647E-01,0.000000E+00
01:30:00,2.698245E+03,0.000000E+00,1.392344E-01,0.000000E+00,3.146895E+03,0.000000E+00,1.623859E-01,0.000000E+00,3.335507E+03,0.000000E+00,1.721183E-01,0.000000E+00,3.086659E+03,0.000000E+00,1.592776E-01,0.000000E+00,8.012116E+03,0.000000E+00,4.133963E-01,0.000000E+00
01:45:00,2.746407E+03,0.000000E+00,1.417191E-01,0.000000E+00,3.190418E+03,0.000000E+00,1.646312E-01,0.000000E+00,3.376269E+03,0.000000E+00,1.742211E-01,0.000000E+00,3.130923E+03,0.000000E+00,1.615612E-01,0.000000E+00,8.092543E+03,0.000000E+00,4.175436E-01,0.000000E+00
02:00:00,2.794336E+03,0.000000E+00,1.441919E-01,0.000000E+00,3.233798E+03,0.000000E+00,1.668692E-01,0.000000E+00,3.416824E+03,0.000000E+00,1.763131E-01,0.000000E+00,3.175056E+03,0.000000E+00,1.638381E-01,0.000000E+00,8.173217E+03,0.000000E+00,4.217041E-01,0.000000E+00
02:15:00,2.842204E+03,0.000000E+00,1.466616E-01,0.000000E+00,3.277219E+03,0.000000E+00,1.691094E-01,0.000000E+00,3.457435E+03,0.000000E+00,1.784081E-01,0.000000E+00,3.219240E+03,0.000000E+00,1.661176E-01,0.000000E+00,8.254066E+03,0.000000E+00,4.258742E-01,0.000000E+00
02:30:00,2.889983E+03,0.000000E+00,1.491267E-01,0.000000E+00,3.320663E+03,0.000000E+00,1.713509E-01,0.000000E+00,3.498103E+03,0.000000E+00,1.805062E-01,0.000000E+00,3.263455E+03,0.000000E+00,1.683989E-01,0.000000E+00,8.335041E+03,0.000000E+00,4.300513E-01,0.000000E+00
