Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.666260E+02,0.000000E+00,4.472158E-02,0.000000E+00,1.250479E+03,0.000000E+00,6.452726E-02,0.000000E+00,1.409929E+03,0.000000E+00,7.275616E-02,0.000000E+00,1.175613E+03,0.000000E+00,6.066298E-02,0.000000E+00,4.889094E+03,0.000000E+00,2.521439E-01,0.000000E+00
00:30:00,9.653701E+02,0.000000E+00,4.981542E-02,0.000000E+00,1.346082E+03,0.000000E+00,6.945921E-02,0.000000E+00,1.504202E+03,0.000000E+00,7.761928E-02,0.000000E+00,1.269843E+03,0.000000E+00,6.552416E-02,0.000000E+00,5.109250E+03,0.000000E+00,2.634608E-01,0.000000E+00
00:45:00,1.062596E+03,0.000000E+00,5.483082E-02,0.000000E+00,1.441269E+03,0.000000E+00,7.436965E-02,0.000000E+00,1.597826E+03,0.000000E+00,8.244888E-02,0.000000E+00,1.364000E+03,0.000000E+00,7.038162E-02,0.000000E+00,5.322478E+03,0.000000E+00,2.744160E-01,0.000000E+00
01:00:00,1.158138E+03,0.000000E+00,5.975919E-02,0.000000E+00,1.535931E+03,0.000000E+00,7.925296E-02,0.000000E+00,1.690718E+03,0.000000E+00,8.724069E-02,0.000000E+00,1.457864E+03,0.000000E+00,7.522389E-02,0.000000E+00,5.529495E+03,0.000000E+00,2.850496E-01,0.000000E+00
01:15:00,1.196382E+03,0.000000E+00,6.173198E-02,0.000000E+00,1.573513E+03,0.000000E+00,8.119217E-02,0.000000E+00,1.726938E+03,0.000000E+00,8.910954E-02,0.000000E+00,1.495812E+03,0.000000E+00,7.718203E-02,0.000000E+00,5.575918E+03,0.000000E+00,2.874344E-01,0.000000E+00
01:30:00,1.233874E+03,0.000000E+00,6.366568E-02,0.000000E+00,1.611252E+03,0.000000E+00,8.313926E-02,0.000000E+00,1.763249E+03,0.000000E+00,9.098288E-02,0.000000E+00,1.533995E+03,0.000000E+00,7.915211E-02,0.000000E+00,5.623669E+03,0.000000E+00,2.899053E-01,0.000000E+00
01:45:00,1.270192E+03,0.000000E+00,6.553855E-02,0.000000E+00,1.649112E+03,0.000000E+00,8.509248E-02,0.000000E+00,1.799623E+03,0.000000E+00,9.285938E-02,0.000000E+00,1.572366E+03,0.000000E+00,8.113182E-02,0.000000E+00,5.672285E+03,0.000000E+00,2.924365E-01,0.000000E+00
02:00:00,1.305013E+03,0.000000E+00,6.733375E-02,0.000000E+00,1.687052E+03,0.000000E+00,8.704991E-02,0.000000E+00,1.836024E+03,0.000000E+00,9.473735E-02,0.000000E+00,1.610877E+03,0.000000E+00,8.311874E-02,0.000000E+00,5.720886E+03,0.000000E+00,2.949757E-01,0.000000E+00
02:15:00,1.340081E+03,0.000000E+00,6.914155E-02,0.000000E+00,1.725172E+03,0.000000E+00,8.901669E-02,0.000000E+00,1.872557E+03,0.000000E+00,9.662218E-02,0.000000E+00,1.649618E+03,0.000000E+00,8.511759E-02,0.000000E+00,5.768824E+03,0.000000E+00,2.974773E-01,0.000000E+00
02:30:00,1.375835E+03,0.000000E+00,7.098554E-02,0.000000E+00,1.763444E+03,0.000000E+00,9.099136E-02,0.000000E+00,1.909198E+03,0.000000E+00,9.851266E-02,0.000000E+00,1.688554E+03,0.000000E+00,8.712653E-02,0.000000E+00,5.816281E+03,0.000000E+00,2.999436E-01,0.000000E+00
