Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.645650E+03,0.000000E+00,8.492005E-02,0.000000E+00,1.999574E+03,0.000000E+00,1.031840E-01,0.000000E+00,2.148069E+03,0.000000E+00,1.108470E-01,0.000000E+00,1.953384E+03,0.000000E+00,1.008004E-01,0.000000E+00,5.223404E+03,0.000000E+00,2.695032E-01,0.000000E+00
00:30:00,1.737077E+03,0.000000E+00,8.963608E-02,0.000000E+00,2.087030E+03,0.000000E+00,1.076949E-01,0.000000E+00,2.232796E+03,0.000000E+00,1.152169E-01,0.000000E+00,2.041101E+03,0.000000E+00,1.053247E-01,0.000000E+00,5.445508E+03,0.000000E+00,2.809521E-01,0.000000E+00
00:45:00,1.827482E+03,0.000000E+00,9.429933E-02,0.000000E+00,2.173462E+03,0.000000E+00,1.121529E-01,0.000000E+00,2.316509E+03,0.000000E+00,1.195344E-01,0.000000E+00,2.127804E+03,0.000000E+00,1.097968E-01,0.000000E+00,5.660705E+03,0.000000E+00,2.920444E-01,0.000000E+00
01:00:00,1.916816E+03,0.000000E+00,9.890730E-02,0.000000E+00,2.258829E+03,0.000000E+00,1.165559E-01,0.000000E+00,2.399167E+03,0.000000E+00,1.237975E-01,0.000000E+00,2.213450E+03,0.000000E+00,1.142142E-01,0.000000E+00,5.868977E+03,0.000000E+00,3.027791E-01,0.000000E+00
01:15:00,1.949909E+03,0.000000E+00,1.006148E-01,0.000000E+00,2.288293E+03,0.000000E+00,1.180760E-01,0.000000E+00,2.426612E+03,0.000000E+00,1.252135E-01,0.000000E+00,2.243414E+03,0.000000E+00,1.157602E-01,0.000000E+00,5.913441E+03,0.000000E+00,3.050713E-01,0.000000E+00
01:30:00,1.982926E+03,0.000000E+00,1.023180E-01,0.000000E+00,2.317709E+03,0.000000E+00,1.195934E-01,0.000000E+00,2.454031E+03,0.000000E+00,1.266278E-01,0.000000E+00,2.273341E+03,0.000000E+00,1.173040E-01,0.000000E+00,5.957973E+03,0.000000E+00,3.073658E-01,0.000000E+00
01:45:00,2.015853E+03,0.000000E+00,1.040166E-01,0.000000E+00,2.347070E+03,0.000000E+00,1.211080E-01,0.000000E+00,2.481418E+03,0.000000E+00,1.280405E-01,0.000000E+00,2.303222E+03,0.000000E+00,1.188453E-01,0.000000E+00,6.002600E+03,0.000000E+00,3.096655E-01,0.000000E+00
02:00:00,2.048669E+03,0.000000E+00,1.057095E-01,0.000000E+00,2.376361E+03,0.000000E+00,1.226190E-01,0.000000E+00,2.508757E+03,0.000000E+00,1.294506E-01,0.000000E+00,2.333039E+03,0.000000E+00,1.203835E-01,0.000000E+00,6.047313E+03,0.000000E+00,3.119702E-01,0.000000E+00
02:15:00,2.081493E+03,0.000000E+00,1.074029E-01,0.000000E+00,2.405707E+03,0.000000E+00,1.241329E-01,0.000000E+00,2.536170E+03,0.000000E+00,1.308648E-01,0.000000E+00,2.362916E+03,0.000000E+00,1.219248E-01,0.000000E+00,6.092088E+03,0.000000E+00,3.142787E-01,0.000000E+00
02:30:00,2.114312E+03,0.000000E+00,1.090961E-01,0.000000E+00,2.435100E+03,0.000000E+00,1.256493E-01,0.000000E+00,2.563651E+03,0.000000E+00,1.322826E-01,0.000000E+00,2.392841E+03,0.000000E+00,1.234687E-01,0.000000E+00,6.136919E+03,0.000000E+00,3.165906E-01,0.000000E+00
02:45:00,2.147110E+03,0.000000E+00,1.107883E-01,0.000000E+00,2.464529E+03,0.000000E+00,1.271677E-01,0.000000E+00,2.591187E+03,0.000000E+00,1.337033E-01,0.000000E+00,2.422804E+03,0.000000E+00,1.250146E-01,0.000000E+00,6.181790E+03,0.000000E+00,3.189047E-01,0.000000E+00
03:00:00,2.179875E+03,0.000000E+00,1.124788E-01,0.000000E+00,2.493986E+03,0.000000E+00,1.286875E-01,0.000000E+00,2.618769E+03,0.000000E+00,1.351264E-01,0.000000E+00,2.452795E+03,0.000000E+00,1.265620E-01,0.000000E+00,6.226698E+03,0.000000E+00,3.212207E-01,0.000000E+00
03:15:00,2.212526E+03,0.000000E+00,1.141634E-01,0.000000E+00,2.523391E+03,0.000000E+00,1.302047E-01,0.000000E+00,2.646320E+03,0.000000E+00,1.365478E-01,0.000000E+00,2.482733E+03,0.000000E+00,1.281067E-01,0.000000E+00,6.271627E+03,0.000000E+00,3.235378E-01,0.000000E+00
03:30:00,2.245052E+03,0.000000E+00,1.158416E-01,0.000000E+00,2.552738E+03,0.000000E+00,1.317189E-01,0.000000E+00,2.673830E+03,0.000000E+00,1.379672E-01,0.000000E+00,2.512611E+03,0.000000E+00,1.296482E-01,0.000000E+00,6.316575E+03,0.000000E+00,3.258558E-01,0.000000E+00
03:45:00,2.277443E+03,0.000000E+00,1.175127E-01,0.000000E+00,2.582023E+03,0.000000E+00,1.332298E-01,0.000000E+00,2.701297E+03,0.000000E+00,1.393843E-01,0.000000E+00,2.542424E+03,0.000000E+00,1.311863E-01,0.000000E+00,6.361533E+03,0.000000E+00,3.281738E-01,0.000000E+00
04:00:00,2.309696E+03,0.000000E+00,1.191766E-01,0.000000E+00,2.611246E+03,0.000000E+00,1.347373E-01,0.000000E+00,2.728720E+03,0.000000E+00,1.407989E-01,0.000000E+00,2.572171E+03,0.000000E+00,1.327209E-01,0.000000E+00,6.406503E+03,0.000000E+00,3.304918E-01,0.000000E+00
04:15:00,2.341806E+03,0.000000E+00,1.208329E-01,0.000000E+00,2.640410E+03,0.000000E+00,1.362416E-01,0.000000E+00,2.756101E+03,0.000000E+00,1.422112E-01,0.000000E+00,2.601855E+03,0.000000E+00,1.342522E-01,0.000000E+00,6.451506E+03,0.000000E+00,3.328109E-01,0.000000E+00
04:30:00,2.373766E+03,0.000000E+00,1.224814E-01,0.000000E+00,2.669514E+03,0.000000E+00,1.377428E-01,0.000000E+00,2.783440E+03,0.000000E+00,1.436212E-01,0.000000E+00,2.631476E+03,0.000000E+00,1.357799E-01,0.000000E+00,6.496545E+03,0.000000E+00,3.351312E-01,0.000000E+00
