Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.647930E+02,0.000000E+00,4.462692E-02,0.000000E+00,1.243440E+03,0.000000E+00,6.416394E-02,0.000000E+00,1.401022E+03,0.000000E+00,7.229643E-02,0.000000E+00,1.169542E+03,0.000000E+00,6.034953E-02,0.000000E+00,4.888923E+03,0.000000E+00,2.521307E-01,0.000000E+00
00:30:00,9.621282E+02,0.000000E+00,4.964804E-02,0.000000E+00,1.337647E+03,0.000000E+00,6.902383E-02,0.000000E+00,1.493908E+03,0.000000E+00,7.708794E-02,0.000000E+00,1.262409E+03,0.000000E+00,6.514041E-02,0.000000E+00,5.108087E+03,0.000000E+00,2.634006E-01,0.000000E+00
00:45:00,1.057945E+03,0.000000E+00,5.459072E-02,0.000000E+00,1.431415E+03,0.000000E+00,7.386105E-02,0.000000E+00,1.586127E+03,0.000000E+00,8.184507E-02,0.000000E+00,1.355175E+03,0.000000E+00,6.992610E-02,0.000000E+00,5.320594E+03,0.000000E+00,2.743206E-01,0.000000E+00
01:00:00,1.152084E+03,0.000000E+00,5.944667E-02,0.000000E+00,1.524639E+03,0.000000E+00,7.867015E-02,0.000000E+00,1.677600E+03,0.000000E+00,8.656365E-02,0.000000E+00,1.447623E+03,0.000000E+00,7.469526E-02,0.000000E+00,5.526397E+03,0.000000E+00,2.848972E-01,0.000000E+00
01:15:00,1.189601E+03,0.000000E+00,6.138191E-02,0.000000E+00,1.561447E+03,0.000000E+00,8.056939E-02,0.000000E+00,1.713062E+03,0.000000E+00,8.839339E-02,0.000000E+00,1.484792E+03,0.000000E+00,7.661324E-02,0.000000E+00,5.571433E+03,0.000000E+00,2.872077E-01,0.000000E+00
01:30:00,1.226396E+03,0.000000E+00,6.327964E-02,0.000000E+00,1.598409E+03,0.000000E+00,8.247635E-02,0.000000E+00,1.748614E+03,0.000000E+00,9.022754E-02,0.000000E+00,1.522192E+03,0.000000E+00,7.854291E-02,0.000000E+00,5.617886E+03,0.000000E+00,2.896040E-01,0.000000E+00
01:45:00,1.262089E+03,0.000000E+00,6.512026E-02,0.000000E+00,1.635488E+03,0.000000E+00,8.438934E-02,0.000000E+00,1.784227E+03,0.000000E+00,9.206481E-02,0.000000E+00,1.559777E+03,0.000000E+00,8.048203E-02,0.000000E+00,5.664946E+03,0.000000E+00,2.920498E-01,0.000000E+00
02:00:00,1.296150E+03,0.000000E+00,6.687628E-02,0.000000E+00,1.672648E+03,0.000000E+00,8.630650E-02,0.000000E+00,1.819869E+03,0.000000E+00,9.390357E-02,0.000000E+00,1.597500E+03,0.000000E+00,8.242829E-02,0.000000E+00,5.712474E+03,0.000000E+00,2.945260E-01,0.000000E+00
02:15:00,1.330435E+03,0.000000E+00,6.864353E-02,0.000000E+00,1.709986E+03,0.000000E+00,8.823290E-02,0.000000E+00,1.855641E+03,0.000000E+00,9.574913E-02,0.000000E+00,1.635450E+03,0.000000E+00,8.438630E-02,0.000000E+00,5.759685E+03,0.000000E+00,2.969887E-01,0.000000E+00
02:30:00,1.365348E+03,0.000000E+00,7.044399E-02,0.000000E+00,1.747474E+03,0.000000E+00,9.016713E-02,0.000000E+00,1.891520E+03,0.000000E+00,9.760029E-02,0.000000E+00,1.673592E+03,0.000000E+00,8.635430E-02,0.000000E+00,5.806434E+03,0.000000E+00,2.994214E-01,0.000000E+00
02:45:00,1.401515E+03,0.000000E+00,7.230987E-02,0.000000E+00,1.785083E+03,0.000000E+00,9.210765E-02,0.000000E+00,1.927482E+03,0.000000E+00,9.945580E-02,0.000000E+00,1.711891E+03,0.000000E+00,8.833047E-02,0.000000E+00,5.852900E+03,0.000000E+00,3.018315E-01,0.000000E+00
03:00:00,1.439720E+03,0.000000E+00,7.428163E-02,0.000000E+00,1.822788E+03,0.000000E+00,9.405308E-02,0.000000E+00,1.963508E+03,0.000000E+00,1.013146E-01,0.000000E+00,1.750318E+03,0.000000E+00,9.031318E-02,0.000000E+00,5.899266E+03,0.000000E+00,3.042311E-01,0.000000E+00
03:15:00,1.478442E+03,0.000000E+00,7.628080E-02,0.000000E+00,1.860493E+03,0.000000E+00,9.599858E-02,0.000000E+00,1.999511E+03,0.000000E+00,1.031722E-01,0.000000E+00,1.788772E+03,0.000000E+00,9.229738E-02,0.000000E+00,5.945613E+03,0.000000E+00,3.066269E-01,0.000000E+00
03:30:00,1.517622E+03,0.000000E+00,7.830313E-02,0.000000E+00,1.898178E+03,0.000000E+00,9.794300E-02,0.000000E+00,2.035472E+03,0.000000E+00,1.050277E-01,0.000000E+00,1.827231E+03,0.000000E+00,9.428173E-02,0.000000E+00,5.991977E+03,0.000000E+00,3.090223E-01,0.000000E+00
03:45:00,1.557154E+03,0.000000E+00,8.034330E-02,0.000000E+00,1.935824E+03,0.000000E+00,9.988538E-02,0.000000E+00,2.071380E+03,0.000000E+00,1.068803E-01,0.000000E+00,1.865670E+03,0.000000E+00,9.626507E-02,0.000000E+00,6.038358E+03,0.000000E+00,3.114171E-01,0.000000E+00
04:00:00,1.596949E+03,0.000000E+00,8.239681E-02,0.000000E+00,1.973419E+03,0.000000E+00,1.018250E-01,0.000000E+00,2.107223E+03,0.000000E+00,1.087295E-01,0.000000E+00,1.904075E+03,0.000000E+00,9.824652E-02,0.000000E+00,6.084760E+03,0.000000E+00,3.138116E-01,0.000000E+00
04:15:00,1.636939E+03,0.000000E+00,8.446021E-02,0.000000E+00,2.010954E+03,0.000000E+00,1.037614E-01,0.000000E+00,2.142996E+03,0.000000E+00,1.105750E-01,0.000000E+00,1.942434E+03,0.000000E+00,1.002255E-01,0.000000E+00,6.131206E+03,0.000000E+00,3.162071E-01,0.000000E+00
04:30:00,1.677066E+03,0.000000E+00,8.653053E-02,0.000000E+00,2.048419E+03,0.000000E+00,1.056941E-01,0.000000E+00,2.178692E+03,0.000000E+00,1.124163E-01,0.000000E+00,1.980735E+03,0.000000E+00,1.022013E-01,0.000000E+00,6.177696E+03,0.000000E+00,3.186038E-01,0.000000E+00
04:45:00,1.717284E+03,0.000000E+00,8.860547E-02,0.000000E+00,2.085806E+03,0.000000E+00,1.076227E-01,0.000000E+00,2.214304E+03,0.000000E+00,1.142533E-01,0.000000E+00,2.018966E+03,0.000000E+00,1.041735E-01,0.000000E+00,6.224251E+03,0.000000E+00,3.210036E-01,0.000000E+00
