Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.623551E+03,0.000000E+00,8.377957E-02,0.000000E+00,1.973264E+03,0.000000E+00,1.018262E-01,0.000000E+00,2.119815E+03,0.000000E+00,1.093888E-01,0.000000E+00,1.927744E+03,0.000000E+00,9.947714E-02,0.000000E+00,5.185166E+03,0.000000E+00,2.675280E-01,0.000000E+00
00:30:00,1.713761E+03,0.000000E+00,8.843278E-02,0.000000E+00,2.059560E+03,0.000000E+00,1.062772E-01,0.000000E+00,2.203425E+03,0.000000E+00,1.137011E-01,0.000000E+00,2.014297E+03,0.000000E+00,1.039414E-01,0.000000E+00,5.406069E+03,0.000000E+00,2.789147E-01,0.000000E+00
00:45:00,1.802944E+03,0.000000E+00,9.303302E-02,0.000000E+00,2.144824E+03,0.000000E+00,1.106750E-01,0.000000E+00,2.286015E+03,0.000000E+00,1.179607E-01,0.000000E+00,2.099829E+03,0.000000E+00,1.083531E-01,0.000000E+00,5.620040E+03,0.000000E+00,2.899434E-01,0.000000E+00
01:00:00,1.891055E+03,0.000000E+00,9.757781E-02,0.000000E+00,2.229018E+03,0.000000E+00,1.150175E-01,0.000000E+00,2.367543E+03,0.000000E+00,1.221655E-01,0.000000E+00,2.184300E+03,0.000000E+00,1.127099E-01,0.000000E+00,5.827058E+03,0.000000E+00,3.006132E-01,0.000000E+00
01:15:00,1.923569E+03,0.000000E+00,9.925541E-02,0.000000E+00,2.257948E+03,0.000000E+00,1.165101E-01,0.000000E+00,2.394483E+03,0.000000E+00,1.235554E-01,0.000000E+00,2.213722E+03,0.000000E+00,1.142279E-01,0.000000E+00,5.870896E+03,0.000000E+00,3.028730E-01,0.000000E+00
01:30:00,1.956010E+03,0.000000E+00,1.009290E-01,0.000000E+00,2.286832E+03,0.000000E+00,1.180000E-01,0.000000E+00,2.421399E+03,0.000000E+00,1.249438E-01,0.000000E+00,2.243109E+03,0.000000E+00,1.157438E-01,0.000000E+00,5.914796E+03,0.000000E+00,3.051348E-01,0.000000E+00
01:45:00,1.988365E+03,0.000000E+00,1.025980E-01,0.000000E+00,2.315663E+03,0.000000E+00,1.194872E-01,0.000000E+00,2.448282E+03,0.000000E+00,1.263304E-01,0.000000E+00,2.272451E+03,0.000000E+00,1.172573E-01,0.000000E+00,5.958786E+03,0.000000E+00,3.074016E-01,0.000000E+00
02:00:00,2.020613E+03,0.000000E+00,1.042616E-01,0.000000E+00,2.344426E+03,0.000000E+00,1.209709E-01,0.000000E+00,2.475119E+03,0.000000E+00,1.277148E-01,0.000000E+00,2.301731E+03,0.000000E+00,1.187677E-01,0.000000E+00,6.002858E+03,0.000000E+00,3.096732E-01,0.000000E+00
02:15:00,2.052870E+03,0.000000E+00,1.059257E-01,0.000000E+00,2.373243E+03,0.000000E+00,1.224576E-01,0.000000E+00,2.502031E+03,0.000000E+00,1.291030E-01,0.000000E+00,2.331070E+03,0.000000E+00,1.202813E-01,0.000000E+00,6.046991E+03,0.000000E+00,3.119484E-01,0.000000E+00
02:30:00,2.085124E+03,0.000000E+00,1.075898E-01,0.000000E+00,2.402108E+03,0.000000E+00,1.239467E-01,0.000000E+00,2.529009E+03,0.000000E+00,1.304949E-01,0.000000E+00,2.360458E+03,0.000000E+00,1.217975E-01,0.000000E+00,6.091177E+03,0.000000E+00,3.142271E-01,0.000000E+00
