Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.762165E+02,0.000000E+00,4.521680E-02,0.000000E+00,1.285838E+03,0.000000E+00,6.635249E-02,0.000000E+00,1.454858E+03,0.000000E+00,7.507514E-02,0.000000E+00,1.206168E+03,0.000000E+00,6.224031E-02,0.000000E+00,4.888281E+03,0.000000E+00,2.521344E-01,0.000000E+00
00:30:00,9.820379E+02,0.000000E+00,5.067594E-02,0.000000E+00,1.388468E+03,0.000000E+00,7.164703E-02,0.000000E+00,1.556126E+03,0.000000E+00,8.029925E-02,0.000000E+00,1.307259E+03,0.000000E+00,6.745563E-02,0.000000E+00,5.115241E+03,0.000000E+00,2.637971E-01,0.000000E+00
00:45:00,1.086343E+03,0.000000E+00,5.605675E-02,0.000000E+00,1.490792E+03,0.000000E+00,7.692579E-02,0.000000E+00,1.656828E+03,0.000000E+00,8.549414E-02,0.000000E+00,1.408422E+03,0.000000E+00,7.267460E-02,0.000000E+00,5.336478E+03,0.000000E+00,2.751643E-01,0.000000E+00
01:00:00,1.188938E+03,0.000000E+00,6.134910E-02,0.000000E+00,1.592687E+03,0.000000E+00,8.218236E-02,0.000000E+00,1.756871E+03,0.000000E+00,9.065496E-02,0.000000E+00,1.509418E+03,0.000000E+00,7.788492E-02,0.000000E+00,5.552139E+03,0.000000E+00,2.862555E-01,0.000000E+00
01:15:00,1.230835E+03,0.000000E+00,6.351047E-02,0.000000E+00,1.634155E+03,0.000000E+00,8.432213E-02,0.000000E+00,1.796900E+03,0.000000E+00,9.272038E-02,0.000000E+00,1.551271E+03,0.000000E+00,8.004459E-02,0.000000E+00,5.604700E+03,0.000000E+00,2.889756E-01,0.000000E+00
01:30:00,1.271805E+03,0.000000E+00,6.562369E-02,0.000000E+00,1.675796E+03,0.000000E+00,8.647058E-02,0.000000E+00,1.837028E+03,0.000000E+00,9.479074E-02,0.000000E+00,1.593382E+03,0.000000E+00,8.221740E-02,0.000000E+00,5.658106E+03,0.000000E+00,2.917533E-01,0.000000E+00
01:45:00,1.311135E+03,0.000000E+00,6.765196E-02,0.000000E+00,1.717631E+03,0.000000E+00,8.862898E-02,0.000000E+00,1.877283E+03,0.000000E+00,9.686754E-02,0.000000E+00,1.635764E+03,0.000000E+00,8.440406E-02,0.000000E+00,5.711283E+03,0.000000E+00,2.945240E-01,0.000000E+00
02:00:00,1.349818E+03,0.000000E+00,6.964624E-02,0.000000E+00,1.759526E+03,0.000000E+00,9.079048E-02,0.000000E+00,1.917540E+03,0.000000E+00,9.894449E-02,0.000000E+00,1.678270E+03,0.000000E+00,8.659713E-02,0.000000E+00,5.764025E+03,0.000000E+00,2.972641E-01,0.000000E+00
02:15:00,1.388914E+03,0.000000E+00,7.166240E-02,0.000000E+00,1.801591E+03,0.000000E+00,9.296081E-02,0.000000E+00,1.957917E+03,0.000000E+00,1.010277E-01,0.000000E+00,1.720999E+03,0.000000E+00,8.880178E-02,0.000000E+00,5.816617E+03,0.000000E+00,2.999884E-01,0.000000E+00
02:30:00,1.429008E+03,0.000000E+00,7.373064E-02,0.000000E+00,1.843810E+03,0.000000E+00,9.513919E-02,0.000000E+00,1.998402E+03,0.000000E+00,1.031165E-01,0.000000E+00,1.763930E+03,0.000000E+00,9.101690E-02,0.000000E+00,5.869261E+03,0.000000E+00,3.027114E-01,0.000000E+00
02:45:00,1.471074E+03,0.000000E+00,7.590123E-02,0.000000E+00,1.886087E+03,0.000000E+00,9.732054E-02,0.000000E+00,2.038909E+03,0.000000E+00,1.052065E-01,0.000000E+00,1.806957E+03,0.000000E+00,9.323700E-02,0.000000E+00,5.921980E+03,0.000000E+00,3.054362E-01,0.000000E+00
03:00:00,1.514393E+03,0.000000E+00,7.813736E-02,0.000000E+00,1.928480E+03,0.000000E+00,9.950790E-02,0.000000E+00,2.079499E+03,0.000000E+00,1.073008E-01,0.000000E+00,1.850135E+03,0.000000E+00,9.546490E-02,0.000000E+00,5.974820E+03,0.000000E+00,3.081662E-01,0.000000E+00
03:15:00,1.558292E+03,0.000000E+00,8.040315E-02,0.000000E+00,1.970881E+03,0.000000E+00,1.016957E-01,0.000000E+00,2.120070E+03,0.000000E+00,1.093942E-01,0.000000E+00,1.893353E+03,0.000000E+00,9.769485E-02,0.000000E+00,6.027774E+03,0.000000E+00,3.109012E-01,0.000000E+00
03:30:00,1.602623E+03,0.000000E+00,8.269105E-02,0.000000E+00,2.013247E+03,0.000000E+00,1.038817E-01,0.000000E+00,2.160586E+03,0.000000E+00,1.114847E-01,0.000000E+00,1.936562E+03,0.000000E+00,9.992438E-02,0.000000E+00,6.080828E+03,0.000000E+00,3.136409E-01,0.000000E+00
03:45:00,1.647274E+03,0.000000E+00,8.499523E-02,0.000000E+00,2.055559E+03,0.000000E+00,1.060648E-01,0.000000E+00,2.201030E+03,0.000000E+00,1.135714E-01,0.000000E+00,1.979738E+03,0.000000E+00,1.021521E-01,0.000000E+00,6.133963E+03,0.000000E+00,3.163837E-01,0.000000E+00
04:00:00,1.692155E+03,0.000000E+00,8.731107E-02,0.000000E+00,2.097800E+03,0.000000E+00,1.082442E-01,0.000000E+00,2.241389E+03,0.000000E+00,1.156536E-01,0.000000E+00,2.022862E+03,0.000000E+00,1.043771E-01,0.000000E+00,6.187173E+03,0.000000E+00,3.191294E-01,0.000000E+00
04:15:00,1.737197E+03,0.000000E+00,8.963509E-02,0.000000E+00,2.139960E+03,0.000000E+00,1.104193E-01,0.000000E+00,2.281657E+03,0.000000E+00,1.177311E-01,0.000000E+00,2.065920E+03,0.000000E+00,1.065986E-01,0.000000E+00,6.240475E+03,0.000000E+00,3.218789E-01,0.000000E+00
04:30:00,1.782341E+03,0.000000E+00,9.196428E-02,0.000000E+00,2.182027E+03,0.000000E+00,1.125895E-01,0.000000E+00,2.321825E+03,0.000000E+00,1.198032E-01,0.000000E+00,2.108898E+03,0.000000E+00,1.088157E-01,0.000000E+00,6.293866E+03,0.000000E+00,3.246320E-01,0.000000E+00
04:45:00,1.827542E+03,0.000000E+00,9.429627E-02,0.000000E+00,2.223993E+03,0.000000E+00,1.147543E-01,0.000000E+00,2.361886E+03,0.000000E+00,1.218697E-01,0.000000E+00,2.151783E+03,0.000000E+00,1.110281E-01,0.000000E+00,6.347359E+03,0.000000E+00,3.273901E-01,0.000000E+00
05:00:00,1.872757E+03,0.000000E+00,9.662894E-02,0.000000E+00,2.265846E+03,0.000000E+00,1.169134E-01,0.000000E+00,2.401830E+03,0.000000E+00,1.239303E-01,0.000000E+00,2.194562E+03,0.000000E+00,1.132350E-01,0.000000E+00,6.400948E+03,0.000000E+00,3.301534E-01,0.000000E+00
05:15:00,1.917874E+03,0.000000E+00,9.895657E-02,0.000000E+00,2.307500E+03,0.000000E+00,1.190622E-01,0.000000E+00,2.441575E+03,0.000000E+00,1.259805E-01,0.000000E+00,2.237149E+03,0.000000E+00,1.154319E-01,0.000000E+00,6.454232E+03,0.000000E+00,3.329011E-01,0.000000E+00
05:30:00,1.962860E+03,0.000000E+00,1.012775E-01,0.000000E+00,2.348947E+03,0.000000E+00,1.212004E-01,0.000000E+00,2.481112E+03,0.000000E+00,1.280200E-01,0.000000E+00,2.279530E+03,0.000000E+00,1.176183E-01,0.000000E+00,6.507198E+03,0.000000E+00,3.356326E-01,0.000000E+00
05:45:00,2.007688E+03,0.000000E+00,1.035902E-01,0.000000E+00,2.390177E+03,0.000000E+00,1.233273E-01,0.000000E+00,2.520433E+03,0.000000E+00,1.300485E-01,0.000000E+00,2.321696E+03,0.000000E+00,1.197936E-01,0.000000E+00,6.559834E+03,0.000000E+00,3.383470E-01,0.000000E+00
06:00:00,2.052332E+03,0.000000E+00,1.058933E-01,0.000000E+00,2.431181E+03,0.000000E+00,1.254426E-01,0.000000E+00,2.559532E+03,0.000000E+00,1.320655E-01,0.000000E+00,2.363637E+03,0.000000E+00,1.219572E-01,0.000000E+00,6.612128E+03,0.000000E+00,3.410438E-01,0.000000E+00
06:15:00,1.824209E+03,0.000000E+00,9.412274E-02,0.000000E+00,2.199361E+03,0.000000E+00,1.134810E-01,0.000000E+00,2.325820E+03,0.000000E+00,1.200061E-01,0.000000E+00,2.132756E+03,0.000000E+00,1.100441E-01,0.000000E+00,5.068424E+03,0.000000E+00,2.614216E-01,0.000000E+00
06:30:00,1.592985E+03,0.000000E+00,8.219436E-02,0.000000E+00,1.964380E+03,0.000000E+00,1.013586E-01,0.000000E+00,2.088962E+03,0.000000E+00,1.077868E-01,0.000000E+00,1.898718E+03,0.000000E+00,9.797039E-02,0.000000E+00,3.516083E+03,0.000000E+00,1.813572E-01,0.000000E+00
06:45:00,1.358494E+03,0.000000E+00,7.009825E-02,0.000000E+00,1.726103E+03,0.000000E+00,8.906757E-02,0.000000E+00,1.848832E+03,0.000000E+00,9.540044E-02,0.000000E+00,1.661385E+03,0.000000E+00,8.572800E-02,0.000000E+00,1.953877E+03,0.000000E+00,1.007842E-01,0.000000E+00
07:00:00,1.120663E+03,0.000000E+00,5.783053E-02,0.000000E+00,1.484458E+03,0.000000E+00,7.660385E-02,0.000000E+00,1.605355E+03,0.000000E+00,8.284257E-02,0.000000E+00,1.420685E+03,0.000000E+00,7.331288E-02,0.000000E+00,3.819290E+02,0.000000E+00,1.970907E-02,0.000000E+00
07:15:00,1.151973E+03,0.000000E+00,5.945008E-02,0.000000E+00,1.511966E+03,0.000000E+00,7.802845E-02,0.000000E+00,1.631046E+03,0.000000E+00,8.417388E-02,0.000000E+00,1.449133E+03,0.000000E+00,7.478580E-02,0.000000E+00,3.962717E+02,0.000000E+00,2.045242E-02,0.000000E+00
07:30:00,1.179266E+03,0.000000E+00,6.086062E-02,0.000000E+00,1.534038E+03,0.000000E+00,7.917088E-02,0.000000E+00,1.653970E+03,0.000000E+00,8.536074E-02,0.000000E+00,1.474746E+03,0.000000E+00,7.611070E-02,0.000000E+00,4.094123E+02,0.000000E+00,2.113081E-02,0.000000E+00
07:45:00,1.191268E+03,0.000000E+00,6.148156E-02,0.000000E+00,1.531535E+03,0.000000E+00,7.904399E-02,0.000000E+00,1.672720E+03,0.000000E+00,8.633105E-02,0.000000E+00,1.496129E+03,0.000000E+00,7.721650E-02,0.000000E+00,4.224194E+02,0.000000E+00,2.180225E-02,0.000000E+00
08:00:00,1.183886E+03,0.000000E+00,6.110176E-02,0.000000E+00,1.502446E+03,0.000000E+00,7.754425E-02,0.000000E+00,1.685645E+03,0.000000E+00,8.699988E-02,0.000000E+00,1.511632E+03,0.000000E+00,7.801820E-02,0.000000E+00,4.345135E+02,0.000000E+00,2.242656E-02,0.000000E+00
08:15:00,1.155456E+03,1.501612E+03,5.963536E-02,1.047572E-01,1.448284E+03,1.623230E+03,7.474987E-02,1.105928E-01,1.691617E+03,1.568209E+03,8.730926E-02,1.088206E-01,1.520292E+03,1.467404E+03,7.846627E-02,1.014291E-01,4.451756E+02,2.436051E+03,2.297695E-02,2.025604E-01
08:30:00,1.106866E+03,3.985847E+03,5.712822E-02,3.449335E-01,1.372466E+03,4.453428E+03,7.083739E-02,3.831516E-01,1.691770E+03,4.131803E+03,8.731792E-02,3.562336E-01,1.523543E+03,4.021915E+03,7.863483E-02,3.485219E-01,4.543746E+02,5.965171E+03,2.345182E-02,5.450725E-01
08:45:00,1.046791E+03,6.135953E+03,5.402809E-02,5.546785E-01,1.291676E+03,6.918500E+03,6.666802E-02,6.231267E-01,1.688003E+03,6.341855E+03,8.712399E-02,5.716377E-01,1.523451E+03,6.230377E+03,7.863058E-02,5.640114E-01,4.622522E+02,9.021836E+03,2.385847E-02,8.438679E-01
09:00:00,9.781646E+02,8.164358E+03,5.048638E-02,7.530797E-01,1.208079E+03,9.263428E+03,6.235354E-02,8.522577E-01,1.682152E+03,8.417143E+03,8.682233E-02,7.745471E-01,1.521779E+03,8.313238E+03,7.854465E-02,7.677546E-01,4.693764E+02,1.189826E+04,2.422624E-02,1.125541E+00
09:15:00,8.936286E+02,8.600766E+03,4.612339E-02,8.380923E-01,1.114635E+03,9.895241E+03,5.753068E-02,9.623729E-01,1.668031E+03,8.821301E+03,8.609368E-02,8.588286E-01,1.511870E+03,8.835250E+03,7.803346E-02,8.611321E-01,4.759201E+02,1.219235E+04,2.456403E-02,1.190445E+00
09:30:00,7.943506E+02,7.988952E+03,4.099943E-02,7.813439E-01,1.014237E+03,9.254352E+03,5.234884E-02,9.042384E-01,1.646258E+03,8.154180E+03,8.497004E-02,7.971874E-01,1.493833E+03,8.202085E+03,7.710264E-02,8.022609E-01,4.813981E+02,1.127938E+04,2.484681E-02,1.104255E+00
09:45:00,6.889598E+02,7.660537E+03,3.555989E-02,7.500887E-01,9.185342E+02,8.924646E+03,4.740928E-02,8.734659E-01,1.616236E+03,7.783564E+03,8.342057E-02,7.620069E-01,1.466703E+03,7.862197E+03,7.570248E-02,7.698548E-01,4.850918E+02,1.074573E+04,2.503749E-02,1.052664E+00
10:00:00,5.806828E+02,7.416613E+03,2.997134E-02,7.265436E-01,8.311167E+02,8.670050E+03,4.289734E-02,8.491508E-01,1.577031E+03,7.505149E+03,8.139708E-02,7.351659E-01,1.429455E+03,7.606387E+03,7.378003E-02,7.451388E-01,4.863500E+02,1.031423E+04,2.510246E-02,1.010543E+00
10:15:00,4.796280E+02,7.236561E+03,2.475553E-02,7.090367E-01,7.590353E+02,8.467218E+03,3.917694E-02,8.295337E-01,1.534267E+03,7.296124E+03,7.918990E-02,7.148527E-01,1.387908E+03,7.410742E+03,7.163567E-02,7.261032E-01,4.847505E+02,9.962052E+03,2.501992E-02,9.760718E-01
10:30:00,3.872898E+02,7.104281E+03,1.998960E-02,6.961268E-01,7.005895E+02,8.296126E+03,3.616032E-02,8.128736E-01,1.487668E+03,7.136711E+03,7.678471E-02,6.992965E-01,1.342052E+03,7.257086E+03,6.926886E-02,7.110989E-01,4.801328E+02,9.665267E+03,2.478160E-02,9.470006E-01
10:45:00,2.991239E+02,7.009707E+03,1.543901E-02,6.868798E-01,6.483136E+02,8.149263E+03,3.346216E-02,7.985253E-01,1.436503E+03,7.011879E+03,7.414390E-02,6.870893E-01,1.291179E+03,7.133862E+03,6.664310E-02,6.990448E-01,4.724324E+02,9.409389E+03,2.438417E-02,9.219316E-01
11:00:00,2.101256E+02,6.943028E+03,1.084545E-02,6.803539E-01,5.982036E+02,8.021162E+03,3.087578E-02,7.859901E-01,1.380330E+03,6.910700E+03,7.124461E-02,6.771845E-01,1.234961E+03,7.033332E+03,6.374146E-02,6.892019E-01,4.616255E+02,9.184899E+03,2.382639E-02,8.999367E-01
11:15:00,1.246128E+02,6.896527E+03,6.431781E-03,6.758007E-01,5.486066E+02,7.905198E+03,2.831587E-02,7.746341E-01,1.318676E+03,6.827464E+03,6.806239E-02,6.690322E-01,1.173487E+03,6.950582E+03,6.056858E-02,6.810967E-01,4.477774E+02,8.984283E+03,2.311164E-02,8.802806E-01
11:30:00,6.122429E+01,6.862510E+03,3.160039E-03,6.724690E-01,5.014369E+02,7.790174E+03,2.588125E-02,7.633661E-01,1.251627E+03,6.757347E+03,6.460168E-02,6.621633E-01,1.106401E+03,6.880878E+03,5.710596E-02,6.742681E-01,4.309883E+02,8.801775E+03,2.224509E-02,8.623987E-01
11:45:00,1.867100E+01,6.837437E+03,9.636879E-04,6.700128E-01,4.615232E+02,7.662480E+03,2.382114E-02,7.508547E-01,1.179320E+03,6.698925E+03,6.086965E-02,6.564395E-01,1.033894E+03,6.822979E+03,5.336359E-02,6.685954E-01,4.113851E+02,8.633916E+03,2.123329E-02,8.459520E-01
12:00:00,0.000000E+00,6.818249E+03,0.000000E+00,6.681331E-01,4.373810E+02,7.509448E+03,2.257506E-02,7.358597E-01,1.102498E+03,6.650518E+03,5.690451E-02,6.516967E-01,9.564674E+02,6.775369E+03,4.936728E-02,6.639307E-01,3.891730E+02,8.477552E+03,2.008683E-02,8.306316E-01
12:15:00,0.000000E+00,6.801589E+03,0.000000E+00,6.665008E-01,4.382790E+02,7.332788E+03,2.262141E-02,7.185490E-01,1.026747E+03,6.609863E+03,5.299471E-02,6.477133E-01,8.791692E+02,6.735914E+03,4.537760E-02,6.600649E-01,3.646116E+02,8.330980E+03,1.881912E-02,8.162706E-01
12:30:00,0.000000E+00,6.786644E+03,0.000000E+00,6.650365E-01,4.546812E+02,7.165968E+03,2.346800E-02,7.022024E-01,9.528484E+02,6.576317E+03,4.918049E-02,6.444265E-01,8.030141E+02,6.711956E+03,4.144691E-02,6.577176E-01,3.380736E+02,8.193734E+03,1.744939E-02,8.028233E-01
12:45:00,0.000000E+00,6.771871E+03,0.000000E+00,6.635890E-01,4.655205E+02,7.031289E+03,2.402746E-02,6.890057E-01,8.814111E+02,6.549201E+03,4.549331E-02,6.417697E-01,7.160895E+02,6.727561E+03,3.696037E-02,6.592472E-01,3.099250E+02,8.064046E+03,1.599652E-02,7.901166E-01
13:00:00,0.000000E+00,6.756524E+03,0.000000E+00,6.620852E-01,4.579439E+02,6.941592E+03,2.363640E-02,6.802171E-01,8.123860E+02,6.528348E+03,4.193064E-02,6.397266E-01,6.039674E+02,6.791925E+03,3.117328E-02,6.655550E-01,2.804910E+02,7.941306E+03,1.447731E-02,7.780906E-01
13:15:00,0.000000E+00,6.741780E+03,0.000000E+00,6.606406E-01,4.219935E+02,6.897053E+03,2.178085E-02,6.758537E-01,7.418246E+02,6.514229E+03,3.828867E-02,6.383433E-01,4.613085E+02,6.901307E+03,2.381006E-02,6.762742E-01,2.500719E+02,7.825174E+03,1.290725E-02,7.667120E-01
13:30:00,0.000000E+00,6.726131E+03,0.000000E+00,6.591072E-01,3.652376E+02,6.872465E+03,1.885144E-02,6.734453E-01,6.694581E+02,6.505843E+03,3.455353E-02,6.375218E-01,2.961527E+02,7.036063E+03,1.528568E-02,6.894796E-01,2.189905E+02,7.714815E+03,1.130301E-02,7.558992E-01
13:45:00,0.000000E+00,6.708896E+03,0.000000E+00,6.574184E-01,3.024322E+02,6.856357E+03,1.560979E-02,6.718675E-01,5.957886E+02,6.502585E+03,3.075114E-02,6.372027E-01,1.534660E+02,7.159810E+03,7.921024E-03,7.016059E-01,1.877093E+02,7.610439E+03,9.688462E-03,7.456725E-01
14:00:00,0.000000E+00,6.689922E+03,0.000000E+00,6.555593E-01,2.394460E+02,6.846149E+03,1.235881E-02,6.708676E-01,5.228653E+02,6.503517E+03,2.698726E-02,6.372942E-01,5.676219E+01,7.257105E+03,2.929734E-03,7.111397E-01,1.567671E+02,7.511078E+03,8.091406E-03,7.359372E-01
14:15:00,0.000000E+00,6.667946E+03,0.000000E+00,6.534059E-01,1.777919E+02,6.839336E+03,9.176584E-03,6.702003E-01,4.520636E+02,6.506633E+03,2.333289E-02,6.375998E-01,8.230428E+00,7.331557E+03,4.248068E-04,7.184347E-01,1.267597E+02,7.415905E+03,6.542595E-03,7.266121E-01
