Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.756401E+03,0.000000E+00,9.063580E-02,0.000000E+00,2.131306E+03,0.000000E+00,1.099825E-01,0.000000E+00,2.290009E+03,0.000000E+00,1.181722E-01,0.000000E+00,2.081800E+03,0.000000E+00,1.074277E-01,0.000000E+00,5.447000E+03,0.000000E+00,2.810489E-01,0.000000E+00
00:30:00,1.853911E+03,0.000000E+00,9.566573E-02,0.000000E+00,2.224581E+03,0.000000E+00,1.147936E-01,0.000000E+00,2.380337E+03,0.000000E+00,1.228311E-01,0.000000E+00,2.175348E+03,0.000000E+00,1.122530E-01,0.000000E+00,5.676365E+03,0.000000E+00,2.928736E-01,0.000000E+00
00:45:00,1.950420E+03,0.000000E+00,1.006439E-01,0.000000E+00,2.316860E+03,0.000000E+00,1.195533E-01,0.000000E+00,2.469682E+03,0.000000E+00,1.274392E-01,0.000000E+00,2.267913E+03,0.000000E+00,1.170274E-01,0.000000E+00,5.898984E+03,0.000000E+00,3.043499E-01,0.000000E+00
01:00:00,2.045872E+03,0.000000E+00,1.055676E-01,0.000000E+00,2.408100E+03,0.000000E+00,1.242593E-01,0.000000E+00,2.558000E+03,0.000000E+00,1.319943E-01,0.000000E+00,2.359447E+03,0.000000E+00,1.217487E-01,0.000000E+00,6.114833E+03,0.000000E+00,3.154766E-01,0.000000E+00
01:15:00,2.081862E+03,0.000000E+00,1.074245E-01,0.000000E+00,2.440237E+03,0.000000E+00,1.259174E-01,0.000000E+00,2.587980E+03,0.000000E+00,1.335411E-01,0.000000E+00,2.392126E+03,0.000000E+00,1.234348E-01,0.000000E+00,6.163144E+03,0.000000E+00,3.179675E-01,0.000000E+00
01:30:00,2.117761E+03,0.000000E+00,1.092765E-01,0.000000E+00,2.472321E+03,0.000000E+00,1.275725E-01,0.000000E+00,2.617930E+03,0.000000E+00,1.350861E-01,0.000000E+00,2.424763E+03,0.000000E+00,1.251184E-01,0.000000E+00,6.211556E+03,0.000000E+00,3.204625E-01,0.000000E+00
01:45:00,2.153553E+03,0.000000E+00,1.111229E-01,0.000000E+00,2.504341E+03,0.000000E+00,1.292243E-01,0.000000E+00,2.647842E+03,0.000000E+00,1.366290E-01,0.000000E+00,2.457346E+03,0.000000E+00,1.267992E-01,0.000000E+00,6.260092E+03,0.000000E+00,3.229641E-01,0.000000E+00
02:00:00,2.189214E+03,0.000000E+00,1.129626E-01,0.000000E+00,2.536280E+03,0.000000E+00,1.308719E-01,0.000000E+00,2.677696E+03,0.000000E+00,1.381690E-01,0.000000E+00,2.489855E+03,0.000000E+00,1.284762E-01,0.000000E+00,6.308735E+03,0.000000E+00,3.254718E-01,0.000000E+00
02:15:00,2.224873E+03,0.000000E+00,1.148023E-01,0.000000E+00,2.568275E+03,0.000000E+00,1.325225E-01,0.000000E+00,2.707628E+03,0.000000E+00,1.397131E-01,0.000000E+00,2.522424E+03,0.000000E+00,1.301565E-01,0.000000E+00,6.357456E+03,0.000000E+00,3.279841E-01,0.000000E+00
02:30:00,2.260516E+03,0.000000E+00,1.166412E-01,0.000000E+00,2.600315E+03,0.000000E+00,1.341755E-01,0.000000E+00,2.737627E+03,0.000000E+00,1.412608E-01,0.000000E+00,2.555041E+03,0.000000E+00,1.318393E-01,0.000000E+00,6.406245E+03,0.000000E+00,3.305004E-01,0.000000E+00
02:45:00,2.296124E+03,0.000000E+00,1.184784E-01,0.000000E+00,2.632389E+03,0.000000E+00,1.358304E-01,0.000000E+00,2.767680E+03,0.000000E+00,1.428114E-01,0.000000E+00,2.587693E+03,0.000000E+00,1.335240E-01,0.000000E+00,6.455081E+03,0.000000E+00,3.330192E-01,0.000000E+00
03:00:00,2.331685E+03,0.000000E+00,1.203132E-01,0.000000E+00,2.664487E+03,0.000000E+00,1.374865E-01,0.000000E+00,2.797777E+03,0.000000E+00,1.443643E-01,0.000000E+00,2.620368E+03,0.000000E+00,1.352099E-01,0.000000E+00,6.503960E+03,0.000000E+00,3.355402E-01,0.000000E+00
03:15:00,2.367106E+03,0.000000E+00,1.221407E-01,0.000000E+00,2.696521E+03,0.000000E+00,1.391393E-01,0.000000E+00,2.827831E+03,0.000000E+00,1.459149E-01,0.000000E+00,2.652979E+03,0.000000E+00,1.368924E-01,0.000000E+00,6.552863E+03,0.000000E+00,3.380624E-01,0.000000E+00
03:30:00,2.402374E+03,0.000000E+00,1.239604E-01,0.000000E+00,2.728485E+03,0.000000E+00,1.407885E-01,0.000000E+00,2.857835E+03,0.000000E+00,1.474629E-01,0.000000E+00,2.685517E+03,0.000000E+00,1.385712E-01,0.000000E+00,6.601787E+03,0.000000E+00,3.405858E-01,0.000000E+00
03:45:00,2.437480E+03,0.000000E+00,1.257716E-01,0.000000E+00,2.760373E+03,0.000000E+00,1.424337E-01,0.000000E+00,2.887783E+03,0.000000E+00,1.490080E-01,0.000000E+00,2.717976E+03,0.000000E+00,1.402459E-01,0.000000E+00,6.650723E+03,0.000000E+00,3.431092E-01,0.000000E+00
04:00:00,2.472415E+03,0.000000E+00,1.275738E-01,0.000000E+00,2.792186E+03,0.000000E+00,1.440749E-01,0.000000E+00,2.917674E+03,0.000000E+00,1.505500E-01,0.000000E+00,2.750357E+03,0.000000E+00,1.419164E-01,0.000000E+00,6.699673E+03,0.000000E+00,3.456328E-01,0.000000E+00
04:15:00,2.507171E+03,0.000000E+00,1.293667E-01,0.000000E+00,2.823928E+03,0.000000E+00,1.457122E-01,0.000000E+00,2.947512E+03,0.000000E+00,1.520891E-01,0.000000E+00,2.782661E+03,0.000000E+00,1.435828E-01,0.000000E+00,6.748660E+03,0.000000E+00,3.481576E-01,0.000000E+00
