Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.435017E+02,0.000000E+00,4.869821E-02,0.000000E+00,1.049390E+03,0.000000E+00,5.415072E-02,0.000000E+00,9.668080E+02,0.000000E+00,4.989003E-02,0.000000E+00,6.592328E+02,0.000000E+00,3.402068E-02,0.000000E+00,4.399351E+03,0.000000E+00,2.270028E-01,0.000000E+00
00:30:00,1.025624E+03,0.000000E+00,5.293942E-02,0.000000E+00,1.148733E+03,0.000000E+00,5.927361E-02,0.000000E+00,1.054005E+03,0.000000E+00,5.438737E-02,0.000000E+00,7.625279E+02,0.000000E+00,3.935013E-02,0.000000E+00,4.633918E+03,0.000000E+00,2.390978E-01,0.000000E+00
00:45:00,1.078144E+03,0.000000E+00,5.565268E-02,0.000000E+00,1.244731E+03,0.000000E+00,6.422384E-02,0.000000E+00,1.137772E+03,0.000000E+00,5.870745E-02,0.000000E+00,8.629372E+02,0.000000E+00,4.453054E-02,0.000000E+00,4.861203E+03,0.000000E+00,2.508166E-01,0.000000E+00
01:00:00,1.127289E+03,0.000000E+00,5.819157E-02,0.000000E+00,1.337589E+03,0.000000E+00,6.901239E-02,0.000000E+00,1.216750E+03,0.000000E+00,6.278009E-02,0.000000E+00,9.603062E+02,0.000000E+00,4.955393E-02,0.000000E+00,5.081119E+03,0.000000E+00,2.621547E-01,0.000000E+00
01:15:00,1.120590E+03,0.000000E+00,5.784578E-02,0.000000E+00,1.369751E+03,0.000000E+00,7.067164E-02,0.000000E+00,1.241819E+03,0.000000E+00,6.407138E-02,0.000000E+00,9.967101E+02,0.000000E+00,5.143198E-02,0.000000E+00,5.133049E+03,0.000000E+00,2.648318E-01,0.000000E+00
01:30:00,1.111115E+03,0.000000E+00,5.735648E-02,0.000000E+00,1.404428E+03,0.000000E+00,7.246124E-02,0.000000E+00,1.268649E+03,0.000000E+00,6.545469E-02,0.000000E+00,1.031582E+03,0.000000E+00,5.323080E-02,0.000000E+00,5.184450E+03,0.000000E+00,2.674807E-01,0.000000E+00
01:45:00,1.129616E+03,0.000000E+00,5.831123E-02,0.000000E+00,1.441141E+03,0.000000E+00,7.435632E-02,0.000000E+00,1.298092E+03,0.000000E+00,6.697356E-02,0.000000E+00,1.065254E+03,0.000000E+00,5.496759E-02,0.000000E+00,5.236393E+03,0.000000E+00,2.701576E-01,0.000000E+00
02:00:00,1.149749E+03,0.000000E+00,5.935030E-02,0.000000E+00,1.480324E+03,0.000000E+00,7.637862E-02,0.000000E+00,1.332074E+03,0.000000E+00,6.872729E-02,0.000000E+00,1.099461E+03,0.000000E+00,5.673197E-02,0.000000E+00,5.289027E+03,0.000000E+00,2.728707E-01,0.000000E+00
02:15:00,1.170987E+03,0.000000E+00,6.044639E-02,0.000000E+00,1.522820E+03,0.000000E+00,7.857182E-02,0.000000E+00,1.368743E+03,0.000000E+00,7.062114E-02,0.000000E+00,1.134726E+03,0.000000E+00,5.855094E-02,0.000000E+00,5.342580E+03,0.000000E+00,2.756315E-01,0.000000E+00
02:30:00,1.229085E+03,0.000000E+00,6.344515E-02,0.000000E+00,1.567246E+03,0.000000E+00,8.086470E-02,0.000000E+00,1.406834E+03,0.000000E+00,7.258754E-02,0.000000E+00,1.171568E+03,0.000000E+00,6.045139E-02,0.000000E+00,5.397462E+03,0.000000E+00,2.784615E-01,0.000000E+00
02:45:00,1.293056E+03,0.000000E+00,6.674719E-02,0.000000E+00,1.612956E+03,0.000000E+00,8.322373E-02,0.000000E+00,1.446105E+03,0.000000E+00,7.461443E-02,0.000000E+00,1.209785E+03,0.000000E+00,6.242279E-02,0.000000E+00,5.452693E+03,0.000000E+00,2.813095E-01,0.000000E+00
03:00:00,1.360669E+03,0.000000E+00,7.023708E-02,0.000000E+00,1.659783E+03,0.000000E+00,8.564028E-02,0.000000E+00,1.486351E+03,0.000000E+00,7.669144E-02,0.000000E+00,1.247797E+03,0.000000E+00,6.438349E-02,0.000000E+00,5.508281E+03,0.000000E+00,2.841759E-01,0.000000E+00
03:15:00,1.428220E+03,0.000000E+00,7.372365E-02,0.000000E+00,1.707444E+03,0.000000E+00,8.809983E-02,0.000000E+00,1.527408E+03,0.000000E+00,7.881020E-02,0.000000E+00,1.285253E+03,0.000000E+00,6.631524E-02,0.000000E+00,5.564209E+03,0.000000E+00,2.870598E-01,0.000000E+00
03:30:00,1.459693E+03,0.000000E+00,7.534778E-02,0.000000E+00,1.755758E+03,0.000000E+00,9.059299E-02,0.000000E+00,1.569116E+03,0.000000E+00,8.096252E-02,0.000000E+00,1.321327E+03,0.000000E+00,6.817544E-02,0.000000E+00,5.620344E+03,0.000000E+00,2.899542E-01,0.000000E+00
03:45:00,1.446119E+03,0.000000E+00,7.464646E-02,0.000000E+00,1.804651E+03,0.000000E+00,9.311590E-02,0.000000E+00,1.611410E+03,0.000000E+00,8.314495E-02,0.000000E+00,1.356711E+03,0.000000E+00,6.999925E-02,0.000000E+00,5.676678E+03,0.000000E+00,2.928584E-01,0.000000E+00
04:00:00,1.425652E+03,0.000000E+00,7.358933E-02,0.000000E+00,1.853918E+03,0.000000E+00,9.565798E-02,0.000000E+00,1.654108E+03,0.000000E+00,8.534810E-02,0.000000E+00,1.392378E+03,0.000000E+00,7.183802E-02,0.000000E+00,5.733089E+03,0.000000E+00,2.957659E-01,0.000000E+00
