Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,6.014982E+02,0.000000E+00,3.104155E-02,0.000000E+00,9.067016E+02,0.000000E+00,4.678758E-02,0.000000E+00,1.089856E+03,0.000000E+00,5.623983E-02,0.000000E+00,9.005014E+02,0.000000E+00,4.646690E-02,0.000000E+00,4.823086E+03,0.000000E+00,2.488249E-01,0.000000E+00
00:30:00,6.907218E+02,0.000000E+00,3.564518E-02,0.000000E+00,9.807988E+02,0.000000E+00,5.060955E-02,0.000000E+00,1.171883E+03,0.000000E+00,6.047153E-02,0.000000E+00,9.743258E+02,0.000000E+00,5.027439E-02,0.000000E+00,5.054819E+03,0.000000E+00,2.607642E-01,0.000000E+00
00:45:00,7.796028E+02,0.000000E+00,4.023105E-02,0.000000E+00,1.055003E+03,0.000000E+00,5.443717E-02,0.000000E+00,1.253905E+03,0.000000E+00,6.470286E-02,0.000000E+00,1.048057E+03,0.000000E+00,5.407738E-02,0.000000E+00,5.280002E+03,0.000000E+00,2.723644E-01,0.000000E+00
01:00:00,8.680001E+02,0.000000E+00,4.479186E-02,0.000000E+00,1.129361E+03,0.000000E+00,5.827288E-02,0.000000E+00,1.335807E+03,0.000000E+00,6.892802E-02,0.000000E+00,1.121736E+03,0.000000E+00,5.787779E-02,0.000000E+00,5.498556E+03,0.000000E+00,2.836214E-01,0.000000E+00
01:15:00,9.051595E+02,0.000000E+00,4.670910E-02,0.000000E+00,1.160623E+03,0.000000E+00,5.988632E-02,0.000000E+00,1.369220E+03,0.000000E+00,7.065216E-02,0.000000E+00,1.152601E+03,0.000000E+00,5.947138E-02,0.000000E+00,5.549965E+03,0.000000E+00,2.862675E-01,0.000000E+00
01:30:00,9.424095E+02,0.000000E+00,4.863091E-02,0.000000E+00,1.192522E+03,0.000000E+00,6.153236E-02,0.000000E+00,1.403023E+03,0.000000E+00,7.239622E-02,0.000000E+00,1.184135E+03,0.000000E+00,6.109886E-02,0.000000E+00,5.601526E+03,0.000000E+00,2.889195E-01,0.000000E+00
01:45:00,9.796562E+02,0.000000E+00,5.055247E-02,0.000000E+00,1.224996E+03,0.000000E+00,6.320803E-02,0.000000E+00,1.437165E+03,0.000000E+00,7.415776E-02,0.000000E+00,1.216316E+03,0.000000E+00,6.275950E-02,0.000000E+00,5.653203E+03,0.000000E+00,2.915773E-01,0.000000E+00
02:00:00,1.016800E+03,0.000000E+00,5.246868E-02,0.000000E+00,1.258003E+03,0.000000E+00,6.491109E-02,0.000000E+00,1.471598E+03,0.000000E+00,7.593429E-02,0.000000E+00,1.249083E+03,0.000000E+00,6.445028E-02,0.000000E+00,5.704898E+03,0.000000E+00,2.942359E-01,0.000000E+00
02:15:00,1.053797E+03,0.000000E+00,5.437724E-02,0.000000E+00,1.291572E+03,0.000000E+00,6.664324E-02,0.000000E+00,1.506343E+03,0.000000E+00,7.772691E-02,0.000000E+00,1.282451E+03,0.000000E+00,6.617209E-02,0.000000E+00,5.756497E+03,0.000000E+00,2.968892E-01,0.000000E+00
02:30:00,1.090488E+03,0.000000E+00,5.626999E-02,0.000000E+00,1.325577E+03,0.000000E+00,6.839794E-02,0.000000E+00,1.541356E+03,0.000000E+00,7.953345E-02,0.000000E+00,1.316359E+03,0.000000E+00,6.792182E-02,0.000000E+00,5.807894E+03,0.000000E+00,2.995312E-01,0.000000E+00
