,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,456.54,0.00,779.21,0.00,60.37,0.00,789.19,0.00,0.00,0.00,0.00,0.00,0.00
February,415.24,0.00,695.40,0.00,17.68,0.00,183.55,40.69,0.00,0.00,0.00,0.00,0.00
March,476.37,0.00,783.34,0.00,36.58,0.00,31.88,483.97,0.00,0.00,0.00,0.00,0.00
April,417.16,0.00,722.68,0.00,101.34,0.00,0.00,1534.50,0.00,0.00,0.00,0.00,0.00
May,476.37,0.00,783.34,0.00,171.51,0.00,0.00,2669.86,0.00,0.00,0.00,0.00,0.00
June,456.00,0.00,754.03,0.00,183.96,0.00,0.00,2851.26,0.00,0.00,0.00,0.00,0.00
July,437.54,0.00,752.00,0.00,144.71,0.00,0.00,2144.50,0.00,0.00,0.00,0.00,0.00
August,476.37,0.00,783.34,0.00,144.30,0.00,0.00,2118.93,0.00,0.00,0.00,0.00,0.00
September,436.99,0.00,726.81,0.00,131.16,0.00,0.00,1936.21,0.00,0.00,0.00,0.00,0.00
October,456.54,0.00,779.21,0.00,64.66,0.00,0.00,926.61,0.00,0.00,0.00,0.00,0.00
November,456.00,0.00,754.03,0.00,14.60,0.00,46.19,155.59,0.00,0.00,0.00,0.00,0.00
December,437.54,0.00,752.00,0.00,42.05,0.00,561.01,0.39,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,5398.68,,9065.39,,1112.93,,1611.82,14862.50,,,,,
Minimum of Months,415.24,0.00,695.40,0.00,14.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,476.37,0.00,783.34,0.00,183.96,0.00,789.19,2851.26,0.00,0.00,0.00,0.00,0.00
