Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.141677E+02,0.000000E+00,4.717627E-02,0.000000E+00,1.418302E+03,0.000000E+00,7.318996E-02,0.000000E+00,1.619626E+03,0.000000E+00,8.357959E-02,0.000000E+00,1.321262E+03,0.000000E+00,6.818151E-02,0.000000E+00,4.830165E+03,0.000000E+00,2.492127E-01,0.000000E+00
00:30:00,1.046281E+03,0.000000E+00,5.399240E-02,0.000000E+00,1.546980E+03,0.000000E+00,7.982878E-02,0.000000E+00,1.747444E+03,0.000000E+00,9.017385E-02,0.000000E+00,1.448124E+03,0.000000E+00,7.472682E-02,0.000000E+00,5.112318E+03,0.000000E+00,2.637532E-01,0.000000E+00
00:45:00,1.176906E+03,0.000000E+00,6.073167E-02,0.000000E+00,1.675736E+03,0.000000E+00,8.647163E-02,0.000000E+00,1.874978E+03,0.000000E+00,9.675347E-02,0.000000E+00,1.575554E+03,0.000000E+00,8.130139E-02,0.000000E+00,5.387329E+03,0.000000E+00,2.779226E-01,0.000000E+00
01:00:00,1.305740E+03,0.000000E+00,6.737830E-02,0.000000E+00,1.804393E+03,0.000000E+00,9.310932E-02,0.000000E+00,2.002099E+03,0.000000E+00,1.033117E-01,0.000000E+00,1.703256E+03,0.000000E+00,8.788993E-02,0.000000E+00,5.654101E+03,0.000000E+00,2.916624E-01,0.000000E+00
01:15:00,1.361215E+03,0.000000E+00,7.024047E-02,0.000000E+00,1.860258E+03,0.000000E+00,9.599202E-02,0.000000E+00,2.056349E+03,0.000000E+00,1.061111E-01,0.000000E+00,1.759559E+03,0.000000E+00,9.079529E-02,0.000000E+00,5.732808E+03,0.000000E+00,2.957055E-01,0.000000E+00
01:30:00,1.414622E+03,0.000000E+00,7.299555E-02,0.000000E+00,1.916350E+03,0.000000E+00,9.888634E-02,0.000000E+00,2.110734E+03,0.000000E+00,1.089172E-01,0.000000E+00,1.816204E+03,0.000000E+00,9.371817E-02,0.000000E+00,5.813566E+03,0.000000E+00,2.998611E-01,0.000000E+00
01:45:00,1.467576E+03,0.000000E+00,7.572679E-02,0.000000E+00,1.972605E+03,0.000000E+00,1.017889E-01,0.000000E+00,2.165198E+03,0.000000E+00,1.117273E-01,0.000000E+00,1.873109E+03,0.000000E+00,9.665433E-02,0.000000E+00,5.896876E+03,0.000000E+00,3.041562E-01,0.000000E+00
02:00:00,1.520939E+03,0.000000E+00,7.847950E-02,0.000000E+00,2.028951E+03,0.000000E+00,1.046962E-01,0.000000E+00,2.219681E+03,0.000000E+00,1.145384E-01,0.000000E+00,1.930190E+03,0.000000E+00,9.959958E-02,0.000000E+00,5.983751E+03,0.000000E+00,3.086432E-01,0.000000E+00
02:15:00,1.575484E+03,0.000000E+00,8.129359E-02,0.000000E+00,2.085441E+03,0.000000E+00,1.076109E-01,0.000000E+00,2.274248E+03,0.000000E+00,1.173538E-01,0.000000E+00,1.987484E+03,0.000000E+00,1.025558E-01,0.000000E+00,6.071399E+03,0.000000E+00,3.131796E-01,0.000000E+00
02:30:00,1.632563E+03,0.000000E+00,8.423886E-02,0.000000E+00,2.142052E+03,0.000000E+00,1.105319E-01,0.000000E+00,2.328884E+03,0.000000E+00,1.201729E-01,0.000000E+00,2.044959E+03,0.000000E+00,1.055214E-01,0.000000E+00,6.159636E+03,0.000000E+00,3.177423E-01,0.000000E+00
02:45:00,1.690879E+03,0.000000E+00,8.724861E-02,0.000000E+00,2.198760E+03,0.000000E+00,1.134580E-01,0.000000E+00,2.383574E+03,0.000000E+00,1.229949E-01,0.000000E+00,2.102583E+03,0.000000E+00,1.084948E-01,0.000000E+00,6.248524E+03,0.000000E+00,3.223351E-01,0.000000E+00
03:00:00,1.749925E+03,0.000000E+00,9.029581E-02,0.000000E+00,2.255527E+03,0.000000E+00,1.163871E-01,0.000000E+00,2.438288E+03,0.000000E+00,1.258180E-01,0.000000E+00,2.160310E+03,0.000000E+00,1.114735E-01,0.000000E+00,6.338024E+03,0.000000E+00,3.269574E-01,0.000000E+00
