Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.163889E+03,0.000000E+00,1.116661E-01,0.000000E+00,2.616607E+03,0.000000E+00,1.350285E-01,0.000000E+00,2.814475E+03,0.000000E+00,1.452393E-01,0.000000E+00,2.555876E+03,0.000000E+00,1.318945E-01,0.000000E+00,6.702979E+03,0.000000E+00,3.458753E-01,0.000000E+00
00:30:00,2.283748E+03,0.000000E+00,1.178492E-01,0.000000E+00,2.731240E+03,0.000000E+00,1.409416E-01,0.000000E+00,2.925415E+03,0.000000E+00,1.509617E-01,0.000000E+00,2.670815E+03,0.000000E+00,1.378234E-01,0.000000E+00,6.978795E+03,0.000000E+00,3.600980E-01,0.000000E+00
00:45:00,2.402668E+03,0.000000E+00,1.239838E-01,0.000000E+00,2.844971E+03,0.000000E+00,1.468082E-01,0.000000E+00,3.035466E+03,0.000000E+00,1.566382E-01,0.000000E+00,2.784872E+03,0.000000E+00,1.437068E-01,0.000000E+00,7.248853E+03,0.000000E+00,3.740233E-01,0.000000E+00
01:00:00,2.520576E+03,0.000000E+00,1.300662E-01,0.000000E+00,2.957740E+03,0.000000E+00,1.526250E-01,0.000000E+00,3.144569E+03,0.000000E+00,1.622656E-01,0.000000E+00,2.897981E+03,0.000000E+00,1.495413E-01,0.000000E+00,7.513098E+03,0.000000E+00,3.876485E-01,0.000000E+00
01:15:00,2.567134E+03,0.000000E+00,1.324686E-01,0.000000E+00,2.999666E+03,0.000000E+00,1.547884E-01,0.000000E+00,3.183853E+03,0.000000E+00,1.642926E-01,0.000000E+00,2.940588E+03,0.000000E+00,1.517398E-01,0.000000E+00,7.586345E+03,0.000000E+00,3.914264E-01,0.000000E+00
01:30:00,2.613541E+03,0.000000E+00,1.348628E-01,0.000000E+00,3.041509E+03,0.000000E+00,1.569471E-01,0.000000E+00,3.223075E+03,0.000000E+00,1.663160E-01,0.000000E+00,2.983128E+03,0.000000E+00,1.539345E-01,0.000000E+00,7.659879E+03,0.000000E+00,3.952180E-01,0.000000E+00
01:45:00,2.659768E+03,0.000000E+00,1.372478E-01,0.000000E+00,3.083248E+03,0.000000E+00,1.591004E-01,0.000000E+00,3.262214E+03,0.000000E+00,1.683351E-01,0.000000E+00,3.025578E+03,0.000000E+00,1.561245E-01,0.000000E+00,7.733685E+03,0.000000E+00,3.990237E-01,0.000000E+00
02:00:00,2.705780E+03,0.000000E+00,1.396216E-01,0.000000E+00,3.124858E+03,0.000000E+00,1.612470E-01,0.000000E+00,3.301238E+03,0.000000E+00,1.703482E-01,0.000000E+00,3.067909E+03,0.000000E+00,1.583084E-01,0.000000E+00,7.807714E+03,0.000000E+00,4.028414E-01,0.000000E+00
02:15:00,2.751744E+03,0.000000E+00,1.419930E-01,0.000000E+00,3.166514E+03,0.000000E+00,1.633961E-01,0.000000E+00,3.340314E+03,0.000000E+00,1.723641E-01,0.000000E+00,3.110295E+03,0.000000E+00,1.604951E-01,0.000000E+00,7.881904E+03,0.000000E+00,4.066679E-01,0.000000E+00
02:30:00,2.797634E+03,0.000000E+00,1.443607E-01,0.000000E+00,3.208201E+03,0.000000E+00,1.655469E-01,0.000000E+00,3.379403E+03,0.000000E+00,1.743807E-01,0.000000E+00,3.152716E+03,0.000000E+00,1.626838E-01,0.000000E+00,7.956211E+03,0.000000E+00,4.105010E-01,0.000000E+00
