Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.004242E+02,0.000000E+00,4.646673E-02,0.000000E+00,1.372185E+03,0.000000E+00,7.080956E-02,0.000000E+00,1.562248E+03,0.000000E+00,8.061806E-02,0.000000E+00,1.281004E+03,0.000000E+00,6.610342E-02,0.000000E+00,4.861901E+03,0.000000E+00,2.508331E-01,0.000000E+00
00:30:00,1.023553E+03,0.000000E+00,5.281917E-02,0.000000E+00,1.491908E+03,0.000000E+00,7.698624E-02,0.000000E+00,1.680892E+03,0.000000E+00,8.673886E-02,0.000000E+00,1.399065E+03,0.000000E+00,7.219453E-02,0.000000E+00,5.119804E+03,0.000000E+00,2.641167E-01,0.000000E+00
00:45:00,1.145186E+03,0.000000E+00,5.909431E-02,0.000000E+00,1.611590E+03,0.000000E+00,8.316075E-02,0.000000E+00,1.799165E+03,0.000000E+00,9.284056E-02,0.000000E+00,1.517537E+03,0.000000E+00,7.830679E-02,0.000000E+00,5.369458E+03,0.000000E+00,2.769696E-01,0.000000E+00
01:00:00,1.265052E+03,0.000000E+00,6.527810E-02,0.000000E+00,1.731069E+03,0.000000E+00,8.932481E-02,0.000000E+00,1.916951E+03,0.000000E+00,9.891703E-02,0.000000E+00,1.636140E+03,0.000000E+00,8.442575E-02,0.000000E+00,5.613278E+03,0.000000E+00,2.895086E-01,0.000000E+00
01:15:00,1.315754E+03,0.000000E+00,6.789387E-02,0.000000E+00,1.781907E+03,0.000000E+00,9.194809E-02,0.000000E+00,1.966207E+03,0.000000E+00,1.014587E-01,0.000000E+00,1.687401E+03,0.000000E+00,8.707093E-02,0.000000E+00,5.679983E+03,0.000000E+00,2.929344E-01,0.000000E+00
01:30:00,1.364915E+03,0.000000E+00,7.042985E-02,0.000000E+00,1.832954E+03,0.000000E+00,9.458201E-02,0.000000E+00,2.015587E+03,0.000000E+00,1.040065E-01,0.000000E+00,1.738976E+03,0.000000E+00,8.973210E-02,0.000000E+00,5.748877E+03,0.000000E+00,2.964829E-01,0.000000E+00
01:45:00,1.412805E+03,0.000000E+00,7.289979E-02,0.000000E+00,1.884152E+03,0.000000E+00,9.722360E-02,0.000000E+00,2.065041E+03,0.000000E+00,1.065580E-01,0.000000E+00,1.790790E+03,0.000000E+00,9.240556E-02,0.000000E+00,5.820925E+03,0.000000E+00,3.002044E-01,0.000000E+00
02:00:00,1.460944E+03,0.000000E+00,7.538270E-02,0.000000E+00,1.935439E+03,0.000000E+00,9.986979E-02,0.000000E+00,2.114516E+03,0.000000E+00,1.091107E-01,0.000000E+00,1.842771E+03,0.000000E+00,9.508759E-02,0.000000E+00,5.893651E+03,0.000000E+00,3.039773E-01,0.000000E+00
02:15:00,1.509995E+03,0.000000E+00,7.791316E-02,0.000000E+00,1.986864E+03,0.000000E+00,1.025231E-01,0.000000E+00,2.164074E+03,0.000000E+00,1.116676E-01,0.000000E+00,1.894953E+03,0.000000E+00,9.778004E-02,0.000000E+00,5.966419E+03,0.000000E+00,3.077477E-01,0.000000E+00
02:30:00,1.560917E+03,0.000000E+00,8.054055E-02,0.000000E+00,2.038409E+03,0.000000E+00,1.051828E-01,0.000000E+00,2.213704E+03,0.000000E+00,1.142284E-01,0.000000E+00,1.947310E+03,0.000000E+00,1.004816E-01,0.000000E+00,6.039449E+03,0.000000E+00,3.115256E-01,0.000000E+00
