Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.535582E+02,0.000000E+00,4.920968E-02,0.000000E+00,1.540183E+03,0.000000E+00,7.948117E-02,0.000000E+00,1.801310E+03,0.000000E+00,9.295715E-02,0.000000E+00,1.425566E+03,0.000000E+00,7.356587E-02,0.000000E+00,4.668252E+03,0.000000E+00,2.408873E-01,0.000000E+00
00:30:00,1.109108E+03,0.000000E+00,5.723527E-02,0.000000E+00,1.695704E+03,0.000000E+00,8.750528E-02,0.000000E+00,1.957928E+03,0.000000E+00,1.010377E-01,0.000000E+00,1.579006E+03,0.000000E+00,8.148273E-02,0.000000E+00,5.040091E+03,0.000000E+00,2.600636E-01,0.000000E+00
00:45:00,1.261552E+03,0.000000E+00,6.510037E-02,0.000000E+00,1.851878E+03,0.000000E+00,9.556316E-02,0.000000E+00,2.114680E+03,0.000000E+00,1.091252E-01,0.000000E+00,1.733593E+03,0.000000E+00,8.945880E-02,0.000000E+00,5.406445E+03,0.000000E+00,2.789561E-01,0.000000E+00
01:00:00,1.410603E+03,0.000000E+00,7.279011E-02,0.000000E+00,2.008442E+03,0.000000E+00,1.036411E-01,0.000000E+00,2.271380E+03,0.000000E+00,1.172100E-01,0.000000E+00,1.889093E+03,0.000000E+00,9.748194E-02,0.000000E+00,5.766222E+03,0.000000E+00,2.975077E-01,0.000000E+00
01:15:00,1.476520E+03,0.000000E+00,7.619093E-02,0.000000E+00,2.079506E+03,0.000000E+00,1.073083E-01,0.000000E+00,2.341373E+03,0.000000E+00,1.208219E-01,0.000000E+00,1.960779E+03,0.000000E+00,1.011812E-01,0.000000E+00,5.895848E+03,0.000000E+00,3.041900E-01,0.000000E+00
01:30:00,1.543790E+03,0.000000E+00,7.966187E-02,0.000000E+00,2.150915E+03,0.000000E+00,1.109931E-01,0.000000E+00,2.411577E+03,0.000000E+00,1.244445E-01,0.000000E+00,2.032943E+03,0.000000E+00,1.049050E-01,0.000000E+00,6.024531E+03,0.000000E+00,3.108193E-01,0.000000E+00
01:45:00,1.613659E+03,0.000000E+00,8.326710E-02,0.000000E+00,2.222568E+03,0.000000E+00,1.146904E-01,0.000000E+00,2.481909E+03,0.000000E+00,1.280735E-01,0.000000E+00,2.105463E+03,0.000000E+00,1.086471E-01,0.000000E+00,6.155181E+03,0.000000E+00,3.175520E-01,0.000000E+00
02:00:00,1.686569E+03,0.000000E+00,8.702957E-02,0.000000E+00,2.294363E+03,0.000000E+00,1.183950E-01,0.000000E+00,2.552284E+03,0.000000E+00,1.317048E-01,0.000000E+00,2.178218E+03,0.000000E+00,1.124013E-01,0.000000E+00,6.289070E+03,0.000000E+00,3.244559E-01,0.000000E+00
02:15:00,1.760728E+03,0.000000E+00,9.085667E-02,0.000000E+00,2.366453E+03,0.000000E+00,1.221148E-01,0.000000E+00,2.622874E+03,0.000000E+00,1.353472E-01,0.000000E+00,2.251346E+03,0.000000E+00,1.161746E-01,0.000000E+00,6.428590E+03,0.000000E+00,3.316544E-01,0.000000E+00
02:30:00,1.835916E+03,0.000000E+00,9.473667E-02,0.000000E+00,2.438760E+03,0.000000E+00,1.258458E-01,0.000000E+00,2.693613E+03,0.000000E+00,1.389973E-01,0.000000E+00,2.324755E+03,0.000000E+00,1.199626E-01,0.000000E+00,6.572298E+03,0.000000E+00,3.390747E-01,0.000000E+00
