Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.078381E+02,0.000000E+00,4.684974E-02,0.000000E+00,1.427370E+03,0.000000E+00,7.365804E-02,0.000000E+00,1.631191E+03,0.000000E+00,8.417651E-02,0.000000E+00,1.329189E+03,0.000000E+00,6.859073E-02,0.000000E+00,4.821922E+03,0.000000E+00,2.487903E-01,0.000000E+00
00:30:00,1.042045E+03,0.000000E+00,5.377393E-02,0.000000E+00,1.557844E+03,0.000000E+00,8.038956E-02,0.000000E+00,1.760863E+03,0.000000E+00,9.086647E-02,0.000000E+00,1.457790E+03,0.000000E+00,7.522573E-02,0.000000E+00,5.109580E+03,0.000000E+00,2.636158E-01,0.000000E+00
00:45:00,1.174790E+03,0.000000E+00,6.062263E-02,0.000000E+00,1.688434E+03,0.000000E+00,8.712700E-02,0.000000E+00,1.890280E+03,0.000000E+00,9.754323E-02,0.000000E+00,1.587012E+03,0.000000E+00,8.189278E-02,0.000000E+00,5.390244E+03,0.000000E+00,2.780780E-01,0.000000E+00
01:00:00,1.305772E+03,0.000000E+00,6.738017E-02,0.000000E+00,1.818954E+03,0.000000E+00,9.386082E-02,0.000000E+00,2.019306E+03,0.000000E+00,1.041998E-01,0.000000E+00,1.716545E+03,0.000000E+00,8.857582E-02,0.000000E+00,5.661922E+03,0.000000E+00,2.920727E-01,0.000000E+00
01:15:00,1.362481E+03,0.000000E+00,7.030600E-02,0.000000E+00,1.875839E+03,0.000000E+00,9.679624E-02,0.000000E+00,2.074574E+03,0.000000E+00,1.070517E-01,0.000000E+00,1.773871E+03,0.000000E+00,9.153397E-02,0.000000E+00,5.743331E+03,0.000000E+00,2.962517E-01,0.000000E+00
01:30:00,1.417336E+03,0.000000E+00,7.313587E-02,0.000000E+00,1.932958E+03,0.000000E+00,9.974348E-02,0.000000E+00,2.129978E+03,0.000000E+00,1.099104E-01,0.000000E+00,1.831545E+03,0.000000E+00,9.450997E-02,0.000000E+00,5.826854E+03,0.000000E+00,3.005483E-01,0.000000E+00
01:45:00,1.471309E+03,0.000000E+00,7.591980E-02,0.000000E+00,1.990239E+03,0.000000E+00,1.026991E-01,0.000000E+00,2.185463E+03,0.000000E+00,1.127732E-01,0.000000E+00,1.889483E+03,0.000000E+00,9.749947E-02,0.000000E+00,5.912911E+03,0.000000E+00,3.049839E-01,0.000000E+00
02:00:00,1.525631E+03,0.000000E+00,7.872197E-02,0.000000E+00,2.047614E+03,0.000000E+00,1.056594E-01,0.000000E+00,2.240966E+03,0.000000E+00,1.156370E-01,0.000000E+00,1.947600E+03,0.000000E+00,1.004982E-01,0.000000E+00,6.003382E+03,0.000000E+00,3.096548E-01,0.000000E+00
02:15:00,1.581134E+03,0.000000E+00,8.158550E-02,0.000000E+00,2.105215E+03,0.000000E+00,1.086315E-01,0.000000E+00,2.296630E+03,0.000000E+00,1.185091E-01,0.000000E+00,2.006016E+03,0.000000E+00,1.035123E-01,0.000000E+00,6.094627E+03,0.000000E+00,3.143798E-01,0.000000E+00
02:30:00,1.638891E+03,0.000000E+00,8.456571E-02,0.000000E+00,2.162906E+03,0.000000E+00,1.116082E-01,0.000000E+00,2.352333E+03,0.000000E+00,1.213832E-01,0.000000E+00,2.064582E+03,0.000000E+00,1.065342E-01,0.000000E+00,6.186392E+03,0.000000E+00,3.191256E-01,0.000000E+00
