Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.184302E+03,0.000000E+00,1.127197E-01,0.000000E+00,2.650725E+03,0.000000E+00,1.367893E-01,0.000000E+00,2.851622E+03,0.000000E+00,1.471565E-01,0.000000E+00,2.589250E+03,0.000000E+00,1.336169E-01,0.000000E+00,6.815097E+03,0.000000E+00,3.516616E-01,0.000000E+00
00:30:00,2.305778E+03,0.000000E+00,1.189862E-01,0.000000E+00,2.766864E+03,0.000000E+00,1.427801E-01,0.000000E+00,2.964009E+03,0.000000E+00,1.529535E-01,0.000000E+00,2.705696E+03,0.000000E+00,1.396236E-01,0.000000E+00,7.095392E+03,0.000000E+00,3.661154E-01,0.000000E+00
00:45:00,2.426318E+03,0.000000E+00,1.252044E-01,0.000000E+00,2.882107E+03,0.000000E+00,1.487247E-01,0.000000E+00,3.075512E+03,0.000000E+00,1.587049E-01,0.000000E+00,2.821265E+03,0.000000E+00,1.455851E-01,0.000000E+00,7.370020E+03,0.000000E+00,3.802766E-01,0.000000E+00
01:00:00,2.545851E+03,0.000000E+00,1.313707E-01,0.000000E+00,2.996392E+03,0.000000E+00,1.546198E-01,0.000000E+00,3.186068E+03,0.000000E+00,1.644073E-01,0.000000E+00,2.935892E+03,0.000000E+00,1.514979E-01,0.000000E+00,7.638925E+03,0.000000E+00,3.941422E-01,0.000000E+00
01:15:00,2.593170E+03,0.000000E+00,1.338123E-01,0.000000E+00,3.039008E+03,0.000000E+00,1.568187E-01,0.000000E+00,3.225998E+03,0.000000E+00,1.664676E-01,0.000000E+00,2.979198E+03,0.000000E+00,1.537324E-01,0.000000E+00,7.714589E+03,0.000000E+00,3.980449E-01,0.000000E+00
01:30:00,2.640333E+03,0.000000E+00,1.362456E-01,0.000000E+00,3.081535E+03,0.000000E+00,1.590128E-01,0.000000E+00,3.265860E+03,0.000000E+00,1.685241E-01,0.000000E+00,3.022434E+03,0.000000E+00,1.559630E-01,0.000000E+00,7.790555E+03,0.000000E+00,4.019620E-01,0.000000E+00
01:45:00,2.687310E+03,0.000000E+00,1.386692E-01,0.000000E+00,3.123956E+03,0.000000E+00,1.612013E-01,0.000000E+00,3.305631E+03,0.000000E+00,1.705757E-01,0.000000E+00,3.065577E+03,0.000000E+00,1.581888E-01,0.000000E+00,7.866805E+03,0.000000E+00,4.058938E-01,0.000000E+00
02:00:00,2.734067E+03,0.000000E+00,1.410815E-01,0.000000E+00,3.166243E+03,0.000000E+00,1.633828E-01,0.000000E+00,3.345272E+03,0.000000E+00,1.726206E-01,0.000000E+00,3.108597E+03,0.000000E+00,1.604082E-01,0.000000E+00,7.943288E+03,0.000000E+00,4.098381E-01,0.000000E+00
02:15:00,2.780771E+03,0.000000E+00,1.434911E-01,0.000000E+00,3.208575E+03,0.000000E+00,1.655668E-01,0.000000E+00,3.384937E+03,0.000000E+00,1.746669E-01,0.000000E+00,3.151670E+03,0.000000E+00,1.626305E-01,0.000000E+00,8.019936E+03,0.000000E+00,4.137914E-01,0.000000E+00
02:30:00,2.827394E+03,0.000000E+00,1.458966E-01,0.000000E+00,3.250934E+03,0.000000E+00,1.677523E-01,0.000000E+00,3.424576E+03,0.000000E+00,1.767119E-01,0.000000E+00,3.194778E+03,0.000000E+00,1.648546E-01,0.000000E+00,8.096706E+03,0.000000E+00,4.177516E-01,0.000000E+00
02:45:00,2.873907E+03,0.000000E+00,1.482965E-01,0.000000E+00,3.293301E+03,0.000000E+00,1.699382E-01,0.000000E+00,3.464238E+03,0.000000E+00,1.787581E-01,0.000000E+00,3.237897E+03,0.000000E+00,1.670794E-01,0.000000E+00,8.173549E+03,0.000000E+00,4.217157E-01,0.000000E+00
03:00:00,2.920277E+03,0.000000E+00,1.506890E-01,0.000000E+00,3.335658E+03,0.000000E+00,1.721237E-01,0.000000E+00,3.503932E+03,0.000000E+00,1.808060E-01,0.000000E+00,3.281011E+03,0.000000E+00,1.693039E-01,0.000000E+00,8.250439E+03,0.000000E+00,4.256822E-01,0.000000E+00
03:15:00,2.966364E+03,0.000000E+00,1.530669E-01,0.000000E+00,3.377884E+03,0.000000E+00,1.743025E-01,0.000000E+00,3.543576E+03,0.000000E+00,1.828514E-01,0.000000E+00,3.323998E+03,0.000000E+00,1.715219E-01,0.000000E+00,8.327341E+03,0.000000E+00,4.296493E-01,0.000000E+00
03:30:00,3.012115E+03,0.000000E+00,1.554274E-01,0.000000E+00,3.419966E+03,0.000000E+00,1.764737E-01,0.000000E+00,3.583209E+03,0.000000E+00,1.848964E-01,0.000000E+00,3.366844E+03,0.000000E+00,1.737326E-01,0.000000E+00,8.404241E+03,0.000000E+00,4.336163E-01,0.000000E+00
03:45:00,3.057416E+03,0.000000E+00,1.577647E-01,0.000000E+00,3.461893E+03,0.000000E+00,1.786369E-01,0.000000E+00,3.622770E+03,0.000000E+00,1.869376E-01,0.000000E+00,3.409541E+03,0.000000E+00,1.759356E-01,0.000000E+00,8.481126E+03,0.000000E+00,4.375821E-01,0.000000E+00
04:00:00,3.102542E+03,0.000000E+00,1.600927E-01,0.000000E+00,3.503656E+03,0.000000E+00,1.807915E-01,0.000000E+00,3.662258E+03,0.000000E+00,1.889750E-01,0.000000E+00,3.452084E+03,0.000000E+00,1.781305E-01,0.000000E+00,8.557998E+03,0.000000E+00,4.415467E-01,0.000000E+00
04:15:00,3.147554E+03,0.000000E+00,1.624148E-01,0.000000E+00,3.545242E+03,0.000000E+00,1.829368E-01,0.000000E+00,3.701674E+03,0.000000E+00,1.910084E-01,0.000000E+00,3.494471E+03,0.000000E+00,1.803171E-01,0.000000E+00,8.634878E+03,0.000000E+00,4.455110E-01,0.000000E+00
04:30:00,3.192546E+03,0.000000E+00,1.647358E-01,0.000000E+00,3.586579E+03,0.000000E+00,1.850690E-01,0.000000E+00,3.741018E+03,0.000000E+00,1.930380E-01,0.000000E+00,3.536695E+03,0.000000E+00,1.824952E-01,0.000000E+00,8.711767E+03,0.000000E+00,4.494752E-01,0.000000E+00
04:45:00,3.237679E+03,0.000000E+00,1.670641E-01,0.000000E+00,3.627750E+03,0.000000E+00,1.871924E-01,0.000000E+00,3.780288E+03,0.000000E+00,1.950637E-01,0.000000E+00,3.578742E+03,0.000000E+00,1.846640E-01,0.000000E+00,8.788675E+03,0.000000E+00,4.534403E-01,0.000000E+00
05:00:00,3.282728E+03,0.000000E+00,1.693881E-01,0.000000E+00,3.668784E+03,0.000000E+00,1.893089E-01,0.000000E+00,3.819484E+03,0.000000E+00,1.970855E-01,0.000000E+00,3.620576E+03,0.000000E+00,1.868218E-01,0.000000E+00,8.865597E+03,0.000000E+00,4.574063E-01,0.000000E+00
