Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.788390E+01,0.000000E+00,4.019536E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.853747E+02,0.000000E+00,1.988795E-02,0.000000E+00
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.261414E+00,0.000000E+00,2.204108E-04,0.000000E+00,1.653848E+02,0.000000E+00,8.535350E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.926454E+02,0.000000E+00,4.090575E-02,0.000000E+00
00:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.093137E+01,0.000000E+00,1.080814E-03,0.000000E+00,2.625136E+02,0.000000E+00,1.354800E-02,0.000000E+00,1.201836E+01,0.000000E+00,6.203596E-04,0.000000E+00,1.221895E+03,0.000000E+00,6.305770E-02,0.000000E+00
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.032870E+01,0.000000E+00,2.598100E-03,0.000000E+00,3.692745E+02,0.000000E+00,1.905770E-02,0.000000E+00,3.724430E+01,0.000000E+00,1.922356E-03,0.000000E+00,1.673199E+03,0.000000E+00,8.634768E-02,0.000000E+00
01:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.284828E+01,0.000000E+00,4.792631E-03,0.000000E+00,4.087811E+02,0.000000E+00,2.109638E-02,0.000000E+00,7.591170E+01,0.000000E+00,3.918078E-03,0.000000E+00,1.773090E+03,0.000000E+00,9.150222E-02,0.000000E+00
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.440039E+02,0.000000E+00,7.432375E-03,0.000000E+00,4.492404E+02,0.000000E+00,2.318420E-02,0.000000E+00,1.277697E+02,0.000000E+00,6.594557E-03,0.000000E+00,1.885148E+03,0.000000E+00,9.728455E-02,0.000000E+00
01:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.955526E+02,0.000000E+00,1.009278E-02,0.000000E+00,4.906350E+02,0.000000E+00,2.532024E-02,0.000000E+00,1.797096E+02,0.000000E+00,9.275141E-03,0.000000E+00,2.009407E+03,0.000000E+00,1.036963E-01,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.471144E+02,0.000000E+00,1.275380E-02,0.000000E+00,5.329467E+02,0.000000E+00,2.750357E-02,0.000000E+00,2.313161E+02,0.000000E+00,1.193848E-02,0.000000E+00,2.145911E+03,0.000000E+00,1.107395E-01,0.000000E+00
02:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.933384E+02,0.000000E+00,1.513926E-02,0.000000E+00,5.702316E+02,0.000000E+00,2.942743E-02,0.000000E+00,2.774018E+02,0.000000E+00,1.431683E-02,0.000000E+00,2.251806E+03,0.000000E+00,1.162028E-01,0.000000E+00
02:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.353081E+02,0.000000E+00,1.730512E-02,0.000000E+00,6.024645E+02,0.000000E+00,3.109055E-02,0.000000E+00,3.181589E+02,0.000000E+00,1.642013E-02,0.000000E+00,2.327026E+03,0.000000E+00,1.200832E-01,0.000000E+00
