,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,574.67,0.00,1050.53,0.00,28.19,0.00,211.89,210.23,0.00,0.00,0.00,0.00,0.00
February,522.68,0.00,937.54,0.00,53.06,0.00,6.28,706.69,0.00,0.00,0.00,0.00,0.00
March,599.63,0.00,1056.10,0.00,153.09,0.00,0.00,2125.40,0.00,0.00,0.00,0.00,0.00
April,525.10,0.00,974.32,0.00,260.88,0.00,0.00,3919.88,0.00,0.00,0.00,0.00,0.00
May,599.63,0.00,1056.10,0.00,373.01,0.00,0.00,5808.45,0.00,0.00,0.00,0.00,0.00
June,573.98,0.00,1016.58,0.00,379.80,0.00,0.00,5890.19,0.00,0.00,0.00,0.00,0.00
July,550.75,0.00,1013.84,0.00,290.71,0.00,0.00,4308.12,0.00,0.00,0.00,0.00,0.00
August,599.63,0.00,1056.10,0.00,295.16,0.00,0.00,4325.78,0.00,0.00,0.00,0.00,0.00
September,550.06,0.00,979.89,0.00,279.54,0.00,0.00,4118.29,0.00,0.00,0.00,0.00,0.00
October,574.67,0.00,1050.53,0.00,195.00,0.00,0.00,2774.15,0.00,0.00,0.00,0.00,0.00
November,573.98,0.00,1016.58,0.00,86.05,0.00,0.00,1165.51,0.00,0.00,0.00,0.00,0.00
December,550.75,0.00,1013.84,0.00,29.02,0.00,110.90,330.89,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,6795.51,,12221.96,,2423.50,,329.08,35683.58,,,,,
Minimum of Months,522.68,0.00,937.54,0.00,28.19,0.00,0.00,210.23,0.00,0.00,0.00,0.00,0.00
Maximum of Months,599.63,0.00,1056.10,0.00,379.80,0.00,211.89,5890.19,0.00,0.00,0.00,0.00,0.00
