Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.684130E+02,0.000000E+00,4.998422E-02,0.000000E+00,1.034100E+03,0.000000E+00,5.337475E-02,0.000000E+00,6.901799E+02,0.000000E+00,3.561778E-02,0.000000E+00,1.176360E+03,0.000000E+00,6.071765E-02,0.000000E+00,3.818415E+03,0.000000E+00,1.970410E-01,0.000000E+00
00:30:00,1.087006E+03,0.000000E+00,5.610784E-02,0.000000E+00,1.142364E+03,0.000000E+00,5.896522E-02,0.000000E+00,7.882984E+02,0.000000E+00,4.068014E-02,0.000000E+00,1.326132E+03,0.000000E+00,6.845111E-02,0.000000E+00,4.083669E+03,0.000000E+00,2.107224E-01,0.000000E+00
00:45:00,1.168749E+03,0.000000E+00,6.032938E-02,0.000000E+00,1.224218E+03,0.000000E+00,6.319257E-02,0.000000E+00,8.837100E+02,0.000000E+00,4.560272E-02,0.000000E+00,1.435660E+03,0.000000E+00,7.410733E-02,0.000000E+00,4.341419E+03,0.000000E+00,2.240163E-01,0.000000E+00
01:00:00,1.246034E+03,0.000000E+00,6.432073E-02,0.000000E+00,1.302017E+03,0.000000E+00,6.721048E-02,0.000000E+00,9.762125E+02,0.000000E+00,5.037506E-02,0.000000E+00,1.538937E+03,0.000000E+00,7.944074E-02,0.000000E+00,4.591518E+03,0.000000E+00,2.369149E-01,0.000000E+00
01:15:00,1.233130E+03,0.000000E+00,6.365465E-02,0.000000E+00,1.298750E+03,0.000000E+00,6.704191E-02,0.000000E+00,1.010483E+03,0.000000E+00,5.214313E-02,0.000000E+00,1.523418E+03,0.000000E+00,7.863963E-02,0.000000E+00,4.660906E+03,0.000000E+00,2.404935E-01,0.000000E+00
01:30:00,1.217005E+03,0.000000E+00,6.282207E-02,0.000000E+00,1.293050E+03,0.000000E+00,6.674753E-02,0.000000E+00,1.043612E+03,0.000000E+00,5.385211E-02,0.000000E+00,1.504425E+03,0.000000E+00,7.765895E-02,0.000000E+00,4.729320E+03,0.000000E+00,2.440209E-01,0.000000E+00
01:45:00,1.236751E+03,0.000000E+00,6.384111E-02,0.000000E+00,1.311044E+03,0.000000E+00,6.767608E-02,0.000000E+00,1.077728E+03,0.000000E+00,5.561199E-02,0.000000E+00,1.522318E+03,0.000000E+00,7.858219E-02,0.000000E+00,4.797499E+03,0.000000E+00,2.475363E-01,0.000000E+00
02:00:00,1.258693E+03,0.000000E+00,6.497360E-02,0.000000E+00,1.330302E+03,0.000000E+00,6.867002E-02,0.000000E+00,1.113230E+03,0.000000E+00,5.744341E-02,0.000000E+00,1.543083E+03,0.000000E+00,7.965387E-02,0.000000E+00,4.867043E+03,0.000000E+00,2.511225E-01,0.000000E+00
02:15:00,1.281899E+03,0.000000E+00,6.617130E-02,0.000000E+00,1.350600E+03,0.000000E+00,6.971753E-02,0.000000E+00,1.150849E+03,0.000000E+00,5.938406E-02,0.000000E+00,1.565362E+03,0.000000E+00,8.080362E-02,0.000000E+00,4.938392E+03,0.000000E+00,2.548022E-01,0.000000E+00
02:30:00,1.351302E+03,0.000000E+00,6.975360E-02,0.000000E+00,1.402414E+03,0.000000E+00,7.239185E-02,0.000000E+00,1.190561E+03,0.000000E+00,6.143267E-02,0.000000E+00,1.636484E+03,0.000000E+00,8.447457E-02,0.000000E+00,5.012143E+03,0.000000E+00,2.586061E-01,0.000000E+00
