Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.218523E+02,0.000000E+00,4.757311E-02,0.000000E+00,1.461841E+03,0.000000E+00,7.543726E-02,0.000000E+00,1.801121E+03,0.000000E+00,9.294593E-02,0.000000E+00,1.359634E+03,0.000000E+00,7.016222E-02,0.000000E+00,4.797176E+03,0.000000E+00,2.475215E-01,0.000000E+00
00:30:00,1.062136E+03,0.000000E+00,5.481095E-02,0.000000E+00,1.598509E+03,0.000000E+00,8.248843E-02,0.000000E+00,1.936789E+03,0.000000E+00,9.994517E-02,0.000000E+00,1.494346E+03,0.000000E+00,7.711259E-02,0.000000E+00,5.104399E+03,0.000000E+00,2.633587E-01,0.000000E+00
00:45:00,1.200978E+03,0.000000E+00,6.197425E-02,0.000000E+00,1.735380E+03,0.000000E+00,8.955006E-02,0.000000E+00,2.072216E+03,0.000000E+00,1.069320E-01,0.000000E+00,1.629765E+03,0.000000E+00,8.409947E-02,0.000000E+00,5.404898E+03,0.000000E+00,2.788470E-01,0.000000E+00
01:00:00,1.338042E+03,0.000000E+00,6.904570E-02,0.000000E+00,1.872256E+03,0.000000E+00,9.661190E-02,0.000000E+00,2.207264E+03,0.000000E+00,1.138992E-01,0.000000E+00,1.765591E+03,0.000000E+00,9.110725E-02,0.000000E+00,5.696740E+03,0.000000E+00,2.938855E-01,0.000000E+00
01:15:00,1.397887E+03,0.000000E+00,7.213339E-02,0.000000E+00,1.932592E+03,0.000000E+00,9.972536E-02,0.000000E+00,2.266144E+03,0.000000E+00,1.169375E-01,0.000000E+00,1.826388E+03,0.000000E+00,9.424454E-02,0.000000E+00,5.789159E+03,0.000000E+00,2.986381E-01,0.000000E+00
01:30:00,1.454912E+03,0.000000E+00,7.507529E-02,0.000000E+00,1.993170E+03,0.000000E+00,1.028512E-01,0.000000E+00,2.325145E+03,0.000000E+00,1.199819E-01,0.000000E+00,1.887549E+03,0.000000E+00,9.740049E-02,0.000000E+00,5.883633E+03,0.000000E+00,3.035014E-01,0.000000E+00
01:45:00,1.512424E+03,0.000000E+00,7.804150E-02,0.000000E+00,2.053918E+03,0.000000E+00,1.059857E-01,0.000000E+00,2.384205E+03,0.000000E+00,1.230292E-01,0.000000E+00,1.948984E+03,0.000000E+00,1.005705E-01,0.000000E+00,5.980756E+03,0.000000E+00,3.085078E-01,0.000000E+00
02:00:00,1.570419E+03,0.000000E+00,8.103335E-02,0.000000E+00,2.114758E+03,0.000000E+00,1.091249E-01,0.000000E+00,2.443259E+03,0.000000E+00,1.260761E-01,0.000000E+00,2.010601E+03,0.000000E+00,1.037498E-01,0.000000E+00,6.082409E+03,0.000000E+00,3.137537E-01,0.000000E+00
02:15:00,1.629851E+03,0.000000E+00,8.409972E-02,0.000000E+00,2.175829E+03,0.000000E+00,1.122760E-01,0.000000E+00,2.502463E+03,0.000000E+00,1.291308E-01,0.000000E+00,2.072526E+03,0.000000E+00,1.069450E-01,0.000000E+00,6.185947E+03,0.000000E+00,3.191072E-01,0.000000E+00
02:30:00,1.692619E+03,0.000000E+00,8.733865E-02,0.000000E+00,2.236987E+03,0.000000E+00,1.154317E-01,0.000000E+00,2.561684E+03,0.000000E+00,1.321865E-01,0.000000E+00,2.134601E+03,0.000000E+00,1.101480E-01,0.000000E+00,6.290418E+03,0.000000E+00,3.245062E-01,0.000000E+00
02:45:00,1.755741E+03,0.000000E+00,9.059665E-02,0.000000E+00,2.298208E+03,0.000000E+00,1.185906E-01,0.000000E+00,2.620909E+03,0.000000E+00,1.352425E-01,0.000000E+00,2.196792E+03,0.000000E+00,1.133571E-01,0.000000E+00,6.395813E+03,0.000000E+00,3.299498E-01,0.000000E+00
