Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.285667E+03,0.000000E+00,1.179511E-01,0.000000E+00,2.769102E+03,0.000000E+00,1.428987E-01,0.000000E+00,3.108682E+03,0.000000E+00,1.604220E-01,0.000000E+00,2.705240E+03,0.000000E+00,1.396031E-01,0.000000E+00,7.222616E+03,0.000000E+00,3.726931E-01,0.000000E+00
00:30:00,2.412420E+03,0.000000E+00,1.244899E-01,0.000000E+00,2.890256E+03,0.000000E+00,1.491483E-01,0.000000E+00,3.224878E+03,0.000000E+00,1.664152E-01,0.000000E+00,2.826712E+03,0.000000E+00,1.458691E-01,0.000000E+00,7.519179E+03,0.000000E+00,3.879862E-01,0.000000E+00
00:45:00,2.538248E+03,0.000000E+00,1.309811E-01,0.000000E+00,3.010531E+03,0.000000E+00,1.553525E-01,0.000000E+00,3.340200E+03,0.000000E+00,1.723634E-01,0.000000E+00,2.947327E+03,0.000000E+00,1.520910E-01,0.000000E+00,7.810405E+03,0.000000E+00,4.030039E-01,0.000000E+00
01:00:00,2.663076E+03,0.000000E+00,1.374205E-01,0.000000E+00,3.129861E+03,0.000000E+00,1.615079E-01,0.000000E+00,3.454600E+03,0.000000E+00,1.782640E-01,0.000000E+00,3.067015E+03,0.000000E+00,1.582650E-01,0.000000E+00,8.096226E+03,0.000000E+00,4.177424E-01,0.000000E+00
01:15:00,2.712867E+03,0.000000E+00,1.399897E-01,0.000000E+00,3.174767E+03,0.000000E+00,1.638251E-01,0.000000E+00,3.496462E+03,0.000000E+00,1.804241E-01,0.000000E+00,3.112647E+03,0.000000E+00,1.606195E-01,0.000000E+00,8.180687E+03,0.000000E+00,4.220991E-01,0.000000E+00
01:30:00,2.762483E+03,0.000000E+00,1.425496E-01,0.000000E+00,3.219575E+03,0.000000E+00,1.661368E-01,0.000000E+00,3.538304E+03,0.000000E+00,1.825829E-01,0.000000E+00,3.158199E+03,0.000000E+00,1.629697E-01,0.000000E+00,8.265507E+03,0.000000E+00,4.264731E-01,0.000000E+00
01:45:00,2.811895E+03,0.000000E+00,1.450989E-01,0.000000E+00,3.264261E+03,0.000000E+00,1.684422E-01,0.000000E+00,3.580103E+03,0.000000E+00,1.847393E-01,0.000000E+00,3.203648E+03,0.000000E+00,1.653144E-01,0.000000E+00,8.350652E+03,0.000000E+00,4.308639E-01,0.000000E+00
02:00:00,2.861061E+03,0.000000E+00,1.476355E-01,0.000000E+00,3.308795E+03,0.000000E+00,1.707397E-01,0.000000E+00,3.621827E+03,0.000000E+00,1.868918E-01,0.000000E+00,3.248958E+03,0.000000E+00,1.676520E-01,0.000000E+00,8.436060E+03,0.000000E+00,4.352686E-01,0.000000E+00
02:15:00,2.910159E+03,0.000000E+00,1.501686E-01,0.000000E+00,3.353364E+03,0.000000E+00,1.730391E-01,0.000000E+00,3.663666E+03,0.000000E+00,1.890504E-01,0.000000E+00,3.294315E+03,0.000000E+00,1.699921E-01,0.000000E+00,8.521653E+03,0.000000E+00,4.396835E-01,0.000000E+00
02:30:00,2.959156E+03,0.000000E+00,1.526966E-01,0.000000E+00,3.397945E+03,0.000000E+00,1.753392E-01,0.000000E+00,3.705599E+03,0.000000E+00,1.912140E-01,0.000000E+00,3.339697E+03,0.000000E+00,1.723336E-01,0.000000E+00,8.607374E+03,0.000000E+00,4.441055E-01,0.000000E+00
02:45:00,3.008016E+03,0.000000E+00,1.552176E-01,0.000000E+00,3.442515E+03,0.000000E+00,1.776388E-01,0.000000E+00,3.747604E+03,0.000000E+00,1.933814E-01,0.000000E+00,3.385078E+03,0.000000E+00,1.746751E-01,0.000000E+00,8.693169E+03,0.000000E+00,4.485314E-01,0.000000E+00
03:00:00,3.056697E+03,0.000000E+00,1.577293E-01,0.000000E+00,3.487048E+03,0.000000E+00,1.799365E-01,0.000000E+00,3.789663E+03,0.000000E+00,1.955516E-01,0.000000E+00,3.430437E+03,0.000000E+00,1.770155E-01,0.000000E+00,8.778999E+03,0.000000E+00,4.529593E-01,0.000000E+00
03:15:00,3.105034E+03,0.000000E+00,1.602233E-01,0.000000E+00,3.531405E+03,0.000000E+00,1.822252E-01,0.000000E+00,3.831648E+03,0.000000E+00,1.977180E-01,0.000000E+00,3.475643E+03,0.000000E+00,1.793479E-01,0.000000E+00,8.864826E+03,0.000000E+00,4.573869E-01,0.000000E+00
03:30:00,3.152840E+03,0.000000E+00,1.626899E-01,0.000000E+00,3.575543E+03,0.000000E+00,1.845025E-01,0.000000E+00,3.873548E+03,0.000000E+00,1.998800E-01,0.000000E+00,3.520676E+03,0.000000E+00,1.816715E-01,0.000000E+00,8.950634E+03,0.000000E+00,4.618136E-01,0.000000E+00
03:45:00,3.200480E+03,0.000000E+00,1.651478E-01,0.000000E+00,3.619417E+03,0.000000E+00,1.867661E-01,0.000000E+00,3.915356E+03,0.000000E+00,2.020371E-01,0.000000E+00,3.565521E+03,0.000000E+00,1.839852E-01,0.000000E+00,9.036408E+03,0.000000E+00,4.662381E-01,0.000000E+00
04:00:00,3.247979E+03,0.000000E+00,1.675983E-01,0.000000E+00,3.663119E+03,0.000000E+00,1.890205E-01,0.000000E+00,3.957071E+03,0.000000E+00,2.041894E-01,0.000000E+00,3.610152E+03,0.000000E+00,1.862878E-01,0.000000E+00,9.122150E+03,0.000000E+00,4.706603E-01,0.000000E+00
04:15:00,3.295436E+03,0.000000E+00,1.700466E-01,0.000000E+00,3.706685E+03,0.000000E+00,1.912679E-01,0.000000E+00,3.998696E+03,0.000000E+00,2.063368E-01,0.000000E+00,3.654485E+03,0.000000E+00,1.885748E-01,0.000000E+00,9.207880E+03,0.000000E+00,4.750813E-01,0.000000E+00
04:30:00,3.343080E+03,0.000000E+00,1.725046E-01,0.000000E+00,3.750170E+03,0.000000E+00,1.935110E-01,0.000000E+00,4.040233E+03,0.000000E+00,2.084795E-01,0.000000E+00,3.698632E+03,0.000000E+00,1.908519E-01,0.000000E+00,9.293600E+03,0.000000E+00,4.795011E-01,0.000000E+00
04:45:00,3.390599E+03,0.000000E+00,1.749562E-01,0.000000E+00,3.793634E+03,0.000000E+00,1.957531E-01,0.000000E+00,4.081680E+03,0.000000E+00,2.106174E-01,0.000000E+00,3.742622E+03,0.000000E+00,1.931209E-01,0.000000E+00,9.379316E+03,0.000000E+00,4.839207E-01,0.000000E+00
05:00:00,3.438030E+03,0.000000E+00,1.774031E-01,0.000000E+00,3.837006E+03,0.000000E+00,1.979905E-01,0.000000E+00,4.123037E+03,0.000000E+00,2.127508E-01,0.000000E+00,3.786496E+03,0.000000E+00,1.953839E-01,0.000000E+00,9.465025E+03,0.000000E+00,4.883400E-01,0.000000E+00
05:15:00,3.485278E+03,0.000000E+00,1.798405E-01,0.000000E+00,3.880203E+03,0.000000E+00,2.002189E-01,0.000000E+00,4.164219E+03,0.000000E+00,2.148751E-01,0.000000E+00,3.830282E+03,0.000000E+00,1.976425E-01,0.000000E+00,9.550321E+03,0.000000E+00,4.927381E-01,0.000000E+00
05:30:00,3.532327E+03,0.000000E+00,1.822677E-01,0.000000E+00,3.923220E+03,0.000000E+00,2.024380E-01,0.000000E+00,4.205224E+03,0.000000E+00,2.169903E-01,0.000000E+00,3.873887E+03,0.000000E+00,1.998921E-01,0.000000E+00,9.635195E+03,0.000000E+00,4.971147E-01,0.000000E+00
05:45:00,3.579165E+03,0.000000E+00,1.846840E-01,0.000000E+00,3.966054E+03,0.000000E+00,2.046477E-01,0.000000E+00,4.246050E+03,0.000000E+00,2.190963E-01,0.000000E+00,3.917309E+03,0.000000E+00,2.021321E-01,0.000000E+00,9.719634E+03,0.000000E+00,5.014689E-01,0.000000E+00
06:00:00,3.625781E+03,0.000000E+00,1.870889E-01,0.000000E+00,4.008699E+03,0.000000E+00,2.068477E-01,0.000000E+00,4.286694E+03,0.000000E+00,2.211930E-01,0.000000E+00,3.960543E+03,0.000000E+00,2.043625E-01,0.000000E+00,9.803629E+03,0.000000E+00,5.058002E-01,0.000000E+00
06:15:00,3.399021E+03,0.000000E+00,1.753877E-01,0.000000E+00,3.778001E+03,0.000000E+00,1.949433E-01,0.000000E+00,4.054028E+03,0.000000E+00,2.091870E-01,0.000000E+00,3.730436E+03,0.000000E+00,1.924887E-01,0.000000E+00,8.291527E+03,0.000000E+00,4.277846E-01,0.000000E+00
