Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.992876E+02,0.000000E+00,4.640805E-02,0.000000E+00,1.368611E+03,0.000000E+00,7.062508E-02,0.000000E+00,1.557842E+03,0.000000E+00,8.039066E-02,0.000000E+00,1.277866E+03,0.000000E+00,6.594144E-02,0.000000E+00,4.863751E+03,0.000000E+00,2.509270E-01,0.000000E+00
00:30:00,1.021678E+03,0.000000E+00,5.272239E-02,0.000000E+00,1.487595E+03,0.000000E+00,7.676363E-02,0.000000E+00,1.675737E+03,0.000000E+00,8.647279E-02,0.000000E+00,1.395197E+03,0.000000E+00,7.199484E-02,0.000000E+00,5.120006E+03,0.000000E+00,2.641250E-01,0.000000E+00
00:45:00,1.142597E+03,0.000000E+00,5.896070E-02,0.000000E+00,1.606554E+03,0.000000E+00,8.290083E-02,0.000000E+00,1.793278E+03,0.000000E+00,9.253669E-02,0.000000E+00,1.512951E+03,0.000000E+00,7.807009E-02,0.000000E+00,5.368183E+03,0.000000E+00,2.769011E-01,0.000000E+00
01:00:00,1.261756E+03,0.000000E+00,6.510801E-02,0.000000E+00,1.725306E+03,0.000000E+00,8.902733E-02,0.000000E+00,1.910328E+03,0.000000E+00,9.857522E-02,0.000000E+00,1.630830E+03,0.000000E+00,8.415166E-02,0.000000E+00,5.610555E+03,0.000000E+00,2.893663E-01,0.000000E+00
01:15:00,1.312174E+03,0.000000E+00,6.770910E-02,0.000000E+00,1.775826E+03,0.000000E+00,9.163427E-02,0.000000E+00,1.959269E+03,0.000000E+00,1.011006E-01,0.000000E+00,1.681772E+03,0.000000E+00,8.678039E-02,0.000000E+00,5.676544E+03,0.000000E+00,2.927563E-01,0.000000E+00
01:30:00,1.361051E+03,0.000000E+00,7.023039E-02,0.000000E+00,1.826529E+03,0.000000E+00,9.425039E-02,0.000000E+00,2.008307E+03,0.000000E+00,1.036307E-01,0.000000E+00,1.733000E+03,0.000000E+00,8.942370E-02,0.000000E+00,5.744664E+03,0.000000E+00,2.962656E-01,0.000000E+00
01:45:00,1.408573E+03,0.000000E+00,7.268137E-02,0.000000E+00,1.877356E+03,0.000000E+00,9.687287E-02,0.000000E+00,2.057396E+03,0.000000E+00,1.061634E-01,0.000000E+00,1.784442E+03,0.000000E+00,9.207793E-02,0.000000E+00,5.815729E+03,0.000000E+00,2.999370E-01,0.000000E+00
02:00:00,1.456328E+03,0.000000E+00,7.514441E-02,0.000000E+00,1.928270E+03,0.000000E+00,9.949981E-02,0.000000E+00,2.106503E+03,0.000000E+00,1.086971E-01,0.000000E+00,1.836047E+03,0.000000E+00,9.474055E-02,0.000000E+00,5.887407E+03,0.000000E+00,3.036550E-01,0.000000E+00
02:15:00,1.504969E+03,0.000000E+00,7.765370E-02,0.000000E+00,1.979320E+03,0.000000E+00,1.021338E-01,0.000000E+00,2.155690E+03,0.000000E+00,1.112349E-01,0.000000E+00,1.887850E+03,0.000000E+00,9.741344E-02,0.000000E+00,5.959155E+03,0.000000E+00,3.073720E-01,0.000000E+00
02:30:00,1.555433E+03,0.000000E+00,8.025745E-02,0.000000E+00,2.030489E+03,0.000000E+00,1.047740E-01,0.000000E+00,2.204949E+03,0.000000E+00,1.137765E-01,0.000000E+00,1.939827E+03,0.000000E+00,1.000953E-01,0.000000E+00,6.031162E+03,0.000000E+00,3.110968E-01,0.000000E+00
