Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.010817E+03,0.000000E+00,1.037661E-01,0.000000E+00,2.434762E+03,0.000000E+00,1.256436E-01,0.000000E+00,2.617386E+03,0.000000E+00,1.350677E-01,0.000000E+00,2.378068E+03,0.000000E+00,1.227179E-01,0.000000E+00,6.155495E+03,0.000000E+00,3.176195E-01,0.000000E+00
00:30:00,2.122326E+03,0.000000E+00,1.095183E-01,0.000000E+00,2.541402E+03,0.000000E+00,1.311443E-01,0.000000E+00,2.720608E+03,0.000000E+00,1.403919E-01,0.000000E+00,2.485005E+03,0.000000E+00,1.282339E-01,0.000000E+00,6.410149E+03,0.000000E+00,3.307501E-01,0.000000E+00
00:45:00,2.232873E+03,0.000000E+00,1.152209E-01,0.000000E+00,2.647108E+03,0.000000E+00,1.365968E-01,0.000000E+00,2.822912E+03,0.000000E+00,1.456686E-01,0.000000E+00,2.591025E+03,0.000000E+00,1.337026E-01,0.000000E+00,6.658604E+03,0.000000E+00,3.435606E-01,0.000000E+00
01:00:00,2.342394E+03,0.000000E+00,1.208705E-01,0.000000E+00,2.751827E+03,0.000000E+00,1.419982E-01,0.000000E+00,2.924244E+03,0.000000E+00,1.508952E-01,0.000000E+00,2.696069E+03,0.000000E+00,1.391210E-01,0.000000E+00,6.900819E+03,0.000000E+00,3.560488E-01,0.000000E+00
01:15:00,2.385006E+03,0.000000E+00,1.230692E-01,0.000000E+00,2.790095E+03,0.000000E+00,1.439728E-01,0.000000E+00,2.960055E+03,0.000000E+00,1.527429E-01,0.000000E+00,2.734967E+03,0.000000E+00,1.411280E-01,0.000000E+00,6.962669E+03,0.000000E+00,3.592386E-01,0.000000E+00
01:30:00,2.427491E+03,0.000000E+00,1.252611E-01,0.000000E+00,2.828293E+03,0.000000E+00,1.459434E-01,0.000000E+00,2.995822E+03,0.000000E+00,1.545881E-01,0.000000E+00,2.773808E+03,0.000000E+00,1.431319E-01,0.000000E+00,7.024728E+03,0.000000E+00,3.624379E-01,0.000000E+00
01:45:00,2.469825E+03,0.000000E+00,1.274451E-01,0.000000E+00,2.866405E+03,0.000000E+00,1.479095E-01,0.000000E+00,3.031530E+03,0.000000E+00,1.564301E-01,0.000000E+00,2.812576E+03,0.000000E+00,1.451318E-01,0.000000E+00,7.086997E+03,0.000000E+00,3.656484E-01,0.000000E+00
02:00:00,2.511978E+03,0.000000E+00,1.296198E-01,0.000000E+00,2.904408E+03,0.000000E+00,1.498700E-01,0.000000E+00,3.067155E+03,0.000000E+00,1.582678E-01,0.000000E+00,2.851242E+03,0.000000E+00,1.471266E-01,0.000000E+00,7.149441E+03,0.000000E+00,3.688683E-01,0.000000E+00
02:15:00,2.554103E+03,0.000000E+00,1.317931E-01,0.000000E+00,2.942464E+03,0.000000E+00,1.518334E-01,0.000000E+00,3.102856E+03,0.000000E+00,1.601096E-01,0.000000E+00,2.889968E+03,0.000000E+00,1.491245E-01,0.000000E+00,7.212013E+03,0.000000E+00,3.720954E-01,0.000000E+00
02:30:00,2.596179E+03,0.000000E+00,1.339640E-01,0.000000E+00,2.980559E+03,0.000000E+00,1.537988E-01,0.000000E+00,3.138617E+03,0.000000E+00,1.619546E-01,0.000000E+00,2.928736E+03,0.000000E+00,1.511247E-01,0.000000E+00,7.274684E+03,0.000000E+00,3.753281E-01,0.000000E+00
