Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.011631E+02,0.000000E+00,4.650488E-02,0.000000E+00,1.374733E+03,0.000000E+00,7.094108E-02,0.000000E+00,1.565416E+03,0.000000E+00,8.078159E-02,0.000000E+00,1.283238E+03,0.000000E+00,6.621874E-02,0.000000E+00,4.860421E+03,0.000000E+00,2.507579E-01,0.000000E+00
00:30:00,1.024806E+03,0.000000E+00,5.288384E-02,0.000000E+00,1.494966E+03,0.000000E+00,7.714406E-02,0.000000E+00,1.684580E+03,0.000000E+00,8.692925E-02,0.000000E+00,1.401802E+03,0.000000E+00,7.233577E-02,0.000000E+00,5.119576E+03,0.000000E+00,2.641065E-01,0.000000E+00
00:45:00,1.146954E+03,0.000000E+00,5.918555E-02,0.000000E+00,1.615165E+03,0.000000E+00,8.334528E-02,0.000000E+00,1.803380E+03,0.000000E+00,9.305810E-02,0.000000E+00,1.520786E+03,0.000000E+00,7.847446E-02,0.000000E+00,5.370454E+03,0.000000E+00,2.770232E-01,0.000000E+00
01:00:00,1.267333E+03,0.000000E+00,6.539586E-02,0.000000E+00,1.735168E+03,0.000000E+00,8.953638E-02,0.000000E+00,1.921697E+03,0.000000E+00,9.916199E-02,0.000000E+00,1.639910E+03,0.000000E+00,8.462031E-02,0.000000E+00,5.615410E+03,0.000000E+00,2.896212E-01,0.000000E+00
01:15:00,1.318300E+03,0.000000E+00,6.802533E-02,0.000000E+00,1.786287E+03,0.000000E+00,9.217418E-02,0.000000E+00,1.971232E+03,0.000000E+00,1.017180E-01,0.000000E+00,1.691452E+03,0.000000E+00,8.728003E-02,0.000000E+00,5.682694E+03,0.000000E+00,2.930765E-01,0.000000E+00
01:30:00,1.367704E+03,0.000000E+00,7.057379E-02,0.000000E+00,1.837617E+03,0.000000E+00,9.482267E-02,0.000000E+00,2.020891E+03,0.000000E+00,1.042802E-01,0.000000E+00,1.743310E+03,0.000000E+00,8.995584E-02,0.000000E+00,5.752157E+03,0.000000E+00,2.966539E-01,0.000000E+00
01:45:00,1.415874E+03,0.000000E+00,7.305822E-02,0.000000E+00,1.889098E+03,0.000000E+00,9.747887E-02,0.000000E+00,2.070625E+03,0.000000E+00,1.068462E-01,0.000000E+00,1.795409E+03,0.000000E+00,9.264399E-02,0.000000E+00,5.824829E+03,0.000000E+00,3.004070E-01,0.000000E+00
02:00:00,1.464304E+03,0.000000E+00,7.555613E-02,0.000000E+00,1.940668E+03,0.000000E+00,1.001397E-01,0.000000E+00,2.120380E+03,0.000000E+00,1.094133E-01,0.000000E+00,1.847675E+03,0.000000E+00,9.534074E-02,0.000000E+00,5.898295E+03,0.000000E+00,3.042177E-01,0.000000E+00
02:15:00,1.513661E+03,0.000000E+00,7.810239E-02,0.000000E+00,1.992376E+03,0.000000E+00,1.028076E-01,0.000000E+00,2.170217E+03,0.000000E+00,1.119847E-01,0.000000E+00,1.900144E+03,0.000000E+00,9.804794E-02,0.000000E+00,5.971826E+03,0.000000E+00,3.080274E-01,0.000000E+00
02:30:00,1.564920E+03,0.000000E+00,8.074722E-02,0.000000E+00,2.044205E+03,0.000000E+00,1.054819E-01,0.000000E+00,2.220127E+03,0.000000E+00,1.145599E-01,0.000000E+00,1.952787E+03,0.000000E+00,1.007643E-01,0.000000E+00,6.045630E+03,0.000000E+00,3.118454E-01,0.000000E+00
