Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.312959E+03,0.000000E+00,1.193559E-01,0.000000E+00,2.733697E+03,0.000000E+00,1.410677E-01,0.000000E+00,2.920519E+03,0.000000E+00,1.507082E-01,0.000000E+00,2.837069E+03,0.000000E+00,1.464018E-01,0.000000E+00,5.794766E+03,0.000000E+00,2.989982E-01,0.000000E+00
00:30:00,2.390540E+03,0.000000E+00,1.233569E-01,0.000000E+00,2.811352E+03,0.000000E+00,1.450723E-01,0.000000E+00,2.996683E+03,0.000000E+00,1.546356E-01,0.000000E+00,2.924223E+03,0.000000E+00,1.508964E-01,0.000000E+00,6.015480E+03,0.000000E+00,3.103767E-01,0.000000E+00
00:45:00,2.467077E+03,0.000000E+00,1.273040E-01,0.000000E+00,2.887968E+03,0.000000E+00,1.490232E-01,0.000000E+00,3.071798E+03,0.000000E+00,1.585088E-01,0.000000E+00,3.010141E+03,0.000000E+00,1.553272E-01,0.000000E+00,6.229395E+03,0.000000E+00,3.214043E-01,0.000000E+00
01:00:00,2.542524E+03,0.000000E+00,1.311949E-01,0.000000E+00,2.963501E+03,0.000000E+00,1.529182E-01,0.000000E+00,3.145815E+03,0.000000E+00,1.623254E-01,0.000000E+00,3.094773E+03,0.000000E+00,1.596916E-01,0.000000E+00,6.436491E+03,0.000000E+00,3.320796E-01,0.000000E+00
01:15:00,2.566114E+03,0.000000E+00,1.324119E-01,0.000000E+00,2.984938E+03,0.000000E+00,1.540241E-01,0.000000E+00,3.165515E+03,0.000000E+00,1.633416E-01,0.000000E+00,3.119815E+03,0.000000E+00,1.609835E-01,0.000000E+00,6.479300E+03,0.000000E+00,3.342866E-01,0.000000E+00
01:30:00,2.589709E+03,0.000000E+00,1.336289E-01,0.000000E+00,3.006418E+03,0.000000E+00,1.551319E-01,0.000000E+00,3.185254E+03,0.000000E+00,1.643594E-01,0.000000E+00,3.144815E+03,0.000000E+00,1.622729E-01,0.000000E+00,6.522232E+03,0.000000E+00,3.364989E-01,0.000000E+00
01:45:00,2.613268E+03,0.000000E+00,1.348439E-01,0.000000E+00,3.027920E+03,0.000000E+00,1.562408E-01,0.000000E+00,3.204999E+03,0.000000E+00,1.653775E-01,0.000000E+00,3.169748E+03,0.000000E+00,1.635588E-01,0.000000E+00,6.565309E+03,0.000000E+00,3.387189E-01,0.000000E+00
02:00:00,2.636761E+03,0.000000E+00,1.360556E-01,0.000000E+00,3.049430E+03,0.000000E+00,1.573502E-01,0.000000E+00,3.224760E+03,0.000000E+00,1.663965E-01,0.000000E+00,3.194600E+03,0.000000E+00,1.648406E-01,0.000000E+00,6.608516E+03,0.000000E+00,3.409461E-01,0.000000E+00
02:15:00,2.660285E+03,0.000000E+00,1.372690E-01,0.000000E+00,3.071093E+03,0.000000E+00,1.584676E-01,0.000000E+00,3.244697E+03,0.000000E+00,1.674247E-01,0.000000E+00,3.219566E+03,0.000000E+00,1.661284E-01,0.000000E+00,6.651827E+03,0.000000E+00,3.431792E-01,0.000000E+00
02:30:00,2.683772E+03,0.000000E+00,1.384806E-01,0.000000E+00,3.092905E+03,0.000000E+00,1.595928E-01,0.000000E+00,3.264814E+03,0.000000E+00,1.684624E-01,0.000000E+00,3.244647E+03,0.000000E+00,1.674223E-01,0.000000E+00,6.695232E+03,0.000000E+00,3.454178E-01,0.000000E+00
02:45:00,2.707311E+03,0.000000E+00,1.396949E-01,0.000000E+00,3.114858E+03,0.000000E+00,1.607255E-01,0.000000E+00,3.285125E+03,0.000000E+00,1.695102E-01,0.000000E+00,3.269838E+03,0.000000E+00,1.687220E-01,0.000000E+00,6.738716E+03,0.000000E+00,3.476604E-01,0.000000E+00
03:00:00,2.730970E+03,0.000000E+00,1.409154E-01,0.000000E+00,3.136946E+03,0.000000E+00,1.618650E-01,0.000000E+00,3.305605E+03,0.000000E+00,1.705669E-01,0.000000E+00,3.295133E+03,0.000000E+00,1.700270E-01,0.000000E+00,6.782274E+03,0.000000E+00,3.499069E-01,0.000000E+00
03:15:00,2.754724E+03,0.000000E+00,1.421410E-01,0.000000E+00,3.159080E+03,0.000000E+00,1.630070E-01,0.000000E+00,3.326160E+03,0.000000E+00,1.716274E-01,0.000000E+00,3.320419E+03,0.000000E+00,1.713316E-01,0.000000E+00,6.825888E+03,0.000000E+00,3.521563E-01,0.000000E+00
03:30:00,2.778656E+03,0.000000E+00,1.433757E-01,0.000000E+00,3.181253E+03,0.000000E+00,1.641510E-01,0.000000E+00,3.346781E+03,0.000000E+00,1.726914E-01,0.000000E+00,3.345686E+03,0.000000E+00,1.726351E-01,0.000000E+00,6.869557E+03,0.000000E+00,3.544084E-01,0.000000E+00
03:45:00,2.802692E+03,0.000000E+00,1.446159E-01,0.000000E+00,3.203458E+03,0.000000E+00,1.652965E-01,0.000000E+00,3.367464E+03,0.000000E+00,1.737584E-01,0.000000E+00,3.370923E+03,0.000000E+00,1.739370E-01,0.000000E+00,6.913271E+03,0.000000E+00,3.566624E-01,0.000000E+00
04:00:00,2.826793E+03,0.000000E+00,1.458593E-01,0.000000E+00,3.225695E+03,0.000000E+00,1.664435E-01,0.000000E+00,3.388205E+03,0.000000E+00,1.748283E-01,0.000000E+00,3.396117E+03,0.000000E+00,1.752365E-01,0.000000E+00,6.957032E+03,0.000000E+00,3.589183E-01,0.000000E+00
04:15:00,2.850954E+03,0.000000E+00,1.471056E-01,0.000000E+00,3.247966E+03,0.000000E+00,1.675921E-01,0.000000E+00,3.409009E+03,0.000000E+00,1.759012E-01,0.000000E+00,3.421260E+03,0.000000E+00,1.765331E-01,0.000000E+00,7.000864E+03,0.000000E+00,3.611771E-01,0.000000E+00
04:30:00,2.875170E+03,0.000000E+00,1.483545E-01,0.000000E+00,3.270273E+03,0.000000E+00,1.687423E-01,0.000000E+00,3.429876E+03,0.000000E+00,1.769772E-01,0.000000E+00,3.446390E+03,0.000000E+00,1.778289E-01,0.000000E+00,7.044768E+03,0.000000E+00,3.634391E-01,0.000000E+00
04:45:00,2.899437E+03,0.000000E+00,1.496061E-01,0.000000E+00,3.292615E+03,0.000000E+00,1.698944E-01,0.000000E+00,3.450806E+03,0.000000E+00,1.780563E-01,0.000000E+00,3.471522E+03,0.000000E+00,1.791247E-01,0.000000E+00,7.088757E+03,0.000000E+00,3.657056E-01,0.000000E+00
05:00:00,2.923751E+03,0.000000E+00,1.508600E-01,0.000000E+00,3.314992E+03,0.000000E+00,1.710482E-01,0.000000E+00,3.471798E+03,0.000000E+00,1.791388E-01,0.000000E+00,3.496674E+03,0.000000E+00,1.804217E-01,0.000000E+00,7.132829E+03,0.000000E+00,3.679764E-01,0.000000E+00
