Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.391537E+02,0.000000E+00,4.847375E-02,0.000000E+00,7.630988E+02,0.000000E+00,3.938002E-02,0.000000E+00,9.608788E+02,0.000000E+00,4.958413E-02,0.000000E+00,8.163777E+02,0.000000E+00,4.212931E-02,0.000000E+00,4.394243E+03,0.000000E+00,2.267395E-01,0.000000E+00
00:30:00,1.021306E+03,0.000000E+00,5.271654E-02,0.000000E+00,8.620484E+02,0.000000E+00,4.448484E-02,0.000000E+00,1.048288E+03,0.000000E+00,5.409239E-02,0.000000E+00,9.260823E+02,0.000000E+00,4.778895E-02,0.000000E+00,4.628791E+03,0.000000E+00,2.388335E-01,0.000000E+00
00:45:00,1.073900E+03,0.000000E+00,5.543359E-02,0.000000E+00,9.580013E+02,0.000000E+00,4.943490E-02,0.000000E+00,1.132326E+03,0.000000E+00,5.842653E-02,0.000000E+00,1.032264E+03,0.000000E+00,5.326665E-02,0.000000E+00,4.856053E+03,0.000000E+00,2.505512E-01,0.000000E+00
01:00:00,1.123173E+03,0.000000E+00,5.797912E-02,0.000000E+00,1.050728E+03,0.000000E+00,5.421833E-02,0.000000E+00,1.212233E+03,0.000000E+00,6.254720E-02,0.000000E+00,1.134664E+03,0.000000E+00,5.854898E-02,0.000000E+00,5.075945E+03,0.000000E+00,2.618882E-01,0.000000E+00
01:15:00,1.116494E+03,0.000000E+00,5.763432E-02,0.000000E+00,1.083537E+03,0.000000E+00,5.591067E-02,0.000000E+00,1.237179E+03,0.000000E+00,6.383295E-02,0.000000E+00,1.171313E+03,0.000000E+00,6.043936E-02,0.000000E+00,5.127874E+03,0.000000E+00,2.645652E-01,0.000000E+00
01:30:00,1.107059E+03,0.000000E+00,5.714709E-02,0.000000E+00,1.114513E+03,0.000000E+00,5.750816E-02,0.000000E+00,1.263687E+03,0.000000E+00,6.519949E-02,0.000000E+00,1.205871E+03,0.000000E+00,6.222157E-02,0.000000E+00,5.179287E+03,0.000000E+00,2.672147E-01,0.000000E+00
01:45:00,1.125616E+03,0.000000E+00,5.810471E-02,0.000000E+00,1.145417E+03,0.000000E+00,5.910186E-02,0.000000E+00,1.292620E+03,0.000000E+00,6.669188E-02,0.000000E+00,1.239802E+03,0.000000E+00,6.397126E-02,0.000000E+00,5.231254E+03,0.000000E+00,2.698930E-01,0.000000E+00
02:00:00,1.145795E+03,0.000000E+00,5.914618E-02,0.000000E+00,1.176823E+03,0.000000E+00,6.072144E-02,0.000000E+00,1.325305E+03,0.000000E+00,6.837846E-02,0.000000E+00,1.273759E+03,0.000000E+00,6.572227E-02,0.000000E+00,5.283948E+03,0.000000E+00,2.726092E-01,0.000000E+00
02:15:00,1.167069E+03,0.000000E+00,6.024416E-02,0.000000E+00,1.209141E+03,0.000000E+00,6.238809E-02,0.000000E+00,1.361743E+03,0.000000E+00,7.025961E-02,0.000000E+00,1.307665E+03,0.000000E+00,6.747057E-02,0.000000E+00,5.337590E+03,0.000000E+00,2.753747E-01,0.000000E+00
02:30:00,1.225192E+03,0.000000E+00,6.324416E-02,0.000000E+00,1.242810E+03,0.000000E+00,6.412431E-02,0.000000E+00,1.399629E+03,0.000000E+00,7.221550E-02,0.000000E+00,1.342712E+03,0.000000E+00,6.927729E-02,0.000000E+00,5.392552E+03,0.000000E+00,2.782088E-01,0.000000E+00
