Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.085889E+02,0.000000E+00,4.688826E-02,0.000000E+00,1.399622E+03,0.000000E+00,7.222574E-02,0.000000E+00,1.596540E+03,0.000000E+00,8.238801E-02,0.000000E+00,1.304918E+03,0.000000E+00,6.733789E-02,0.000000E+00,4.844040E+03,0.000000E+00,2.499224E-01,0.000000E+00
00:30:00,1.037208E+03,0.000000E+00,5.352405E-02,0.000000E+00,1.524805E+03,0.000000E+00,7.868422E-02,0.000000E+00,1.720770E+03,0.000000E+00,8.879712E-02,0.000000E+00,1.428350E+03,0.000000E+00,7.370615E-02,0.000000E+00,5.116079E+03,0.000000E+00,2.639393E-01,0.000000E+00
00:45:00,1.164344E+03,0.000000E+00,6.008323E-02,0.000000E+00,1.650031E+03,0.000000E+00,8.514488E-02,0.000000E+00,1.844693E+03,0.000000E+00,9.519036E-02,0.000000E+00,1.552302E+03,0.000000E+00,8.010122E-02,0.000000E+00,5.380641E+03,0.000000E+00,2.775669E-01,0.000000E+00
01:00:00,1.289609E+03,0.000000E+00,6.654570E-02,0.000000E+00,1.775052E+03,0.000000E+00,9.159490E-02,0.000000E+00,1.968107E+03,0.000000E+00,1.015573E-01,0.000000E+00,1.676409E+03,0.000000E+00,8.650420E-02,0.000000E+00,5.637811E+03,0.000000E+00,2.908069E-01,0.000000E+00
01:15:00,1.343172E+03,0.000000E+00,6.930912E-02,0.000000E+00,1.828908E+03,0.000000E+00,9.437396E-02,0.000000E+00,2.020358E+03,0.000000E+00,1.042535E-01,0.000000E+00,1.730697E+03,0.000000E+00,8.930561E-02,0.000000E+00,5.711357E+03,0.000000E+00,2.945857E-01,0.000000E+00
01:30:00,1.394908E+03,0.000000E+00,7.197801E-02,0.000000E+00,1.882985E+03,0.000000E+00,9.716424E-02,0.000000E+00,2.072740E+03,0.000000E+00,1.069563E-01,0.000000E+00,1.785316E+03,0.000000E+00,9.212392E-02,0.000000E+00,5.786945E+03,0.000000E+00,2.984766E-01,0.000000E+00
01:45:00,1.445829E+03,0.000000E+00,7.460431E-02,0.000000E+00,1.937219E+03,0.000000E+00,9.996254E-02,0.000000E+00,2.125199E+03,0.000000E+00,1.096629E-01,0.000000E+00,1.840187E+03,0.000000E+00,9.495512E-02,0.000000E+00,5.865207E+03,0.000000E+00,3.025135E-01,0.000000E+00
02:00:00,1.497098E+03,0.000000E+00,7.724888E-02,0.000000E+00,1.991544E+03,0.000000E+00,1.027655E-01,0.000000E+00,2.177677E+03,0.000000E+00,1.123705E-01,0.000000E+00,1.895230E+03,0.000000E+00,9.779520E-02,0.000000E+00,5.945912E+03,0.000000E+00,3.066861E-01,0.000000E+00
02:15:00,1.549444E+03,0.000000E+00,7.994947E-02,0.000000E+00,2.046011E+03,0.000000E+00,1.055758E-01,0.000000E+00,2.230240E+03,0.000000E+00,1.150825E-01,0.000000E+00,1.950482E+03,0.000000E+00,1.006461E-01,0.000000E+00,6.027216E+03,0.000000E+00,3.108942E-01,0.000000E+00
02:30:00,1.604030E+03,0.000000E+00,8.276603E-02,0.000000E+00,2.100599E+03,0.000000E+00,1.083925E-01,0.000000E+00,2.282873E+03,0.000000E+00,1.177983E-01,0.000000E+00,2.005913E+03,0.000000E+00,1.035062E-01,0.000000E+00,6.109013E+03,0.000000E+00,3.151242E-01,0.000000E+00
