Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.107291E+03,0.000000E+00,1.087451E-01,0.000000E+00,2.549066E+03,0.000000E+00,1.315427E-01,0.000000E+00,2.741267E+03,0.000000E+00,1.414611E-01,0.000000E+00,2.489809E+03,0.000000E+00,1.284848E-01,0.000000E+00,6.489593E+03,0.000000E+00,3.348626E-01,0.000000E+00
00:30:00,2.224039E+03,0.000000E+00,1.147676E-01,0.000000E+00,2.660734E+03,0.000000E+00,1.373029E-01,0.000000E+00,2.849346E+03,0.000000E+00,1.470359E-01,0.000000E+00,2.601780E+03,0.000000E+00,1.342606E-01,0.000000E+00,6.757023E+03,0.000000E+00,3.486525E-01,0.000000E+00
00:45:00,2.339840E+03,0.000000E+00,1.207413E-01,0.000000E+00,2.771490E+03,0.000000E+00,1.430159E-01,0.000000E+00,2.956528E+03,0.000000E+00,1.525643E-01,0.000000E+00,2.712856E+03,0.000000E+00,1.399902E-01,0.000000E+00,7.018521E+03,0.000000E+00,3.621362E-01,0.000000E+00
01:00:00,2.454624E+03,0.000000E+00,1.266625E-01,0.000000E+00,2.881274E+03,0.000000E+00,1.486788E-01,0.000000E+00,3.062754E+03,0.000000E+00,1.580434E-01,0.000000E+00,2.822974E+03,0.000000E+00,1.456703E-01,0.000000E+00,7.274040E+03,0.000000E+00,3.753110E-01,0.000000E+00
01:15:00,2.499721E+03,0.000000E+00,1.289894E-01,0.000000E+00,2.921846E+03,0.000000E+00,1.507722E-01,0.000000E+00,3.100755E+03,0.000000E+00,1.600041E-01,0.000000E+00,2.864207E+03,0.000000E+00,1.477979E-01,0.000000E+00,7.342768E+03,0.000000E+00,3.788557E-01,0.000000E+00
01:30:00,2.544674E+03,0.000000E+00,1.313087E-01,0.000000E+00,2.962339E+03,0.000000E+00,1.528613E-01,0.000000E+00,3.138703E+03,0.000000E+00,1.619618E-01,0.000000E+00,2.905378E+03,0.000000E+00,1.499219E-01,0.000000E+00,7.411753E+03,0.000000E+00,3.824125E-01,0.000000E+00
01:45:00,2.589459E+03,0.000000E+00,1.336192E-01,0.000000E+00,3.002736E+03,0.000000E+00,1.549453E-01,0.000000E+00,3.176579E+03,0.000000E+00,1.639157E-01,0.000000E+00,2.946465E+03,0.000000E+00,1.520416E-01,0.000000E+00,7.480987E+03,0.000000E+00,3.859823E-01,0.000000E+00
02:00:00,2.634042E+03,0.000000E+00,1.359193E-01,0.000000E+00,3.043012E+03,0.000000E+00,1.570231E-01,0.000000E+00,3.214357E+03,0.000000E+00,1.658645E-01,0.000000E+00,2.987439E+03,0.000000E+00,1.541555E-01,0.000000E+00,7.550425E+03,0.000000E+00,3.895631E-01,0.000000E+00
02:15:00,2.678585E+03,0.000000E+00,1.382174E-01,0.000000E+00,3.083337E+03,0.000000E+00,1.591035E-01,0.000000E+00,3.252202E+03,0.000000E+00,1.678169E-01,0.000000E+00,3.028471E+03,0.000000E+00,1.562723E-01,0.000000E+00,7.620012E+03,0.000000E+00,3.931522E-01,0.000000E+00
02:30:00,2.723064E+03,0.000000E+00,1.405122E-01,0.000000E+00,3.123696E+03,0.000000E+00,1.611858E-01,0.000000E+00,3.290093E+03,0.000000E+00,1.697718E-01,0.000000E+00,3.069541E+03,0.000000E+00,1.583914E-01,0.000000E+00,7.689710E+03,0.000000E+00,3.967475E-01,0.000000E+00
02:45:00,2.767450E+03,0.000000E+00,1.428024E-01,0.000000E+00,3.164072E+03,0.000000E+00,1.632690E-01,0.000000E+00,3.328007E+03,0.000000E+00,1.717279E-01,0.000000E+00,3.110631E+03,0.000000E+00,1.605114E-01,0.000000E+00,7.759480E+03,0.000000E+00,4.003466E-01,0.000000E+00
03:00:00,2.811719E+03,0.000000E+00,1.450865E-01,0.000000E+00,3.204449E+03,0.000000E+00,1.653523E-01,0.000000E+00,3.365915E+03,0.000000E+00,1.736838E-01,0.000000E+00,3.151723E+03,0.000000E+00,1.626316E-01,0.000000E+00,7.829300E+03,0.000000E+00,4.039483E-01,0.000000E+00
03:15:00,2.855744E+03,0.000000E+00,1.473580E-01,0.000000E+00,3.244714E+03,0.000000E+00,1.674299E-01,0.000000E+00,3.403653E+03,0.000000E+00,1.756308E-01,0.000000E+00,3.192704E+03,0.000000E+00,1.647461E-01,0.000000E+00,7.899140E+03,0.000000E+00,4.075510E-01,0.000000E+00
03:30:00,2.899491E+03,0.000000E+00,1.496151E-01,0.000000E+00,3.284857E+03,0.000000E+00,1.695012E-01,0.000000E+00,3.441272E+03,0.000000E+00,1.775716E-01,0.000000E+00,3.233563E+03,0.000000E+00,1.668543E-01,0.000000E+00,7.968989E+03,0.000000E+00,4.111542E-01,0.000000E+00
03:45:00,2.942908E+03,0.000000E+00,1.518552E-01,0.000000E+00,3.324872E+03,0.000000E+00,1.715657E-01,0.000000E+00,3.478791E+03,0.000000E+00,1.795071E-01,0.000000E+00,3.274292E+03,0.000000E+00,1.689557E-01,0.000000E+00,8.038836E+03,0.000000E+00,4.147568E-01,0.000000E+00
04:00:00,2.985943E+03,0.000000E+00,1.540753E-01,0.000000E+00,3.364755E+03,0.000000E+00,1.736233E-01,0.000000E+00,3.516231E+03,0.000000E+00,1.814386E-01,0.000000E+00,3.314889E+03,0.000000E+00,1.710502E-01,0.000000E+00,8.108682E+03,0.000000E+00,4.183588E-01,0.000000E+00
04:15:00,3.028823E+03,0.000000E+00,1.562873E-01,0.000000E+00,3.404509E+03,0.000000E+00,1.756741E-01,0.000000E+00,3.553661E+03,0.000000E+00,1.833694E-01,0.000000E+00,3.355355E+03,0.000000E+00,1.731377E-01,0.000000E+00,8.178549E+03,0.000000E+00,4.219612E-01,0.000000E+00
04:30:00,3.071613E+03,0.000000E+00,1.584947E-01,0.000000E+00,3.444128E+03,0.000000E+00,1.777178E-01,0.000000E+00,3.591035E+03,0.000000E+00,1.852973E-01,0.000000E+00,3.395688E+03,0.000000E+00,1.752183E-01,0.000000E+00,8.248438E+03,0.000000E+00,4.255642E-01,0.000000E+00
04:45:00,3.114411E+03,0.000000E+00,1.607024E-01,0.000000E+00,3.483609E+03,0.000000E+00,1.797542E-01,0.000000E+00,3.628346E+03,0.000000E+00,1.872219E-01,0.000000E+00,3.435886E+03,0.000000E+00,1.772917E-01,0.000000E+00,8.318359E+03,0.000000E+00,4.291689E-01,0.000000E+00
05:00:00,3.157313E+03,0.000000E+00,1.629155E-01,0.000000E+00,3.522941E+03,0.000000E+00,1.817829E-01,0.000000E+00,3.665593E+03,0.000000E+00,1.891432E-01,0.000000E+00,3.475944E+03,0.000000E+00,1.793580E-01,0.000000E+00,8.388307E+03,0.000000E+00,4.327750E-01,0.000000E+00
05:15:00,3.200068E+03,0.000000E+00,1.651212E-01,0.000000E+00,3.562019E+03,0.000000E+00,1.837985E-01,0.000000E+00,3.702694E+03,0.000000E+00,1.910570E-01,0.000000E+00,3.515775E+03,0.000000E+00,1.814125E-01,0.000000E+00,8.457880E+03,0.000000E+00,4.363620E-01,0.000000E+00
05:30:00,3.242667E+03,0.000000E+00,1.673188E-01,0.000000E+00,3.600803E+03,0.000000E+00,1.857990E-01,0.000000E+00,3.739646E+03,0.000000E+00,1.929632E-01,0.000000E+00,3.555370E+03,0.000000E+00,1.834549E-01,0.000000E+00,8.527069E+03,0.000000E+00,4.399294E-01,0.000000E+00
05:45:00,3.285096E+03,0.000000E+00,1.695077E-01,0.000000E+00,3.639368E+03,0.000000E+00,1.877880E-01,0.000000E+00,3.776446E+03,0.000000E+00,1.948614E-01,0.000000E+00,3.594706E+03,0.000000E+00,1.854839E-01,0.000000E+00,8.595863E+03,0.000000E+00,4.434764E-01,0.000000E+00
06:00:00,3.327345E+03,0.000000E+00,1.716872E-01,0.000000E+00,3.677737E+03,0.000000E+00,1.897670E-01,0.000000E+00,3.813091E+03,0.000000E+00,1.967517E-01,0.000000E+00,3.633719E+03,0.000000E+00,1.874962E-01,0.000000E+00,8.664254E+03,0.000000E+00,4.470026E-01,0.000000E+00
06:15:00,3.096444E+03,0.000000E+00,1.597726E-01,0.000000E+00,3.442983E+03,0.000000E+00,1.776534E-01,0.000000E+00,3.576636E+03,0.000000E+00,1.845504E-01,0.000000E+00,3.399540E+03,0.000000E+00,1.754120E-01,0.000000E+00,7.136586E+03,0.000000E+00,3.681866E-01,0.000000E+00
06:30:00,2.862010E+03,0.000000E+00,1.476780E-01,0.000000E+00,3.204781E+03,0.000000E+00,1.653643E-01,0.000000E+00,3.336702E+03,0.000000E+00,1.721720E-01,0.000000E+00,3.161808E+03,0.000000E+00,1.631471E-01,0.000000E+00,5.599739E+03,0.000000E+00,2.889069E-01,0.000000E+00
06:45:00,2.623924E+03,0.000000E+00,1.353975E-01,0.000000E+00,2.962962E+03,0.000000E+00,1.528920E-01,0.000000E+00,3.093185E+03,0.000000E+00,1.596121E-01,0.000000E+00,2.920449E+03,0.000000E+00,1.506982E-01,0.000000E+00,4.052927E+03,0.000000E+00,2.091155E-01,0.000000E+00
07:00:00,2.382082E+03,0.000000E+00,1.229251E-01,0.000000E+00,2.717414E+03,0.000000E+00,1.402295E-01,0.000000E+00,2.845970E+03,0.000000E+00,1.468639E-01,0.000000E+00,2.675431E+03,0.000000E+00,1.380628E-01,0.000000E+00,2.496207E+03,0.000000E+00,1.288147E-01,0.000000E+00
07:15:00,2.409336E+03,0.000000E+00,1.243390E-01,0.000000E+00,2.740987E+03,0.000000E+00,1.414547E-01,0.000000E+00,2.867894E+03,0.000000E+00,1.480044E-01,0.000000E+00,2.699531E+03,0.000000E+00,1.393151E-01,0.000000E+00,2.525563E+03,0.000000E+00,1.303424E-01,0.000000E+00
