Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.711607E+02,0.000000E+00,4.495574E-02,0.000000E+00,1.267446E+03,0.000000E+00,6.540313E-02,0.000000E+00,1.431646E+03,0.000000E+00,7.387704E-02,0.000000E+00,1.190264E+03,0.000000E+00,6.141929E-02,0.000000E+00,4.889218E+03,0.000000E+00,2.521649E-01,0.000000E+00
00:30:00,9.733122E+02,0.000000E+00,5.022546E-02,0.000000E+00,1.366431E+03,0.000000E+00,7.050956E-02,0.000000E+00,1.529280E+03,0.000000E+00,7.891363E-02,0.000000E+00,1.287788E+03,0.000000E+00,6.645052E-02,0.000000E+00,5.112167E+03,0.000000E+00,2.636207E-01,0.000000E+00
00:45:00,1.073946E+03,0.000000E+00,5.541677E-02,0.000000E+00,1.465053E+03,0.000000E+00,7.559726E-02,0.000000E+00,1.626306E+03,0.000000E+00,8.391879E-02,0.000000E+00,1.385310E+03,0.000000E+00,7.148160E-02,0.000000E+00,5.329092E+03,0.000000E+00,2.747636E-01,0.000000E+00
01:00:00,1.172883E+03,0.000000E+00,6.052034E-02,0.000000E+00,1.563196E+03,0.000000E+00,8.066022E-02,0.000000E+00,1.722635E+03,0.000000E+00,8.888795E-02,0.000000E+00,1.482600E+03,0.000000E+00,7.650067E-02,0.000000E+00,5.540455E+03,0.000000E+00,2.856296E-01,0.000000E+00
01:15:00,1.212886E+03,0.000000E+00,6.258391E-02,0.000000E+00,1.602649E+03,0.000000E+00,8.269595E-02,0.000000E+00,1.760686E+03,0.000000E+00,9.085132E-02,0.000000E+00,1.522427E+03,0.000000E+00,7.855578E-02,0.000000E+00,5.590205E+03,0.000000E+00,2.882038E-01,0.000000E+00
01:30:00,1.252056E+03,0.000000E+00,6.460425E-02,0.000000E+00,1.642265E+03,0.000000E+00,8.473993E-02,0.000000E+00,1.798832E+03,0.000000E+00,9.281939E-02,0.000000E+00,1.562500E+03,0.000000E+00,8.062342E-02,0.000000E+00,5.640875E+03,0.000000E+00,2.908397E-01,0.000000E+00
01:45:00,1.289847E+03,0.000000E+00,6.655312E-02,0.000000E+00,1.682006E+03,0.000000E+00,8.679027E-02,0.000000E+00,1.837043E+03,0.000000E+00,9.479068E-02,0.000000E+00,1.602770E+03,0.000000E+00,8.270107E-02,0.000000E+00,5.691455E+03,0.000000E+00,2.934789E-01,0.000000E+00
02:00:00,1.326493E+03,0.000000E+00,6.844241E-02,0.000000E+00,1.721830E+03,0.000000E+00,8.884491E-02,0.000000E+00,1.875281E+03,0.000000E+00,9.676341E-02,0.000000E+00,1.643183E+03,0.000000E+00,8.478619E-02,0.000000E+00,5.741442E+03,0.000000E+00,2.960819E-01,0.000000E+00
02:15:00,1.363473E+03,0.000000E+00,7.034918E-02,0.000000E+00,1.761840E+03,0.000000E+00,9.090921E-02,0.000000E+00,1.913654E+03,0.000000E+00,9.874321E-02,0.000000E+00,1.683835E+03,0.000000E+00,8.688364E-02,0.000000E+00,5.791091E+03,0.000000E+00,2.986577E-01,0.000000E+00
02:30:00,1.401288E+03,0.000000E+00,7.229969E-02,0.000000E+00,1.802006E+03,0.000000E+00,9.298159E-02,0.000000E+00,1.952138E+03,0.000000E+00,1.007288E-01,0.000000E+00,1.724688E+03,0.000000E+00,8.899149E-02,0.000000E+00,5.840678E+03,0.000000E+00,3.012243E-01,0.000000E+00
