,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,880.79,0.00,1503.29,0.00,62.61,0.00,798.64,0.00,0.00,0.00,0.00,0.00,0.00
February,801.10,0.00,1341.60,0.00,18.00,0.00,131.79,104.47,0.00,0.00,0.00,0.00,0.00
March,919.04,0.00,1511.25,0.00,66.04,0.00,9.98,927.02,0.00,0.00,0.00,0.00,0.00
April,804.81,0.00,1394.23,0.00,166.76,0.00,0.00,2523.25,0.00,0.00,0.00,0.00,0.00
May,919.04,0.00,1511.25,0.00,268.98,0.00,0.00,4192.73,0.00,0.00,0.00,0.00,0.00
June,879.73,0.00,1454.70,0.00,287.76,0.00,0.00,4470.40,0.00,0.00,0.00,0.00,0.00
July,844.12,0.00,1450.79,0.00,227.63,0.00,0.00,3381.13,0.00,0.00,0.00,0.00,0.00
August,919.04,0.00,1511.25,0.00,229.42,0.00,0.00,3377.10,0.00,0.00,0.00,0.00,0.00
September,843.06,0.00,1402.20,0.00,209.92,0.00,0.00,3106.18,0.00,0.00,0.00,0.00,0.00
October,880.79,0.00,1503.29,0.00,111.96,0.00,0.00,1606.05,0.00,0.00,0.00,0.00,0.00
November,879.73,0.00,1454.70,0.00,24.88,0.00,22.19,330.51,0.00,0.00,0.00,0.00,0.00
December,844.12,0.00,1450.79,0.00,42.72,0.00,558.79,5.06,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,10415.35,,17489.33,,1716.68,,1521.39,24023.90,,,,,
Minimum of Months,801.10,0.00,1341.60,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,919.04,0.00,1511.25,0.00,287.76,0.00,798.64,4470.40,0.00,0.00,0.00,0.00,0.00
