Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.820868E+03,0.000000E+00,9.396606E-02,0.000000E+00,2.232543E+03,0.000000E+00,1.152105E-01,0.000000E+00,2.450064E+03,0.000000E+00,1.264358E-01,0.000000E+00,2.197565E+03,0.000000E+00,1.134055E-01,0.000000E+00,7.006290E+03,0.000000E+00,3.615311E-01,0.000000E+00
00:30:00,1.920620E+03,0.000000E+00,9.911198E-02,0.000000E+00,2.330477E+03,0.000000E+00,1.202624E-01,0.000000E+00,2.545671E+03,0.000000E+00,1.313674E-01,0.000000E+00,2.294292E+03,0.000000E+00,1.183951E-01,0.000000E+00,7.297185E+03,0.000000E+00,3.765321E-01,0.000000E+00
00:45:00,2.019936E+03,0.000000E+00,1.042354E-01,0.000000E+00,2.427967E+03,0.000000E+00,1.252913E-01,0.000000E+00,2.640843E+03,0.000000E+00,1.362766E-01,0.000000E+00,2.390635E+03,0.000000E+00,1.233649E-01,0.000000E+00,7.582842E+03,0.000000E+00,3.912627E-01,0.000000E+00
01:00:00,2.118757E+03,0.000000E+00,1.093333E-01,0.000000E+00,2.524968E+03,0.000000E+00,1.302950E-01,0.000000E+00,2.735534E+03,0.000000E+00,1.411609E-01,0.000000E+00,2.486542E+03,0.000000E+00,1.283121E-01,0.000000E+00,7.863194E+03,0.000000E+00,4.057192E-01,0.000000E+00
01:15:00,2.158269E+03,0.000000E+00,1.113721E-01,0.000000E+00,2.562423E+03,0.000000E+00,1.322277E-01,0.000000E+00,2.771373E+03,0.000000E+00,1.430102E-01,0.000000E+00,2.523801E+03,0.000000E+00,1.302347E-01,0.000000E+00,7.945622E+03,0.000000E+00,4.099711E-01,0.000000E+00
01:30:00,2.197938E+03,0.000000E+00,1.134188E-01,0.000000E+00,2.600048E+03,0.000000E+00,1.341690E-01,0.000000E+00,2.807389E+03,0.000000E+00,1.448684E-01,0.000000E+00,2.561278E+03,0.000000E+00,1.321683E-01,0.000000E+00,8.028565E+03,0.000000E+00,4.142484E-01,0.000000E+00
01:45:00,2.237724E+03,0.000000E+00,1.154715E-01,0.000000E+00,2.637811E+03,0.000000E+00,1.361172E-01,0.000000E+00,2.843553E+03,0.000000E+00,1.467341E-01,0.000000E+00,2.598937E+03,0.000000E+00,1.341112E-01,0.000000E+00,8.111986E+03,0.000000E+00,4.185503E-01,0.000000E+00
02:00:00,2.277581E+03,0.000000E+00,1.175278E-01,0.000000E+00,2.675677E+03,0.000000E+00,1.380708E-01,0.000000E+00,2.879828E+03,0.000000E+00,1.486055E-01,0.000000E+00,2.636737E+03,0.000000E+00,1.360614E-01,0.000000E+00,8.195819E+03,0.000000E+00,4.228739E-01,0.000000E+00
02:15:00,2.317560E+03,0.000000E+00,1.195905E-01,0.000000E+00,2.713709E+03,0.000000E+00,1.400330E-01,0.000000E+00,2.916275E+03,0.000000E+00,1.504859E-01,0.000000E+00,2.674738E+03,0.000000E+00,1.380220E-01,0.000000E+00,8.279984E+03,0.000000E+00,4.272150E-01,0.000000E+00
02:30:00,2.357620E+03,0.000000E+00,1.216574E-01,0.000000E+00,2.751876E+03,0.000000E+00,1.420023E-01,0.000000E+00,2.952863E+03,0.000000E+00,1.523737E-01,0.000000E+00,2.712903E+03,0.000000E+00,1.399911E-01,0.000000E+00,8.364418E+03,0.000000E+00,4.315706E-01,0.000000E+00
02:45:00,2.397719E+03,0.000000E+00,1.237263E-01,0.000000E+00,2.790147E+03,0.000000E+00,1.439769E-01,0.000000E+00,2.989562E+03,0.000000E+00,1.542672E-01,0.000000E+00,2.751200E+03,0.000000E+00,1.419671E-01,0.000000E+00,8.449059E+03,0.000000E+00,4.359370E-01,0.000000E+00
03:00:00,2.437819E+03,0.000000E+00,1.257953E-01,0.000000E+00,2.828497E+03,0.000000E+00,1.459557E-01,0.000000E+00,3.026344E+03,0.000000E+00,1.561651E-01,0.000000E+00,2.789599E+03,0.000000E+00,1.439484E-01,0.000000E+00,8.533861E+03,0.000000E+00,4.403119E-01,0.000000E+00
03:15:00,2.477830E+03,0.000000E+00,1.278597E-01,0.000000E+00,2.866852E+03,0.000000E+00,1.479347E-01,0.000000E+00,3.063135E+03,0.000000E+00,1.580634E-01,0.000000E+00,2.828024E+03,0.000000E+00,1.459311E-01,0.000000E+00,8.618775E+03,0.000000E+00,4.446924E-01,0.000000E+00
03:30:00,2.517712E+03,0.000000E+00,1.299175E-01,0.000000E+00,2.905194E+03,0.000000E+00,1.499131E-01,0.000000E+00,3.099919E+03,0.000000E+00,1.599614E-01,0.000000E+00,2.866456E+03,0.000000E+00,1.479141E-01,0.000000E+00,8.703775E+03,0.000000E+00,4.490774E-01,0.000000E+00
03:45:00,2.557420E+03,0.000000E+00,1.319662E-01,0.000000E+00,2.943513E+03,0.000000E+00,1.518902E-01,0.000000E+00,3.136684E+03,0.000000E+00,1.618583E-01,0.000000E+00,2.904882E+03,0.000000E+00,1.498968E-01,0.000000E+00,8.788838E+03,0.000000E+00,4.534652E-01,0.000000E+00
04:00:00,2.596876E+03,0.000000E+00,1.340018E-01,0.000000E+00,2.981801E+03,0.000000E+00,1.538657E-01,0.000000E+00,3.173422E+03,0.000000E+00,1.637537E-01,0.000000E+00,2.943292E+03,0.000000E+00,1.518785E-01,0.000000E+00,8.873956E+03,0.000000E+00,4.578553E-01,0.000000E+00
04:15:00,2.636070E+03,0.000000E+00,1.360238E-01,0.000000E+00,3.020057E+03,0.000000E+00,1.558394E-01,0.000000E+00,3.210132E+03,0.000000E+00,1.656476E-01,0.000000E+00,2.981685E+03,0.000000E+00,1.538593E-01,0.000000E+00,8.959145E+03,0.000000E+00,4.622485E-01,0.000000E+00
04:30:00,2.675251E+03,0.000000E+00,1.380449E-01,0.000000E+00,3.058279E+03,0.000000E+00,1.578111E-01,0.000000E+00,3.246811E+03,0.000000E+00,1.675397E-01,0.000000E+00,3.020055E+03,0.000000E+00,1.558387E-01,0.000000E+00,9.044402E+03,0.000000E+00,4.666446E-01,0.000000E+00
04:45:00,2.714509E+03,0.000000E+00,1.400700E-01,0.000000E+00,3.096462E+03,0.000000E+00,1.597808E-01,0.000000E+00,3.283456E+03,0.000000E+00,1.694300E-01,0.000000E+00,3.058399E+03,0.000000E+00,1.578167E-01,0.000000E+00,9.129732E+03,0.000000E+00,4.710443E-01,0.000000E+00
05:00:00,2.753969E+03,0.000000E+00,1.421057E-01,0.000000E+00,3.134604E+03,0.000000E+00,1.617484E-01,0.000000E+00,3.320063E+03,0.000000E+00,1.713183E-01,0.000000E+00,3.096711E+03,0.000000E+00,1.597930E-01,0.000000E+00,9.215127E+03,0.000000E+00,4.754475E-01,0.000000E+00
05:15:00,2.793626E+03,0.000000E+00,1.441516E-01,0.000000E+00,3.172626E+03,0.000000E+00,1.637098E-01,0.000000E+00,3.356554E+03,0.000000E+00,1.732007E-01,0.000000E+00,3.134913E+03,0.000000E+00,1.617637E-01,0.000000E+00,9.300181E+03,0.000000E+00,4.798332E-01,0.000000E+00
