Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,6.316159E+02,0.000000E+00,3.259540E-02,0.000000E+00,9.425768E+02,0.000000E+00,4.863689E-02,0.000000E+00,1.074332E+03,0.000000E+00,5.543812E-02,0.000000E+00,9.218571E+02,0.000000E+00,4.756826E-02,0.000000E+00,4.862294E+03,0.000000E+00,2.508211E-01,0.000000E+00
00:30:00,7.129797E+02,0.000000E+00,3.679330E-02,0.000000E+00,1.013958E+03,0.000000E+00,5.231902E-02,0.000000E+00,1.149566E+03,0.000000E+00,5.931915E-02,0.000000E+00,9.911962E+02,0.000000E+00,5.114454E-02,0.000000E+00,5.083173E+03,0.000000E+00,2.621972E-01,0.000000E+00
00:45:00,7.938798E+02,0.000000E+00,4.096719E-02,0.000000E+00,1.085999E+03,0.000000E+00,5.603547E-02,0.000000E+00,1.224577E+03,0.000000E+00,6.318862E-02,0.000000E+00,1.060504E+03,0.000000E+00,5.471938E-02,0.000000E+00,5.297234E+03,0.000000E+00,2.732206E-01,0.000000E+00
01:00:00,8.741665E+02,0.000000E+00,4.510932E-02,0.000000E+00,1.158243E+03,0.000000E+00,5.976271E-02,0.000000E+00,1.299272E+03,0.000000E+00,6.704179E-02,0.000000E+00,1.129846E+03,0.000000E+00,5.829610E-02,0.000000E+00,5.504423E+03,0.000000E+00,2.838884E-01,0.000000E+00
01:15:00,9.067197E+02,0.000000E+00,4.678882E-02,0.000000E+00,1.186837E+03,0.000000E+00,6.123825E-02,0.000000E+00,1.328505E+03,0.000000E+00,6.855022E-02,0.000000E+00,1.157729E+03,0.000000E+00,5.973526E-02,0.000000E+00,5.549359E+03,0.000000E+00,2.862003E-01,0.000000E+00
01:30:00,9.393502E+02,0.000000E+00,4.847219E-02,0.000000E+00,1.215918E+03,0.000000E+00,6.273874E-02,0.000000E+00,1.358065E+03,0.000000E+00,7.007528E-02,0.000000E+00,1.186172E+03,0.000000E+00,6.120292E-02,0.000000E+00,5.594392E+03,0.000000E+00,2.885151E-01,0.000000E+00
01:45:00,9.719789E+02,0.000000E+00,5.015539E-02,0.000000E+00,1.245465E+03,0.000000E+00,6.426325E-02,0.000000E+00,1.387911E+03,0.000000E+00,7.161510E-02,0.000000E+00,1.215125E+03,0.000000E+00,6.269686E-02,0.000000E+00,5.639482E+03,0.000000E+00,2.908328E-01,0.000000E+00
02:00:00,1.004522E+03,0.000000E+00,5.183413E-02,0.000000E+00,1.275428E+03,0.000000E+00,6.580926E-02,0.000000E+00,1.418004E+03,0.000000E+00,7.316764E-02,0.000000E+00,1.244553E+03,0.000000E+00,6.421531E-02,0.000000E+00,5.684599E+03,0.000000E+00,2.931519E-01,0.000000E+00
02:15:00,1.036944E+03,0.000000E+00,5.350659E-02,0.000000E+00,1.305783E+03,0.000000E+00,6.737551E-02,0.000000E+00,1.448365E+03,0.000000E+00,7.473405E-02,0.000000E+00,1.274495E+03,0.000000E+00,6.576030E-02,0.000000E+00,5.729695E+03,0.000000E+00,2.954697E-01,0.000000E+00
02:30:00,1.069143E+03,0.000000E+00,5.516747E-02,0.000000E+00,1.336484E+03,0.000000E+00,6.895966E-02,0.000000E+00,1.478958E+03,0.000000E+00,7.631254E-02,0.000000E+00,1.304842E+03,0.000000E+00,6.732628E-02,0.000000E+00,5.774732E+03,0.000000E+00,2.977844E-01,0.000000E+00
02:45:00,1.101152E+03,0.000000E+00,5.681847E-02,0.000000E+00,1.367491E+03,0.000000E+00,7.055958E-02,0.000000E+00,1.509753E+03,0.000000E+00,7.790141E-02,0.000000E+00,1.335549E+03,0.000000E+00,6.891080E-02,0.000000E+00,5.819677E+03,0.000000E+00,3.000929E-01,0.000000E+00
03:00:00,1.132964E+03,0.000000E+00,5.845934E-02,0.000000E+00,1.398765E+03,0.000000E+00,7.217330E-02,0.000000E+00,1.540719E+03,0.000000E+00,7.949915E-02,0.000000E+00,1.366573E+03,0.000000E+00,7.051168E-02,0.000000E+00,5.864481E+03,0.000000E+00,3.023925E-01,0.000000E+00
03:15:00,1.164568E+03,0.000000E+00,6.008946E-02,0.000000E+00,1.430239E+03,0.000000E+00,7.379736E-02,0.000000E+00,1.571797E+03,0.000000E+00,8.110271E-02,0.000000E+00,1.397842E+03,0.000000E+00,7.212520E-02,0.000000E+00,5.909072E+03,0.000000E+00,3.046789E-01,0.000000E+00
03:30:00,1.195960E+03,0.000000E+00,6.170859E-02,0.000000E+00,1.461884E+03,0.000000E+00,7.543017E-02,0.000000E+00,1.602967E+03,0.000000E+00,8.271096E-02,0.000000E+00,1.429323E+03,0.000000E+00,7.374959E-02,0.000000E+00,5.953372E+03,0.000000E+00,3.069473E-01,0.000000E+00
03:45:00,1.226977E+03,0.000000E+00,6.330838E-02,0.000000E+00,1.493671E+03,0.000000E+00,7.707029E-02,0.000000E+00,1.634208E+03,0.000000E+00,8.432285E-02,0.000000E+00,1.460983E+03,0.000000E+00,7.538318E-02,0.000000E+00,5.997526E+03,0.000000E+00,3.092029E-01,0.000000E+00
04:00:00,1.257449E+03,0.000000E+00,6.487980E-02,0.000000E+00,1.525578E+03,0.000000E+00,7.871655E-02,0.000000E+00,1.665505E+03,0.000000E+00,8.593754E-02,0.000000E+00,1.492796E+03,0.000000E+00,7.702462E-02,0.000000E+00,6.041426E+03,0.000000E+00,3.114415E-01,0.000000E+00
04:15:00,1.286996E+03,0.000000E+00,6.640322E-02,0.000000E+00,1.557591E+03,0.000000E+00,8.036818E-02,0.000000E+00,1.696848E+03,0.000000E+00,8.755452E-02,0.000000E+00,1.524745E+03,0.000000E+00,7.867296E-02,0.000000E+00,6.085509E+03,0.000000E+00,3.136841E-01,0.000000E+00
04:30:00,1.315846E+03,0.000000E+00,6.789005E-02,0.000000E+00,1.589695E+03,0.000000E+00,8.202435E-02,0.000000E+00,1.728225E+03,0.000000E+00,8.917315E-02,0.000000E+00,1.556810E+03,0.000000E+00,8.032720E-02,0.000000E+00,6.130750E+03,0.000000E+00,3.159868E-01,0.000000E+00
04:45:00,1.344872E+03,0.000000E+00,6.938612E-02,0.000000E+00,1.621874E+03,0.000000E+00,8.368441E-02,0.000000E+00,1.759625E+03,0.000000E+00,9.079296E-02,0.000000E+00,1.588977E+03,0.000000E+00,8.198660E-02,0.000000E+00,6.177806E+03,0.000000E+00,3.184002E-01,0.000000E+00
05:00:00,1.374407E+03,0.000000E+00,7.090908E-02,0.000000E+00,1.654115E+03,0.000000E+00,8.534762E-02,0.000000E+00,1.791039E+03,0.000000E+00,9.241343E-02,0.000000E+00,1.621226E+03,0.000000E+00,8.365030E-02,0.000000E+00,6.226552E+03,0.000000E+00,3.209251E-01,0.000000E+00
05:15:00,1.404916E+03,0.000000E+00,7.248293E-02,0.000000E+00,1.686331E+03,0.000000E+00,8.700955E-02,0.000000E+00,1.822383E+03,0.000000E+00,9.403034E-02,0.000000E+00,1.653471E+03,0.000000E+00,8.531376E-02,0.000000E+00,6.275838E+03,0.000000E+00,3.234995E-01,0.000000E+00
05:30:00,1.436363E+03,0.000000E+00,7.410604E-02,0.000000E+00,1.718506E+03,0.000000E+00,8.866938E-02,0.000000E+00,1.853647E+03,0.000000E+00,9.564312E-02,0.000000E+00,1.685695E+03,0.000000E+00,8.697609E-02,0.000000E+00,6.324592E+03,0.000000E+00,3.260574E-01,0.000000E+00
