,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,357.48,0.00,610.14,0.00,59.59,0.00,790.17,0.00,0.00,0.00,0.00,0.00,0.00
February,325.14,0.00,544.51,0.00,19.16,0.00,211.27,30.47,0.00,0.00,0.00,0.00,0.00
March,373.01,0.00,613.37,0.00,31.33,0.00,52.28,385.96,0.00,0.00,0.00,0.00,0.00
April,326.65,0.00,565.88,0.00,86.13,0.00,0.00,1304.22,0.00,0.00,0.00,0.00,0.00
May,373.01,0.00,613.37,0.00,148.21,0.00,0.00,2306.18,0.00,0.00,0.00,0.00,0.00
June,357.05,0.00,590.42,0.00,159.02,0.00,0.00,2463.17,0.00,0.00,0.00,0.00,0.00
July,342.60,0.00,588.83,0.00,124.56,0.00,0.00,1844.77,0.00,0.00,0.00,0.00,0.00
August,373.01,0.00,613.37,0.00,123.80,0.00,0.00,1816.70,0.00,0.00,0.00,0.00,0.00
September,342.17,0.00,569.11,0.00,112.18,0.00,0.00,1654.85,0.00,0.00,0.00,0.00,0.00
October,357.48,0.00,610.14,0.00,54.03,0.00,0.00,773.99,0.00,0.00,0.00,0.00,0.00
November,357.05,0.00,590.42,0.00,14.04,0.00,68.54,122.04,0.00,0.00,0.00,0.00,0.00
December,342.60,0.00,588.83,0.00,42.04,0.00,562.79,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,4227.28,,7098.39,,974.09,,1685.06,12702.34,,,,,
Minimum of Months,325.14,0.00,544.51,0.00,14.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,373.01,0.00,613.37,0.00,159.02,0.00,790.17,2463.17,0.00,0.00,0.00,0.00,0.00
