Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.370542E+03,0.000000E+00,7.072417E-02,0.000000E+00,1.655717E+03,0.000000E+00,8.544031E-02,0.000000E+00,1.802604E+03,0.000000E+00,9.302037E-02,0.000000E+00,1.632517E+03,0.000000E+00,8.424308E-02,0.000000E+00,5.201251E+03,0.000000E+00,2.683597E-01,0.000000E+00
00:30:00,1.443128E+03,0.000000E+00,7.446823E-02,0.000000E+00,1.727108E+03,0.000000E+00,8.912254E-02,0.000000E+00,1.872343E+03,0.000000E+00,9.661720E-02,0.000000E+00,1.703127E+03,0.000000E+00,8.788500E-02,0.000000E+00,5.422389E+03,0.000000E+00,2.797586E-01,0.000000E+00
00:45:00,1.514961E+03,0.000000E+00,7.817343E-02,0.000000E+00,1.797722E+03,0.000000E+00,9.276464E-02,0.000000E+00,1.941304E+03,0.000000E+00,1.001739E-01,0.000000E+00,1.772994E+03,0.000000E+00,9.148861E-02,0.000000E+00,5.636629E+03,0.000000E+00,2.908015E-01,0.000000E+00
01:00:00,1.586011E+03,0.000000E+00,8.183818E-02,0.000000E+00,1.867534E+03,0.000000E+00,9.636534E-02,0.000000E+00,2.009463E+03,0.000000E+00,1.036892E-01,0.000000E+00,1.842092E+03,0.000000E+00,9.505244E-02,0.000000E+00,5.843955E+03,0.000000E+00,3.014873E-01,0.000000E+00
01:15:00,1.611434E+03,0.000000E+00,8.314986E-02,0.000000E+00,1.891483E+03,0.000000E+00,9.760096E-02,0.000000E+00,2.032244E+03,0.000000E+00,1.048645E-01,0.000000E+00,1.865895E+03,0.000000E+00,9.628053E-02,0.000000E+00,5.888018E+03,0.000000E+00,3.037588E-01,0.000000E+00
01:30:00,1.636982E+03,0.000000E+00,8.446782E-02,0.000000E+00,1.915547E+03,0.000000E+00,9.884231E-02,0.000000E+00,2.055144E+03,0.000000E+00,1.060458E-01,0.000000E+00,1.889843E+03,0.000000E+00,9.751591E-02,0.000000E+00,5.932169E+03,0.000000E+00,3.060336E-01,0.000000E+00
01:45:00,1.662637E+03,0.000000E+00,8.579120E-02,0.000000E+00,1.939713E+03,0.000000E+00,1.000888E-01,0.000000E+00,2.078148E+03,0.000000E+00,1.072324E-01,0.000000E+00,1.913920E+03,0.000000E+00,9.875788E-02,0.000000E+00,5.976435E+03,0.000000E+00,3.083146E-01,0.000000E+00
02:00:00,1.688374E+03,0.000000E+00,8.711888E-02,0.000000E+00,1.963961E+03,0.000000E+00,1.013397E-01,0.000000E+00,2.101239E+03,0.000000E+00,1.084234E-01,0.000000E+00,1.938104E+03,0.000000E+00,1.000054E-01,0.000000E+00,6.020806E+03,0.000000E+00,3.106016E-01,0.000000E+00
02:15:00,1.714232E+03,0.000000E+00,8.845283E-02,0.000000E+00,1.988334E+03,0.000000E+00,1.025971E-01,0.000000E+00,2.124456E+03,0.000000E+00,1.096211E-01,0.000000E+00,1.962434E+03,0.000000E+00,1.012605E-01,0.000000E+00,6.065259E+03,0.000000E+00,3.128934E-01,0.000000E+00
02:30:00,1.740189E+03,0.000000E+00,8.979200E-02,0.000000E+00,2.012816E+03,0.000000E+00,1.038601E-01,0.000000E+00,2.147784E+03,0.000000E+00,1.108247E-01,0.000000E+00,1.986891E+03,0.000000E+00,1.025223E-01,0.000000E+00,6.109784E+03,0.000000E+00,3.151896E-01,0.000000E+00
02:45:00,1.766224E+03,0.000000E+00,9.113526E-02,0.000000E+00,2.037389E+03,0.000000E+00,1.051279E-01,0.000000E+00,2.171205E+03,0.000000E+00,1.120330E-01,0.000000E+00,2.011457E+03,0.000000E+00,1.037897E-01,0.000000E+00,6.154366E+03,0.000000E+00,3.174887E-01,0.000000E+00
03:00:00,1.792321E+03,0.000000E+00,9.248169E-02,0.000000E+00,2.062039E+03,0.000000E+00,1.063997E-01,0.000000E+00,2.194705E+03,0.000000E+00,1.132455E-01,0.000000E+00,2.036115E+03,0.000000E+00,1.050620E-01,0.000000E+00,6.199000E+03,0.000000E+00,3.197905E-01,0.000000E+00
03:15:00,1.818430E+03,0.000000E+00,9.382873E-02,0.000000E+00,2.086720E+03,0.000000E+00,1.076731E-01,0.000000E+00,2.218237E+03,0.000000E+00,1.144596E-01,0.000000E+00,2.060818E+03,0.000000E+00,1.063365E-01,0.000000E+00,6.243669E+03,0.000000E+00,3.220941E-01,0.000000E+00
03:30:00,1.844538E+03,0.000000E+00,9.517572E-02,0.000000E+00,2.111423E+03,0.000000E+00,1.089477E-01,0.000000E+00,2.241792E+03,0.000000E+00,1.156749E-01,0.000000E+00,2.085555E+03,0.000000E+00,1.076128E-01,0.000000E+00,6.288369E+03,0.000000E+00,3.243994E-01,0.000000E+00
03:45:00,1.870633E+03,0.000000E+00,9.652201E-02,0.000000E+00,2.136140E+03,0.000000E+00,1.102229E-01,0.000000E+00,2.265363E+03,0.000000E+00,1.168909E-01,0.000000E+00,2.110318E+03,0.000000E+00,1.088904E-01,0.000000E+00,6.333091E+03,0.000000E+00,3.267052E-01,0.000000E+00
04:00:00,1.896708E+03,0.000000E+00,9.786715E-02,0.000000E+00,2.160867E+03,0.000000E+00,1.114985E-01,0.000000E+00,2.288945E+03,0.000000E+00,1.181075E-01,0.000000E+00,2.135101E+03,0.000000E+00,1.101689E-01,0.000000E+00,6.377835E+03,0.000000E+00,3.290115E-01,0.000000E+00
04:15:00,1.922758E+03,0.000000E+00,9.921092E-02,0.000000E+00,2.185605E+03,0.000000E+00,1.127746E-01,0.000000E+00,2.312540E+03,0.000000E+00,1.193245E-01,0.000000E+00,2.159904E+03,0.000000E+00,1.114483E-01,0.000000E+00,6.422624E+03,0.000000E+00,3.313194E-01,0.000000E+00
