Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.233776E+02,0.000000E+00,4.765186E-02,0.000000E+00,1.464367E+03,0.000000E+00,7.556765E-02,0.000000E+00,1.677461E+03,0.000000E+00,8.656472E-02,0.000000E+00,1.361600E+03,0.000000E+00,7.026370E-02,0.000000E+00,4.785534E+03,0.000000E+00,2.469226E-01,0.000000E+00
00:30:00,1.064837E+03,0.000000E+00,5.495038E-02,0.000000E+00,1.602183E+03,0.000000E+00,8.267807E-02,0.000000E+00,1.814654E+03,0.000000E+00,9.364277E-02,0.000000E+00,1.497372E+03,0.000000E+00,7.726880E-02,0.000000E+00,5.097132E+03,0.000000E+00,2.629862E-01,0.000000E+00
00:45:00,1.204855E+03,0.000000E+00,6.217440E-02,0.000000E+00,1.740227E+03,0.000000E+00,8.980026E-02,0.000000E+00,1.951675E+03,0.000000E+00,1.007120E-01,0.000000E+00,1.633906E+03,0.000000E+00,8.431323E-02,0.000000E+00,5.402161E+03,0.000000E+00,2.787091E-01,0.000000E+00
01:00:00,1.343091E+03,0.000000E+00,6.930635E-02,0.000000E+00,1.878297E+03,0.000000E+00,9.692374E-02,0.000000E+00,2.088379E+03,0.000000E+00,1.077648E-01,0.000000E+00,1.770881E+03,0.000000E+00,9.138031E-02,0.000000E+00,5.699273E+03,0.000000E+00,2.940209E-01,0.000000E+00
01:15:00,1.403545E+03,0.000000E+00,7.242541E-02,0.000000E+00,1.939254E+03,0.000000E+00,1.000692E-01,0.000000E+00,2.147723E+03,0.000000E+00,1.108270E-01,0.000000E+00,1.832289E+03,0.000000E+00,9.454915E-02,0.000000E+00,5.793737E+03,0.000000E+00,2.988823E-01,0.000000E+00
01:30:00,1.461213E+03,0.000000E+00,7.540049E-02,0.000000E+00,2.000457E+03,0.000000E+00,1.032273E-01,0.000000E+00,2.207211E+03,0.000000E+00,1.138966E-01,0.000000E+00,1.894068E+03,0.000000E+00,9.773699E-02,0.000000E+00,5.889989E+03,0.000000E+00,3.038367E-01,0.000000E+00
01:45:00,1.519365E+03,0.000000E+00,7.839980E-02,0.000000E+00,2.061831E+03,0.000000E+00,1.063941E-01,0.000000E+00,2.266781E+03,0.000000E+00,1.169702E-01,0.000000E+00,1.956126E+03,0.000000E+00,1.009391E-01,0.000000E+00,5.988712E+03,0.000000E+00,3.089243E-01,0.000000E+00
02:00:00,1.578019E+03,0.000000E+00,8.142572E-02,0.000000E+00,2.123300E+03,0.000000E+00,1.095658E-01,0.000000E+00,2.326367E+03,0.000000E+00,1.200447E-01,0.000000E+00,2.018370E+03,0.000000E+00,1.041508E-01,0.000000E+00,6.091260E+03,0.000000E+00,3.142150E-01,0.000000E+00
02:15:00,1.638142E+03,0.000000E+00,8.452775E-02,0.000000E+00,2.185004E+03,0.000000E+00,1.127495E-01,0.000000E+00,2.386119E+03,0.000000E+00,1.231277E-01,0.000000E+00,2.080926E+03,0.000000E+00,1.073786E-01,0.000000E+00,6.196953E+03,0.000000E+00,3.196756E-01,0.000000E+00
02:30:00,1.701582E+03,0.000000E+00,8.780134E-02,0.000000E+00,2.246795E+03,0.000000E+00,1.159379E-01,0.000000E+00,2.445905E+03,0.000000E+00,1.262125E-01,0.000000E+00,2.143635E+03,0.000000E+00,1.106143E-01,0.000000E+00,6.303741E+03,0.000000E+00,3.251941E-01,0.000000E+00
02:45:00,1.765393E+03,0.000000E+00,9.109489E-02,0.000000E+00,2.308649E+03,0.000000E+00,1.191295E-01,0.000000E+00,2.505709E+03,0.000000E+00,1.292983E-01,0.000000E+00,2.206462E+03,0.000000E+00,1.138562E-01,0.000000E+00,6.411516E+03,0.000000E+00,3.307608E-01,0.000000E+00
03:00:00,1.829958E+03,0.000000E+00,9.442679E-02,0.000000E+00,2.370547E+03,0.000000E+00,1.223234E-01,0.000000E+00,2.565518E+03,0.000000E+00,1.323845E-01,0.000000E+00,2.269382E+03,0.000000E+00,1.171028E-01,0.000000E+00,6.520214E+03,0.000000E+00,3.363733E-01,0.000000E+00
