Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.303512E+03,0.000000E+00,1.188721E-01,0.000000E+00,2.787314E+03,0.000000E+00,1.438387E-01,0.000000E+00,3.000451E+03,0.000000E+00,1.548375E-01,0.000000E+00,2.722967E+03,0.000000E+00,1.405180E-01,0.000000E+00,7.293918E+03,0.000000E+00,3.763729E-01,0.000000E+00
00:30:00,2.431237E+03,0.000000E+00,1.254611E-01,0.000000E+00,2.909416E+03,0.000000E+00,1.501371E-01,0.000000E+00,3.118562E+03,0.000000E+00,1.609298E-01,0.000000E+00,2.845388E+03,0.000000E+00,1.468331E-01,0.000000E+00,7.593699E+03,0.000000E+00,3.918321E-01,0.000000E+00
00:45:00,2.558040E+03,0.000000E+00,1.320025E-01,0.000000E+00,3.030640E+03,0.000000E+00,1.563904E-01,0.000000E+00,3.235790E+03,0.000000E+00,1.669765E-01,0.000000E+00,2.966957E+03,0.000000E+00,1.531041E-01,0.000000E+00,7.888207E+03,0.000000E+00,4.070191E-01,0.000000E+00
01:00:00,2.683842E+03,0.000000E+00,1.384922E-01,0.000000E+00,3.150922E+03,0.000000E+00,1.625949E-01,0.000000E+00,3.352053E+03,0.000000E+00,1.729734E-01,0.000000E+00,3.087601E+03,0.000000E+00,1.593274E-01,0.000000E+00,8.177370E+03,0.000000E+00,4.219300E-01,0.000000E+00
01:15:00,2.734091E+03,0.000000E+00,1.410850E-01,0.000000E+00,3.196254E+03,0.000000E+00,1.649340E-01,0.000000E+00,3.394450E+03,0.000000E+00,1.751609E-01,0.000000E+00,3.133666E+03,0.000000E+00,1.617043E-01,0.000000E+00,8.263559E+03,0.000000E+00,4.263758E-01,0.000000E+00
01:30:00,2.784162E+03,0.000000E+00,1.436684E-01,0.000000E+00,3.241485E+03,0.000000E+00,1.672676E-01,0.000000E+00,3.436700E+03,0.000000E+00,1.773405E-01,0.000000E+00,3.179649E+03,0.000000E+00,1.640767E-01,0.000000E+00,8.350115E+03,0.000000E+00,4.308395E-01,0.000000E+00
01:45:00,2.834024E+03,0.000000E+00,1.462409E-01,0.000000E+00,3.286592E+03,0.000000E+00,1.695946E-01,0.000000E+00,3.478854E+03,0.000000E+00,1.795149E-01,0.000000E+00,3.225527E+03,0.000000E+00,1.664436E-01,0.000000E+00,8.437005E+03,0.000000E+00,4.353203E-01,0.000000E+00
02:00:00,2.883636E+03,0.000000E+00,1.488005E-01,0.000000E+00,3.331542E+03,0.000000E+00,1.719137E-01,0.000000E+00,3.520907E+03,0.000000E+00,1.816843E-01,0.000000E+00,3.271263E+03,0.000000E+00,1.688031E-01,0.000000E+00,8.524164E+03,0.000000E+00,4.398154E-01,0.000000E+00
02:15:00,2.933176E+03,0.000000E+00,1.513565E-01,0.000000E+00,3.376526E+03,0.000000E+00,1.742344E-01,0.000000E+00,3.563098E+03,0.000000E+00,1.838609E-01,0.000000E+00,3.317045E+03,0.000000E+00,1.711652E-01,0.000000E+00,8.611510E+03,0.000000E+00,4.443207E-01,0.000000E+00
02:30:00,2.982612E+03,0.000000E+00,1.539071E-01,0.000000E+00,3.421518E+03,0.000000E+00,1.765558E-01,0.000000E+00,3.605437E+03,0.000000E+00,1.860454E-01,0.000000E+00,3.362849E+03,0.000000E+00,1.735284E-01,0.000000E+00,8.698987E+03,0.000000E+00,4.488333E-01,0.000000E+00
02:45:00,3.031904E+03,0.000000E+00,1.564504E-01,0.000000E+00,3.466494E+03,0.000000E+00,1.788763E-01,0.000000E+00,3.647855E+03,0.000000E+00,1.882342E-01,0.000000E+00,3.408650E+03,0.000000E+00,1.758916E-01,0.000000E+00,8.786536E+03,0.000000E+00,4.533497E-01,0.000000E+00
03:00:00,3.081011E+03,0.000000E+00,1.589841E-01,0.000000E+00,3.511425E+03,0.000000E+00,1.811946E-01,0.000000E+00,3.690333E+03,0.000000E+00,1.904260E-01,0.000000E+00,3.454426E+03,0.000000E+00,1.782535E-01,0.000000E+00,8.874119E+03,0.000000E+00,4.578680E-01,0.000000E+00
03:15:00,3.129758E+03,0.000000E+00,1.614993E-01,0.000000E+00,3.556166E+03,0.000000E+00,1.835031E-01,0.000000E+00,3.732744E+03,0.000000E+00,1.926144E-01,0.000000E+00,3.500042E+03,0.000000E+00,1.806072E-01,0.000000E+00,8.961695E+03,0.000000E+00,4.623859E-01,0.000000E+00
03:30:00,3.178027E+03,0.000000E+00,1.639897E-01,0.000000E+00,3.600620E+03,0.000000E+00,1.857967E-01,0.000000E+00,3.775075E+03,0.000000E+00,1.947987E-01,0.000000E+00,3.545479E+03,0.000000E+00,1.829515E-01,0.000000E+00,9.049249E+03,0.000000E+00,4.669027E-01,0.000000E+00
03:45:00,3.226100E+03,0.000000E+00,1.664700E-01,0.000000E+00,3.644884E+03,0.000000E+00,1.880802E-01,0.000000E+00,3.817321E+03,0.000000E+00,1.969785E-01,0.000000E+00,3.590714E+03,0.000000E+00,1.852854E-01,0.000000E+00,9.136765E+03,0.000000E+00,4.714171E-01,0.000000E+00
04:00:00,3.274043E+03,0.000000E+00,1.689435E-01,0.000000E+00,3.688988E+03,0.000000E+00,1.903555E-01,0.000000E+00,3.859477E+03,0.000000E+00,1.991535E-01,0.000000E+00,3.635708E+03,0.000000E+00,1.876067E-01,0.000000E+00,9.224245E+03,0.000000E+00,4.759290E-01,0.000000E+00
04:15:00,3.321960E+03,0.000000E+00,1.714156E-01,0.000000E+00,3.732974E+03,0.000000E+00,1.926246E-01,0.000000E+00,3.901548E+03,0.000000E+00,2.013239E-01,0.000000E+00,3.680426E+03,0.000000E+00,1.899135E-01,0.000000E+00,9.311708E+03,0.000000E+00,4.804394E-01,0.000000E+00
04:30:00,3.370016E+03,0.000000E+00,1.738948E-01,0.000000E+00,3.776950E+03,0.000000E+00,1.948931E-01,0.000000E+00,3.943533E+03,0.000000E+00,2.034898E-01,0.000000E+00,3.724967E+03,0.000000E+00,1.922110E-01,0.000000E+00,9.399157E+03,0.000000E+00,4.849485E-01,0.000000E+00
04:45:00,3.417980E+03,0.000000E+00,1.763693E-01,0.000000E+00,3.820838E+03,0.000000E+00,1.971571E-01,0.000000E+00,3.985431E+03,0.000000E+00,2.056510E-01,0.000000E+00,3.769367E+03,0.000000E+00,1.945011E-01,0.000000E+00,9.486599E+03,0.000000E+00,4.894570E-01,0.000000E+00
05:00:00,3.465850E+03,0.000000E+00,1.788389E-01,0.000000E+00,3.864632E+03,0.000000E+00,1.994163E-01,0.000000E+00,4.027241E+03,0.000000E+00,2.078078E-01,0.000000E+00,3.813682E+03,0.000000E+00,1.967870E-01,0.000000E+00,9.574027E+03,0.000000E+00,4.939651E-01,0.000000E+00
05:15:00,3.513533E+03,0.000000E+00,1.812987E-01,0.000000E+00,3.908248E+03,0.000000E+00,2.016663E-01,0.000000E+00,4.068881E+03,0.000000E+00,2.099558E-01,0.000000E+00,3.857893E+03,0.000000E+00,1.990676E-01,0.000000E+00,9.661039E+03,0.000000E+00,4.984518E-01,0.000000E+00
05:30:00,3.561012E+03,0.000000E+00,1.837481E-01,0.000000E+00,3.951682E+03,0.000000E+00,2.039070E-01,0.000000E+00,4.110348E+03,0.000000E+00,2.120948E-01,0.000000E+00,3.901922E+03,0.000000E+00,2.013390E-01,0.000000E+00,9.747624E+03,0.000000E+00,5.029166E-01,0.000000E+00
05:45:00,3.608276E+03,0.000000E+00,1.861864E-01,0.000000E+00,3.994930E+03,0.000000E+00,2.061380E-01,0.000000E+00,4.151638E+03,0.000000E+00,2.142248E-01,0.000000E+00,3.945766E+03,0.000000E+00,2.036008E-01,0.000000E+00,9.833769E+03,0.000000E+00,5.073588E-01,0.000000E+00
06:00:00,3.655314E+03,0.000000E+00,1.886130E-01,0.000000E+00,4.037987E+03,0.000000E+00,2.083592E-01,0.000000E+00,4.192750E+03,0.000000E+00,2.163456E-01,0.000000E+00,3.989419E+03,0.000000E+00,2.058528E-01,0.000000E+00,9.919465E+03,0.000000E+00,5.117778E-01,0.000000E+00
06:15:00,3.428953E+03,0.000000E+00,1.769324E-01,0.000000E+00,3.807681E+03,0.000000E+00,1.964750E-01,0.000000E+00,3.960532E+03,0.000000E+00,2.043627E-01,0.000000E+00,3.759709E+03,0.000000E+00,1.939994E-01,0.000000E+00,8.409059E+03,0.000000E+00,4.338496E-01,0.000000E+00
06:30:00,3.198794E+03,0.000000E+00,1.650581E-01,0.000000E+00,3.573610E+03,0.000000E+00,1.843989E-01,0.000000E+00,3.724589E+03,0.000000E+00,1.921899E-01,0.000000E+00,3.526236E+03,0.000000E+00,1.819542E-01,0.000000E+00,6.889321E+03,0.000000E+00,3.554516E-01,0.000000E+00
06:45:00,2.964715E+03,0.000000E+00,1.529843E-01,0.000000E+00,3.335662E+03,0.000000E+00,1.721261E-01,0.000000E+00,3.484811E+03,0.000000E+00,1.798228E-01,0.000000E+00,3.288884E+03,0.000000E+00,1.697121E-01,0.000000E+00,5.359570E+03,0.000000E+00,2.765407E-01,0.000000E+00
07:00:00,2.726599E+03,0.000000E+00,1.407043E-01,0.000000E+00,3.093715E+03,0.000000E+00,1.596494E-01,0.000000E+00,3.241073E+03,0.000000E+00,1.672541E-01,0.000000E+00,3.047532E+03,0.000000E+00,1.572661E-01,0.000000E+00,3.819803E+03,0.000000E+00,1.971158E-01,0.000000E+00
07:15:00,2.757483E+03,0.000000E+00,1.423059E-01,0.000000E+00,3.120809E+03,0.000000E+00,1.610568E-01,0.000000E+00,3.266398E+03,0.000000E+00,1.685706E-01,0.000000E+00,3.075218E+03,0.000000E+00,1.587038E-01,0.000000E+00,3.865959E+03,0.000000E+00,1.995151E-01,0.000000E+00
