Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.326010E+02,0.000000E+00,4.812799E-02,0.000000E+00,1.492601E+03,0.000000E+00,7.702502E-02,0.000000E+00,1.712379E+03,0.000000E+00,8.836698E-02,0.000000E+00,1.386348E+03,0.000000E+00,7.154113E-02,0.000000E+00,4.752645E+03,0.000000E+00,2.452321E-01,0.000000E+00
00:30:00,1.079780E+03,0.000000E+00,5.572169E-02,0.000000E+00,1.636116E+03,0.000000E+00,8.442952E-02,0.000000E+00,1.855391E+03,0.000000E+00,9.574537E-02,0.000000E+00,1.527675E+03,0.000000E+00,7.883294E-02,0.000000E+00,5.084950E+03,0.000000E+00,2.623658E-01,0.000000E+00
00:45:00,1.225535E+03,0.000000E+00,6.324178E-02,0.000000E+00,1.779948E+03,0.000000E+00,9.185037E-02,0.000000E+00,1.998298E+03,0.000000E+00,1.031183E-01,0.000000E+00,1.669882E+03,0.000000E+00,8.617011E-02,0.000000E+00,5.410947E+03,0.000000E+00,2.791727E-01,0.000000E+00
01:00:00,1.369501E+03,0.000000E+00,7.066945E-02,0.000000E+00,1.923879E+03,0.000000E+00,9.927634E-02,0.000000E+00,2.140943E+03,0.000000E+00,1.104777E-01,0.000000E+00,1.812632E+03,0.000000E+00,9.353521E-02,0.000000E+00,5.729480E+03,0.000000E+00,2.955923E-01,0.000000E+00
01:15:00,1.432937E+03,0.000000E+00,7.394249E-02,0.000000E+00,1.987987E+03,0.000000E+00,1.025845E-01,0.000000E+00,2.203457E+03,0.000000E+00,1.137036E-01,0.000000E+00,1.877199E+03,0.000000E+00,9.686709E-02,0.000000E+00,5.835350E+03,0.000000E+00,3.010452E-01,0.000000E+00
01:30:00,1.494067E+03,0.000000E+00,7.709623E-02,0.000000E+00,2.052353E+03,0.000000E+00,1.059058E-01,0.000000E+00,2.266121E+03,0.000000E+00,1.169370E-01,0.000000E+00,1.942154E+03,0.000000E+00,1.002189E-01,0.000000E+00,5.942925E+03,0.000000E+00,3.065839E-01,0.000000E+00
01:45:00,1.555412E+03,0.000000E+00,8.026065E-02,0.000000E+00,2.116895E+03,0.000000E+00,1.092361E-01,0.000000E+00,2.328869E+03,0.000000E+00,1.201747E-01,0.000000E+00,2.007399E+03,0.000000E+00,1.035855E-01,0.000000E+00,6.052998E+03,0.000000E+00,3.122567E-01,0.000000E+00
02:00:00,1.617384E+03,0.000000E+00,8.345787E-02,0.000000E+00,2.181531E+03,0.000000E+00,1.125712E-01,0.000000E+00,2.391629E+03,0.000000E+00,1.234129E-01,0.000000E+00,2.072835E+03,0.000000E+00,1.069619E-01,0.000000E+00,6.166856E+03,0.000000E+00,3.181296E-01,0.000000E+00
02:15:00,1.681009E+03,0.000000E+00,8.674069E-02,0.000000E+00,2.246409E+03,0.000000E+00,1.159188E-01,0.000000E+00,2.454559E+03,0.000000E+00,1.266600E-01,0.000000E+00,2.138594E+03,0.000000E+00,1.103550E-01,0.000000E+00,6.285284E+03,0.000000E+00,3.242441E-01,0.000000E+00
02:30:00,1.747648E+03,0.000000E+00,9.017945E-02,0.000000E+00,2.311461E+03,0.000000E+00,1.192755E-01,0.000000E+00,2.517603E+03,0.000000E+00,1.299130E-01,0.000000E+00,2.204597E+03,0.000000E+00,1.137607E-01,0.000000E+00,6.405296E+03,0.000000E+00,3.304444E-01,0.000000E+00
02:45:00,1.814983E+03,0.000000E+00,9.365455E-02,0.000000E+00,2.376539E+03,0.000000E+00,1.226334E-01,0.000000E+00,2.580625E+03,0.000000E+00,1.331649E-01,0.000000E+00,2.270684E+03,0.000000E+00,1.171708E-01,0.000000E+00,6.526486E+03,0.000000E+00,3.367027E-01,0.000000E+00
03:00:00,1.883014E+03,0.000000E+00,9.716528E-02,0.000000E+00,2.441623E+03,0.000000E+00,1.259917E-01,0.000000E+00,2.643615E+03,0.000000E+00,1.364151E-01,0.000000E+00,2.336826E+03,0.000000E+00,1.205838E-01,0.000000E+00,6.648750E+03,0.000000E+00,3.430148E-01,0.000000E+00
03:15:00,1.951465E+03,0.000000E+00,1.006976E-01,0.000000E+00,2.506584E+03,0.000000E+00,1.293438E-01,0.000000E+00,2.706448E+03,0.000000E+00,1.396573E-01,0.000000E+00,2.402890E+03,0.000000E+00,1.239927E-01,0.000000E+00,6.771965E+03,0.000000E+00,3.493748E-01,0.000000E+00
03:30:00,2.020184E+03,0.000000E+00,1.042436E-01,0.000000E+00,2.571389E+03,0.000000E+00,1.326877E-01,0.000000E+00,2.769096E+03,0.000000E+00,1.428899E-01,0.000000E+00,2.468835E+03,0.000000E+00,1.273955E-01,0.000000E+00,6.895987E+03,0.000000E+00,3.557759E-01,0.000000E+00
03:45:00,2.089147E+03,0.000000E+00,1.078022E-01,0.000000E+00,2.636102E+03,0.000000E+00,1.360268E-01,0.000000E+00,2.831623E+03,0.000000E+00,1.461162E-01,0.000000E+00,2.534719E+03,0.000000E+00,1.307951E-01,0.000000E+00,7.020884E+03,0.000000E+00,3.622214E-01,0.000000E+00
