Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.393288E+03,0.000000E+00,1.235054E-01,0.000000E+00,2.892614E+03,0.000000E+00,1.492732E-01,0.000000E+00,3.114827E+03,0.000000E+00,1.607403E-01,0.000000E+00,2.826116E+03,0.000000E+00,1.458416E-01,0.000000E+00,7.694500E+03,0.000000E+00,3.970463E-01,0.000000E+00
00:30:00,2.525819E+03,0.000000E+00,1.303424E-01,0.000000E+00,3.019298E+03,0.000000E+00,1.558081E-01,0.000000E+00,3.237243E+03,0.000000E+00,1.670547E-01,0.000000E+00,2.953129E+03,0.000000E+00,1.523935E-01,0.000000E+00,8.011030E+03,0.000000E+00,4.133696E-01,0.000000E+00
00:45:00,2.657437E+03,0.000000E+00,1.371323E-01,0.000000E+00,3.145116E+03,0.000000E+00,1.622984E-01,0.000000E+00,3.358696E+03,0.000000E+00,1.733193E-01,0.000000E+00,3.079305E+03,0.000000E+00,1.589023E-01,0.000000E+00,8.322616E+03,0.000000E+00,4.294378E-01,0.000000E+00
01:00:00,2.788060E+03,0.000000E+00,1.438708E-01,0.000000E+00,3.269998E+03,0.000000E+00,1.687402E-01,0.000000E+00,3.479195E+03,0.000000E+00,1.795347E-01,0.000000E+00,3.204569E+03,0.000000E+00,1.653639E-01,0.000000E+00,8.629177E+03,0.000000E+00,4.452464E-01,0.000000E+00
01:15:00,2.840566E+03,0.000000E+00,1.465801E-01,0.000000E+00,3.317409E+03,0.000000E+00,1.711866E-01,0.000000E+00,3.523495E+03,0.000000E+00,1.818203E-01,0.000000E+00,3.252750E+03,0.000000E+00,1.678501E-01,0.000000E+00,8.724434E+03,0.000000E+00,4.501603E-01,0.000000E+00
01:30:00,2.892878E+03,0.000000E+00,1.492792E-01,0.000000E+00,3.364703E+03,0.000000E+00,1.736267E-01,0.000000E+00,3.567776E+03,0.000000E+00,1.841048E-01,0.000000E+00,3.300840E+03,0.000000E+00,1.703312E-01,0.000000E+00,8.820110E+03,0.000000E+00,4.550945E-01,0.000000E+00
01:45:00,2.944960E+03,0.000000E+00,1.519663E-01,0.000000E+00,3.411853E+03,0.000000E+00,1.760592E-01,0.000000E+00,3.612083E+03,0.000000E+00,1.863906E-01,0.000000E+00,3.348809E+03,0.000000E+00,1.728060E-01,0.000000E+00,8.916158E+03,0.000000E+00,4.600479E-01,0.000000E+00
02:00:00,2.996769E+03,0.000000E+00,1.546392E-01,0.000000E+00,3.458821E+03,0.000000E+00,1.784823E-01,0.000000E+00,3.656317E+03,0.000000E+00,1.886727E-01,0.000000E+00,3.396618E+03,0.000000E+00,1.752726E-01,0.000000E+00,9.012499E+03,0.000000E+00,4.650167E-01,0.000000E+00
02:15:00,3.048489E+03,0.000000E+00,1.573076E-01,0.000000E+00,3.505798E+03,0.000000E+00,1.809059E-01,0.000000E+00,3.700671E+03,0.000000E+00,1.909612E-01,0.000000E+00,3.444462E+03,0.000000E+00,1.777410E-01,0.000000E+00,9.109042E+03,0.000000E+00,4.699965E-01,0.000000E+00
02:30:00,3.100080E+03,0.000000E+00,1.599695E-01,0.000000E+00,3.552745E+03,0.000000E+00,1.833281E-01,0.000000E+00,3.745125E+03,0.000000E+00,1.932548E-01,0.000000E+00,3.492312E+03,0.000000E+00,1.802098E-01,0.000000E+00,9.205718E+03,0.000000E+00,4.749837E-01,0.000000E+00
