Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.884863E+02,0.000000E+00,4.585037E-02,0.000000E+00,1.330585E+03,0.000000E+00,6.866223E-02,0.000000E+00,1.510103E+03,0.000000E+00,7.792662E-02,0.000000E+00,1.244832E+03,0.000000E+00,6.423620E-02,0.000000E+00,4.879989E+03,0.000000E+00,2.517439E-01,0.000000E+00
00:30:00,1.003131E+03,0.000000E+00,5.176492E-02,0.000000E+00,1.441940E+03,0.000000E+00,7.440708E-02,0.000000E+00,1.620197E+03,0.000000E+00,8.360621E-02,0.000000E+00,1.354594E+03,0.000000E+00,6.989901E-02,0.000000E+00,5.119623E+03,0.000000E+00,2.640754E-01,0.000000E+00
00:45:00,1.116258E+03,0.000000E+00,5.760104E-02,0.000000E+00,1.553113E+03,0.000000E+00,8.014251E-02,0.000000E+00,1.729815E+03,0.000000E+00,8.926121E-02,0.000000E+00,1.464590E+03,0.000000E+00,7.557382E-02,0.000000E+00,5.352914E+03,0.000000E+00,2.760669E-01,0.000000E+00
01:00:00,1.227637E+03,0.000000E+00,6.334683E-02,0.000000E+00,1.663965E+03,0.000000E+00,8.586133E-02,0.000000E+00,1.838854E+03,0.000000E+00,9.488629E-02,0.000000E+00,1.574562E+03,0.000000E+00,8.124738E-02,0.000000E+00,5.580790E+03,0.000000E+00,2.877831E-01,0.000000E+00
01:15:00,1.274080E+03,0.000000E+00,6.574277E-02,0.000000E+00,1.710259E+03,0.000000E+00,8.825011E-02,0.000000E+00,1.883624E+03,0.000000E+00,9.719637E-02,0.000000E+00,1.621261E+03,0.000000E+00,8.365717E-02,0.000000E+00,5.639558E+03,0.000000E+00,2.908084E-01,0.000000E+00
01:30:00,1.319385E+03,0.000000E+00,6.807970E-02,0.000000E+00,1.756817E+03,0.000000E+00,9.065235E-02,0.000000E+00,1.928574E+03,0.000000E+00,9.951557E-02,0.000000E+00,1.668323E+03,0.000000E+00,8.608544E-02,0.000000E+00,5.700813E+03,0.000000E+00,2.939735E-01,0.000000E+00
01:45:00,1.362852E+03,0.000000E+00,7.032146E-02,0.000000E+00,1.803542E+03,0.000000E+00,9.306310E-02,0.000000E+00,1.973619E+03,0.000000E+00,1.018396E-01,0.000000E+00,1.715634E+03,0.000000E+00,8.852650E-02,0.000000E+00,5.762882E+03,0.000000E+00,2.971981E-01,0.000000E+00
02:00:00,1.406392E+03,0.000000E+00,7.256667E-02,0.000000E+00,1.850305E+03,0.000000E+00,9.547582E-02,0.000000E+00,2.018641E+03,0.000000E+00,1.041624E-01,0.000000E+00,1.763054E+03,0.000000E+00,9.097314E-02,0.000000E+00,5.824736E+03,0.000000E+00,3.004110E-01,0.000000E+00
02:15:00,1.450538E+03,0.000000E+00,7.484373E-02,0.000000E+00,1.897174E+03,0.000000E+00,9.789405E-02,0.000000E+00,2.063718E+03,0.000000E+00,1.064882E-01,0.000000E+00,1.810637E+03,0.000000E+00,9.342827E-02,0.000000E+00,5.886468E+03,0.000000E+00,3.036096E-01,0.000000E+00
02:30:00,1.496079E+03,0.000000E+00,7.719332E-02,0.000000E+00,1.944157E+03,0.000000E+00,1.003183E-01,0.000000E+00,2.108865E+03,0.000000E+00,1.088175E-01,0.000000E+00,1.858385E+03,0.000000E+00,9.589195E-02,0.000000E+00,5.948315E+03,0.000000E+00,3.068091E-01,0.000000E+00
02:45:00,1.543966E+03,0.000000E+00,7.966449E-02,0.000000E+00,1.991242E+03,0.000000E+00,1.027477E-01,0.000000E+00,2.154073E+03,0.000000E+00,1.111502E-01,0.000000E+00,1.906278E+03,0.000000E+00,9.836314E-02,0.000000E+00,6.010361E+03,0.000000E+00,3.100160E-01,0.000000E+00
03:00:00,1.592583E+03,0.000000E+00,8.217390E-02,0.000000E+00,2.038467E+03,0.000000E+00,1.051844E-01,0.000000E+00,2.199386E+03,0.000000E+00,1.134882E-01,0.000000E+00,1.954350E+03,0.000000E+00,1.008436E-01,0.000000E+00,6.072670E+03,0.000000E+00,3.132349E-01,0.000000E+00
03:15:00,1.641775E+03,0.000000E+00,8.471266E-02,0.000000E+00,2.085692E+03,0.000000E+00,1.076212E-01,0.000000E+00,2.244671E+03,0.000000E+00,1.158248E-01,0.000000E+00,2.002457E+03,0.000000E+00,1.033258E-01,0.000000E+00,6.135207E+03,0.000000E+00,3.164648E-01,0.000000E+00
03:30:00,1.691373E+03,0.000000E+00,8.727217E-02,0.000000E+00,2.132869E+03,0.000000E+00,1.100554E-01,0.000000E+00,2.289885E+03,0.000000E+00,1.181577E-01,0.000000E+00,2.050543E+03,0.000000E+00,1.058070E-01,0.000000E+00,6.197941E+03,0.000000E+00,3.197042E-01,0.000000E+00
