Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.892903E+03,0.000000E+00,9.768062E-02,0.000000E+00,2.294513E+03,0.000000E+00,1.184054E-01,0.000000E+00,2.465365E+03,0.000000E+00,1.272221E-01,0.000000E+00,2.241074E+03,0.000000E+00,1.156477E-01,0.000000E+00,5.794583E+03,0.000000E+00,2.989915E-01,0.000000E+00
00:30:00,1.997946E+03,0.000000E+00,1.030992E-01,0.000000E+00,2.394968E+03,0.000000E+00,1.235870E-01,0.000000E+00,2.562615E+03,0.000000E+00,1.322381E-01,0.000000E+00,2.341818E+03,0.000000E+00,1.208442E-01,0.000000E+00,6.035991E+03,0.000000E+00,3.114382E-01,0.000000E+00
00:45:00,2.102008E+03,0.000000E+00,1.084671E-01,0.000000E+00,2.494462E+03,0.000000E+00,1.287189E-01,0.000000E+00,2.658919E+03,0.000000E+00,1.372053E-01,0.000000E+00,2.441615E+03,0.000000E+00,1.259919E-01,0.000000E+00,6.270915E+03,0.000000E+00,3.235503E-01,0.000000E+00
01:00:00,2.205032E+03,0.000000E+00,1.137815E-01,0.000000E+00,2.592944E+03,0.000000E+00,1.337986E-01,0.000000E+00,2.754227E+03,0.000000E+00,1.421211E-01,0.000000E+00,2.540412E+03,0.000000E+00,1.310878E-01,0.000000E+00,6.499325E+03,0.000000E+00,3.353258E-01,0.000000E+00
01:15:00,2.244584E+03,0.000000E+00,1.158223E-01,0.000000E+00,2.628377E+03,0.000000E+00,1.356268E-01,0.000000E+00,2.787340E+03,0.000000E+00,1.438295E-01,0.000000E+00,2.576434E+03,0.000000E+00,1.329464E-01,0.000000E+00,6.554070E+03,0.000000E+00,3.381489E-01,0.000000E+00
01:30:00,2.284026E+03,0.000000E+00,1.178571E-01,0.000000E+00,2.663747E+03,0.000000E+00,1.374515E-01,0.000000E+00,2.820416E+03,0.000000E+00,1.455358E-01,0.000000E+00,2.612407E+03,0.000000E+00,1.348023E-01,0.000000E+00,6.608969E+03,0.000000E+00,3.409787E-01,0.000000E+00
01:45:00,2.323339E+03,0.000000E+00,1.198852E-01,0.000000E+00,2.699042E+03,0.000000E+00,1.392723E-01,0.000000E+00,2.853444E+03,0.000000E+00,1.472395E-01,0.000000E+00,2.648316E+03,0.000000E+00,1.366547E-01,0.000000E+00,6.664035E+03,0.000000E+00,3.438174E-01,0.000000E+00
02:00:00,2.362495E+03,0.000000E+00,1.219052E-01,0.000000E+00,2.734242E+03,0.000000E+00,1.410882E-01,0.000000E+00,2.886402E+03,0.000000E+00,1.489397E-01,0.000000E+00,2.684136E+03,0.000000E+00,1.385026E-01,0.000000E+00,6.719241E+03,0.000000E+00,3.466639E-01,0.000000E+00
02:15:00,2.401636E+03,0.000000E+00,1.239246E-01,0.000000E+00,2.769497E+03,0.000000E+00,1.429070E-01,0.000000E+00,2.919439E+03,0.000000E+00,1.506440E-01,0.000000E+00,2.720017E+03,0.000000E+00,1.403537E-01,0.000000E+00,6.774552E+03,0.000000E+00,3.495162E-01,0.000000E+00
02:30:00,2.440744E+03,0.000000E+00,1.259423E-01,0.000000E+00,2.804795E+03,0.000000E+00,1.447281E-01,0.000000E+00,2.952541E+03,0.000000E+00,1.523518E-01,0.000000E+00,2.755944E+03,0.000000E+00,1.422073E-01,0.000000E+00,6.829945E+03,0.000000E+00,3.523734E-01,0.000000E+00
